"1,0-HCore","2,0-HCore","3,0-HCore"
3,6,3
3,4,0
2,2,0
3,4,0
5,5,0
4,11,3
4,23,7
3,6,3
3,6,3
4,12,12
2,2,0
5,52,38
4,4,0
5,11,3
2,2,0
5,15,3
9,131,415
4,6,0
1,0,0
8,98,324
5,31,15
3,4,0
2,2,0
5,24,13
5,29,31
7,42,105
2,2,0
4,17,4
1,0,0
4,6,3
2,2,0
4,29,10
5,24,15
5,14,3
3,6,3
3,5,0
5,24,12
3,6,3
1,0,0
1,0,0
5,12,3
17,285,2059
5,14,12
5,14,3
5,45,31
5,17,5
1,0,0
5,18,13
6,36,39
17,276,2041
4,8,3
2,2,0
2,2,0
5,30,10
4,16,8
3,4,0
1,0,0
3,3,0
3,2,0
2,2,0
3,3,0
4,5,0
4,14,8
2,2,0
2,2,0
3,6,3
2,2,0
17,282,2046
9,82,255
9,72,252
17,280,2050
9,72,252
43,2087,42555
11,165,560
8,63,175
9,72,252
11,315,1525
43,2153,43012
4,2,0
9,75,254
8,56,168
9,126,326
11,217,1041
11,183,753
11,222,982
2,2,0
9,72,252
9,72,252
4,4,0
9,82,271
9,75,252
8,63,170
9,179,518
8,56,168
3,6,3
4,15,7
5,19,12
8,72,200
5,18,12
3,3,0
43,2036,42176
43,2277,43200
9,138,356
43,2034,37957
9,165,467
3,3,0
1,0,0
1,0,0
5,11,3
1,0,0
2,2,0
5,8,3
1,0,0
3,4,0
3,2,0
1,0,0
2,2,0
3,4,0
17,272,2040
5,17,3
2,2,0
2,0,0
3,2,0
5,20,13
4,11,3
2,2,0
2,2,0
3,2,0
6,30,60
2,0,0
2,2,0
1,0,0
5,20,30
1,0,0
3,6,3
4,19,12
2,2,0
4,8,3
3,6,3
5,6,0
3,4,0
2,2,0
1,0,0
4,5,0
3,6,3
5,6,0
5,15,3
5,29,18
5,43,64
5,35,44
4,13,3
2,2,0
5,23,30
4,12,12
9,86,161
2,2,0
5,43,74
5,20,30
2,2,0
43,2119,42895
5,60,100
5,18,13
5,26,37
5,26,30
1,0,0
4,11,4
5,20,30
4,8,3
2,2,0
4,0,0
4,4,0
3,4,0
3,6,3
2,2,0
4,8,3
3,6,3
11,110,495
4,8,3
2,2,0
1,0,0
2,3,0
4,10,3
4,6,3
1,0,0
3,2,0
2,3,0
4,22,3
4,6,0
3,6,3
3,6,0
4,13,3
4,15,3
3,6,3
4,13,3
4,10,3
2,3,0
4,8,3
4,21,14
2,2,0
2,2,0
2,2,0
3,6,3
3,6,3
3,9,3
4,7,0
3,6,3
3,2,0
5,46,22
2,2,0
4,13,3
3,6,3
3,3,0
4,7,3
5,24,19
5,15,4
4,11,3
3,6,3
1,0,0
2,2,0
4,10,3
3,6,3
33,1506,25346
4,13,12
3,6,3
2,2,0
5,16,12
5,15,4
5,17,5
5,35,31
5,16,13
5,55,36
5,17,5
5,7,0
2,2,0
3,5,0
2,2,0
4,17,4
2,2,0
4,17,6
4,10,4
11,144,539
9,75,79
11,110,495
11,110,495
17,317,2082
17,272,2041
2,2,0
4,8,3
11,110,495
6,27,32
11,114,495
11,119,500
17,296,2072
11,133,508
9,41,44
11,110,495
11,154,560
5,8,3
9,48,50
43,1935,39749
42,1722,34440
43,1966,41938
43,2039,42382
43,1976,41956
43,1966,41954
43,2189,43185
43,1966,41938
43,1980,42048
1,0,0
43,1971,42016
42,1813,36915
43,1806,37023
1,0,0
43,1966,41938
43,1966,41938
43,2062,42651
43,1966,41938
43,1966,41939
43,1966,41938
43,2191,43010
43,1966,41962
3,6,3
43,2056,42630
43,1966,41938
43,1966,41938
43,2062,42344
43,1966,41938
3,2,0
43,2046,42208
43,1966,41938
43,1966,41938
