"0,1-nd","2,1-nd","3,1-nd"
144,8,0
112,4,0
135,14,0
358,4,0
252,18,25
473,0,0
114,18,25
121,22,25
93,10,0
678,6,0
96,6,0
88,6,0
284,4,0
70,10,0
87,6,0
233,0,0
348,0,0
298,0,0
1697,12,0
359,6,0
429,4,0
286,4,0
696,14,0
1295,0,0
362,0,0
277,0,0
798,0,0
180,16,25
187,18,25
786,16,0
196,8,0
243,20,25
973,4,0
328,4,0
290,26,25
186,18,25
604,34,55
3299,40,55
777,14,0
468,24,55
497,48,75
410,24,55
413,16,25
411,16,25
541,16,25
411,16,25
535,30,55
430,42,75
417,28,55
641,18,25
412,8,0
421,18,25
49,18,25
664,10,0
758,14,0
744,12,0
782,12,0
2127,82,450
1155,126,520
1590,12,0
754,84,450
966,36,80
703,0,0
677,34,80
672,32,70
739,92,460
676,40,130
672,32,70
750,42,90
720,82,450
655,14,0
649,0,0
657,6,0
649,0,0
679,4,0
84,4,0
49,0,0
246,12,0
384,28,25
558,0,0
341,12,0
214,8,0
286,0,0
284,12,0
219,22,25
206,6,0
219,22,25
206,6,0
203,0,0
413,38,135
151,38,135
120,36,135
90,0,0
129,36,135
91,4,0
91,4,0
409,4,0
67,4,0
1863,42,70
1762,32,105
1808,76,375
1562,14,0
1901,74,375
1524,0,0
1465,0,0
1598,92,285
1630,34,80
1614,46,105
1703,24,0
1697,122,325
2676,66,150
1872,104,460
1601,6,0
1465,0,0
1465,0,0
1667,94,270
1466,4,0
3736,0,0
1545,24,125
2141,44,115
1600,58,365
1748,0,0
1465,0,0
1465,0,0
6567,0,0
1621,50,100
1691,94,270
1640,0,0
1471,0,0
1465,0,0
1466,4,0
525,6,0
540,8,0
150,8,0
102,0,0
183,0,0
174,0,0
185,4,0
690,28,25
675,30,25
177,0,0
221,10,0
393,24,25
451,12,0
274,6,0
288,14,0
702,12,0
696,34,70
620,24,70
2457,8,0
532,14,0
1493,10,0
754,14,0
468,4,0
450,6,0
483,10,0
449,4,0
447,0,0
635,8,0
476,6,0
2314,60,695
1530,286,6245
1201,262,6165
2094,86,860
1201,262,6165
8153,316,9475
2432,100,860
1508,198,9475
1201,262,6165
2442,264,9475
8143,286,9475
1096,6,0
1304,262,6165
1391,198,9475
2073,26,0
1837,244,9475
1779,236,9475
2029,224,9475
1067,6,0
1201,262,6165
1201,262,6165
1128,8,0
1609,262,6165
1358,270,6165
356,8,0
172,16,0
104,0,0
222,12,0
123,10,0
123,10,0
155,8,0
1167,0,0
644,30,0
657,222,3990
807,390,7350
