"0,1-HhIndex","2,1-HhIndex","3,1-HhIndex"
8,2,0
8,2,0
8,2,0
13,2,0
11,4,5
17,0,0
8,4,5
8,4,5
7,2,0
22,2,0
6,2,0
6,2,0
12,2,0
6,2,0
7,2,0
12,0,0
12,0,0
12,0,0
33,2,0
13,2,0
14,2,0
12,2,0
18,2,0
27,0,0
13,0,0
12,0,0
21,0,0
9,4,5
10,4,5
22,3,0
10,2,0
11,4,5
25,2,0
12,2,0
11,4,5
10,4,5
18,4,5
43,4,5
20,2,0
17,4,5
17,4,5
16,4,5
16,4,5
16,4,5
17,4,5
16,4,5
18,4,5
16,4,5
16,4,5
18,4,5
16,2,0
16,4,5
5,4,5
22,2,0
22,2,0
22,2,0
22,2,0
31,8,14
24,8,14
29,2,0
23,8,14
24,4,5
22,0,0
22,4,5
22,4,5
22,8,14
22,4,5
22,4,5
22,4,5
22,8,14
22,2,0
22,0,0
22,2,0
22,0,0
22,2,0
6,2,0
4,0,0
13,2,0
14,4,5
16,0,0
13,2,0
12,2,0
13,0,0
13,2,0
12,4,5
12,2,0
12,4,5
12,2,0
12,0,0
15,6,9
8,6,9
8,6,9
7,0,0
8,6,9
7,2,0
7,2,0
15,2,0
5,2,0
33,4,5
33,4,5
33,6,9
33,2,0
33,6,9
33,0,0
33,0,0
33,6,12
33,4,5
33,4,5
33,3,0
33,8,12
39,5,6
33,7,12
33,2,0
33,0,0
33,0,0
33,6,10
33,2,0
45,0,0
33,4,5
34,4,5
33,6,9
33,0,0
33,0,0
33,0,0
54,0,0
33,5,5
33,6,10
33,0,0
33,0,0
33,0,0
33,2,0
17,2,0
19,2,0
8,2,0
6,0,0
10,0,0
10,0,0
10,2,0
20,4,5
20,4,5
9,0,0
11,2,0
14,4,5
16,2,0
11,2,0
12,2,0
18,2,0
18,4,5
17,4,5
39,2,0
16,2,0
30,2,0
19,2,0
16,2,0
16,2,0
16,2,0
16,2,0
16,0,0
17,2,0
16,2,0
36,4,5
29,16,44
25,16,44
36,5,7
25,16,44
67,14,35
36,6,7
29,14,35
25,16,44
40,14,35
68,14,35
24,2,0
26,16,44
28,14,35
32,2,0
32,14,35
32,14,35
34,14,35
24,2,0
25,16,44
25,16,44
25,2,0
30,16,44
27,16,44
15,2,0
10,2,0
7,0,0
11,2,0
8,2,0
8,2,0
9,2,0
26,0,0
20,2,0
20,14,35
20,14,68
20,14,35
20,14,35
21,14,68
20,14,35
20,14,35
20,14,35
20,0,0
20,14,35
20,14,35
20,0,0
20,14,35
20,0,0
20,0,0
20,14,35
20,14,35
20,14,35
10,4,5
8,4,5
8,4,5
8,4,5
8,4,5
8,2,0
8,0,0
8,0,0
25,2,0
25,0,0
56,2,0
25,6,9
25,6,9
25,6,9
25,6,9
25,2,0
25,2,0
26,0,0
25,2,0
25,0,0
25,4,5
25,4,5
25,4,5
25,4,5
25,4,5
25,2,0
25,2,0
25,2,0
25,0,0
25,2,0
25,0,0
25,0,0
25,0,0
23,6,9
25,6,9
13,6,9
18,6,9
9,0,0
9,2,0
8,2,0
9,4,5
15,2,0
9,2,0
9,2,0
16,2,0
9,2,0
43,5,6
12,4,5
23,4,5
12,2,0
18,4,5
11,4,5
11,2,0
11,4,5
11,2,0
11,0,0
11,4,5
44,6,9
43,5,5
45,4,5
75,24,119
46,15,61
45,8,14
79,23,84
61,24,89
63,24,89
73,24,128
64,24,119
81,26,128
64,24,119
69,24,119
85,24,94
72,25,119
64,24,119
47,22,77
47,22,77
47,22,77
47,22,77
45,11,24
45,6,9
45,16,59
43,2,0
44,12,29
44,12,35
44,12,27
43,4,5
44,12,27
45,8,16
45,9,21
45,14,34
43,4,5
45,10,22
44,8,14
45,10,20
45,10,27
43,4,5
43,2,0
43,4,5
43,2,0
20,12,27
76,6,9
18,6,9
20,6,9
14,0,0
14,0,0
14,12,27
14,12,27
14,12,27
14,12,27
14,12,27
14,12,27
14,0,0
6,4,5
6,4,5
8,4,5
11,4,5
9,4,5
8,4,5
8,0,0
8,2,0
9,2,0
6,4,5
12,4,5
5,4,5
11,4,5
4,4,5
11,4,5
12,0,0
11,0,0
12,3,0
11,2,0
11,2,0
11,2,0
11,0,0
11,2,0
12,2,0
10,4,5
9,2,0
10,3,0
25,2,0
9,2,0
9,0,0
9,2,0
6,4,5
5,2,0
12,4,5
26,8,14
18,8,14
28,8,14
14,8,14
18,8,14
13,4,5
12,0,0
12,0,0
12,2,0
12,0,0
6,2,0
5,2,0
5,2,0
15,6,9
15,6,9
15,6,9
17,4,5
17,4,5
22,2,0
20,0,0
17,0,0
15,0,0
15,2,0
15,2,0
15,0,0
15,0,0
15,0,0
7,6,9
7,6,9
20,2,0
5,0,0
7,6,9
7,0,0
2,2,0
15,2,0
21,10,24
21,10,24
17,4,5
17,7,15
20,2,0
26,10,20
17,2,0
17,6,9
17,10,20
17,10,20
17,10,24
16,0,0
15,6,9
4,0,0
4,2,0
4,2,0
11,2,0
23,3,0
36,0,0
21,2,0
22,10,24
18,4,5
19,7,13
22,2,0
18,2,0
25,2,0
27,10,20
19,0,0
17,0,0
19,10,20
19,10,20
17,4,5
17,4,5
19,10,24
17,4,5
17,0,0
36,2,0
5,2,0
5,2,0
7,2,0
1,0,0
15,6,12
31,4,5
18,4,5
15,6,9
15,6,9
15,0,0
7,0,0
15,4,5
31,4,5
13,6,9
21,6,15
15,6,9
9,6,9
11,6,15
9,6,9
9,0,0
18,2,0
14,4,5
14,4,5
18,0,0
46,0,0
11,0,0
7,0,0
31,4,0
14,4,5
18,4,5
13,0,0
14,2,0
12,4,5
15,4,5
13,4,5
13,4,5
12,0,0
12,0,0
31,5,6
20,4,5
17,6,9
14,4,5
17,6,9
13,4,5
11,4,5
11,4,5
