Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8336639108051921, acc=0.8122245828555302
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8482125307620537, acc=0.814935183053681
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.834278888909275, acc=0.8170883333345884
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8358323325598276, acc=0.7960444963771643
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8422862347394114, acc=0.8072239462202382
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.8095033083682404 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8019939504629451, acc=0.789521701899509
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.811066545207608, acc=0.777496375889204
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8109426389413192, acc=0.767753102258905
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8200151323388642, acc=0.8020358619313507
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.7966578422475378, acc=0.7710375187000081
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.7815689121357954 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.6060701799044065, acc=0.4752736306958903
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7822324383780983, acc=0.7137369082205198
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.6804699871991176, acc=0.5005409181274924
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7894405680037098, acc=0.7345469538001117
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7459166470879643, acc=0.7375083360305691
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.6323213493749167 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8216756539035949, acc=0.7020048374777401
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8264106637079538, acc=0.35766644499318206
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8306130528624249, acc=0.6688426891990469
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8340489725317433, acc=0.7514780798804803
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8099676915796183, acc=0.7394033476658851
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.643879079843267 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.7782415293925915, acc=0.6744041958519474
