"0,2-d","1,2-d","3,2-d"
9,2,0
8,0,0
10,3,0
15,3,3
16,4,3
10,4,3
5,1,0
29,1,0
50,4,0
15,1,0
10,0,0
13,3,3
35,2,0
41,4,0
21,5,3
16,3,3
34,0,0
17,4,3
227,10,3
37,5,3
240,5,0
219,5,3
28,5,3
34,8,3
32,9,9
29,6,3
25,5,3
34,3,3
22,3,3
26,3,3
21,3,3
26,3,3
31,5,3
26,6,3
21,2,0
35,4,3
33,1,0
43,4,0
154,15,9
141,10,9
143,11,9
140,9,9
59,16,9
62,12,3
51,11,3
51,11,3
61,18,12
51,11,3
51,11,3
54,13,6
58,15,9
69,4,0
48,12,9
45,10,9
44,4,3
33,4,3
30,3,3
40,7,3
47,11,9
38,5,0
16,0,0
15,4,0
20,4,0
16,4,0
16,6,3
16,6,3
8,1,0
8,1,0
11,3,3
22,7,6
21,6,6
21,6,6
17,6,6
17,6,6
16,6,6
6,0,0
30,0,0
56,4,0
65,11,3
58,6,3
62,7,3
60,7,3
92,13,9
92,14,6
73,5,3
79,10,6
42,1,0
58,4,0
90,15,6
71,5,3
77,8,6
63,15,12
69,9,3
72,10,3
61,11,6
59,11,6
67,9,3
73,6,3
66,7,0
55,8,3
53,8,3
69,6,0
78,14,9
81,13,3
70,14,6
65,11,6
68,14,6
71,8,3
77,11,6
72,9,3
66,16,15
36,0,0
70,9,3
21,2,0
53,6,3
43,4,3
46,4,0
31,3,0
39,6,3
33,4,0
13,1,0
40,4,3
190,2,0
53,5,0
44,2,0
43,1,0
11,0,0
12,1,0
373,20,3
317,8,3
152,23,21
266,13,3
152,23,21
210,15,3
152,23,21
158,23,21
152,23,21
152,23,21
164,23,21
157,24,21
142,21,21
142,21,21
148,21,21
142,21,21
142,21,21
154,21,21
147,22,21
314,10,6
142,21,21
148,21,21
142,21,21
142,21,21
154,21,21
147,22,21
1236,21,0
1176,19,18
1314,19,18
2251,63,18
1171,19,18
1259,19,18
1240,19,18
1264,19,18
276,18,18
1213,18,18
133,18,18
221,18,18
202,18,18
226,18,18
148,21,21
142,21,21
142,21,21
154,21,21
147,22,21
1351,18,18
271,18,18
359,31,18
340,27,18
364,29,18
1208,18,18
1296,18,18
1277,18,18
1301,18,18
74,1,0
148,21,21
148,21,21
160,21,21
153,22,21
216,18,18
197,18,18
221,18,18
180,11,0
285,27,18
309,19,18
290,19,18
75,1,0
142,21,21
154,21,21
147,22,21
154,21,21
147,22,21
159,22,21
16,2,0
14,4,0
