simplex,index
3466,0
937,1
5233,2
8579,3
10310,4
15931,5
17038,6
18720,7
19607,8
1854,9
4583,10
9572,11
10841,12
13056,13
14982,14
16310,15
19640,16
23855,17
24372,18
24814,19
5052,20
899,21
1796,22
2287,23
3096,24
3386,25
4472,26
5346,27
5740,28
6094,29
6376,30
9124,31
10235,32
10427,33
10597,34
15159,35
16148,36
16741,37
18235,38
18549,39
19297,40
20511,41
20595,42
20613,43
24371,44
24559,45
24731,46
25102,47
25271,48
25396,49
1658,50
4822,51
6864,52
7689,53
7926,54
10268,55
12971,56
18600,57
20421,58
20886,59
21048,60
22393,61
23186,62
23214,63
23298,64
23945,65
24939,66
339,67
624,68
3731,69
4743,70
5407,71
6610,72
6700,73
8045,74
9099,75
9639,76
9785,77
12141,78
15184,79
15784,80
18719,81
19870,82
20532,83
22527,84
23576,85
23577,86
23649,87
24199,88
24293,89
25201,90
10243,91
6774,92
8049,93
8053,94
8517,95
11964,96
15538,97
16694,98
18648,99
19423,100
21012,101
22457,102
22691,103
23452,104
16174,105
16470,106
17822,107
14265,108
392,109
2485,110
2949,111
3173,112
3441,113
3593,114
3853,115
3927,116
3937,117
3939,118
5107,119
5218,120
5230,121
6030,122
7350,123
7504,124
7601,125
8718,126
9522,127
11621,128
12498,129
12691,130
15251,131
16020,132
16261,133
17156,134
17626,135
18622,136
19059,137
19525,138
19738,139
20122,140
20432,141
21866,142
22074,143
23721,144
8916,145
13556,146
14485,147
8612,148
615,149
743,150
2076,151
4515,152
5773,153
9482,154
10822,155
11175,156
11604,157
14004,158
15003,159
15552,160
15814,161
16083,162
17932,163
20001,164
20100,165
23481,166
16258,167
1356,168
1727,169
2752,170
4125,171
6667,172
6825,173
10039,174
10351,175
11082,176
14123,177
16676,178
21194,179
10912,180
14534,181
17268,182
19783,183
21705,184
22836,185
2710,186
62,187
106,188
260,189
2959,190
3677,191
4708,192
5172,193
5541,194
5794,195
5807,196
6575,197
8458,198
10601,199
11401,200
13026,201
13205,202
13659,203
13989,204
14007,205
14009,206
14599,207
15301,208
18757,209
20934,210
21543,211
22184,212
23647,213
23708,214
25916,215
26023,216
26051,217
26100,218
214,219
5435,220
6512,221
10590,222
23559,223
1765,224
3032,225
5302,226
7383,227
7442,228
7768,229
13276,230
17266,231
22415,232
10794,233
7050,234
25850,235
10113,236
10657,237
12130,238
17172,239
4846,240
676,241
824,242
2133,243
2654,244
4748,245
5672,246
10549,247
12928,248
13220,249
14419,250
17330,251
17439,252
18487,253
20850,254
22779,255
23382,256
24029,257
11785,258
45,259
46,260
570,261
773,262
1653,263
2212,264
2741,265
2952,266
3372,267
4046,268
4164,269
4511,270
4513,271
5262,272
6179,273
6830,274
7956,275
8879,276
11241,277
11472,278
12365,279
12496,280
12678,281
12781,282
12851,283
14540,284
14807,285
15659,286
16159,287
17655,288
17692,289
18894,290
19961,291
20108,292
20562,293
20635,294
21281,295
21508,296
21847,297
22798,298
22887,299
23293,300
24955,301
25346,302
25758,303
934,304
5579,305
9755,306
10550,307
16032,308
17331,309
17603,310
20644,311
22497,312
23387,313
23907,314
24924,315
25080,316
12422,317
1339,318
3164,319
15580,320
16393,321
20478,322
20956,323
3890,324
5621,325
8824,326
11613,327
12306,328
12860,329
14547,330
18182,331
21707,332
24696,333
2661,334
7899,335
8067,336
8208,337
11132,338
11402,339
12980,340
13364,341
14969,342
16389,343
18109,344
18365,345
23038,346
24845,347
25379,348
13740,349
4550,350
4702,351
7264,352
13096,353
14128,354
19489,355
19527,356
19784,357
22476,358
25006,359
25486,360
26,361
1407,362
1488,363
8219,364
10762,365
11801,366
12665,367
12688,368
13142,369
15108,370
15321,371
20647,372
20827,373
20879,374
23614,375
3909,376
17979,377
3872,378
5109,379
7533,380
12409,381
20101,382
23096,383
8862,384
78,385
4877,386
7459,387
8254,388
12155,389
22598,390
24932,391
888,392
1520,393
6468,394
6627,395
7007,396
7712,397
10711,398
13614,399
14102,400
18517,401
18676,402
23351,403
23689,404
24114,405
2465,406
2592,407
3977,408
5055,409
5993,410
9265,411
12334,412
19890,413
20341,414
21560,415
17309,416
24833,417
543,418
1958,419
2193,420
3917,421
6858,422
8148,423
9092,424
12478,425
15366,426
18125,427
18398,428
19675,429
21806,430
23693,431
26196,432
10115,433
10134,434
23916,435
7893,436
593,437
5510,438
9360,439
12627,440
16778,441
18037,442
18051,443
13385,444
19578,445
12386,446
13333,447
23896,448
8978,449
9017,450
15170,451
15455,452
16589,453
2255,454
3056,455
6158,456
7307,457
7324,458
8365,459
9023,460
11444,461
12324,462
12472,463
13831,464
14746,465
16128,466
17075,467
18875,468
19900,469
20000,470
20806,471
21944,472
21968,473
23302,474
23665,475
23758,476
24722,477
12045,478
12287,479
14181,480
20257,481
21613,482
7510,483
197,484
8851,485
1343,486
2991,487
8299,488
15416,489
18088,490
25286,491
1254,492
3420,493
10130,494
2250,495
3243,496
7717,497
7985,498
11015,499
12085,500
13714,501
14767,502
16056,503
16994,504
17414,505
18971,506
19216,507
20534,508
21776,509
21860,510
25205,511
178,512
1248,513
1403,514
2368,515
2420,516
16210,517
18681,518
20641,519
24762,520
2307,521
6934,522
22423,523
231,524
345,525
1186,526
1234,527
1841,528
1997,529
2404,530
2450,531
2980,532
3409,533
5134,534
5578,535
8503,536
9341,537
9889,538
12503,539
13060,540
13597,541
16611,542
18208,543
18543,544
18866,545
22421,546
22937,547
23363,548
23628,549
25053,550
25251,551
2982,552
4036,553
4115,554
12938,555
13032,556
19215,557
21432,558
22726,559
22834,560
22966,561
23511,562
25528,563
25836,564
14376,565
8710,566
22483,567
1375,568
2846,569
5555,570
5564,571
5787,572
9721,573
10158,574
10942,575
13600,576
13929,577
21075,578
21316,579
22900,580
23637,581
23770,582
25143,583
25601,584
25980,585
17394,586
18924,587
3113,588
8312,589
10765,590
17538,591
25978,592
1172,593
5674,594
26194,595
375,596
1838,597
12733,598
7188,599
896,600
921,601
1508,602
6815,603
7209,604
8279,605
13008,606
18605,607
21158,608
4632,609
7844,610
11053,611
11148,612
13411,613
14512,614
16594,615
16722,616
16726,617
16876,618
19954,619
19992,620
20391,621
20774,622
23403,623
4870,624
5175,625
8282,626
22046,627
2449,628
4766,629
3561,630
4868,631
8352,632
10456,633
15365,634
16931,635
8157,636
2120,637
7713,638
19052,639
8302,640
16484,641
17778,642
2556,643
19159,644
21699,645
25382,646
8701,647
523,648
5464,649
7774,650
17379,651
18008,652
23385,653
25868,654
26170,655
1310,656
2922,657
3651,658
6891,659
10162,660
10620,661
11112,662
13174,663
14864,664
17536,665
23153,666
24340,667
11102,668
18592,669
22765,670
1896,671
6838,672
25220,673
4180,674
10055,675
12637,676
1832,677
4383,678
7014,679
9397,680
14344,681
14385,682
21379,683
24163,684
4416,685
9241,686
2620,687
3679,688
4364,689
5712,690
13955,691
14003,692
15235,693
18227,694
19445,695
19495,696
20168,697
23967,698
1116,699
15399,700
18222,701
21287,702
23227,703
4624,704
5355,705
6863,706
12606,707
12968,708
15770,709
21322,710
22265,711
22336,712
23099,713
23880,714
25111,715
4319,716
12758,717
22023,718
14337,719
5849,720
10763,721
11121,722
11194,723
15799,724
16511,725
16575,726
16945,727
21157,728
2326,729
10253,730
13190,731
14325,732
19048,733
20182,734
3595,735
18174,736
17850,737
20620,738
12380,739
3197,740
6160,741
8589,742
9417,743
9829,744
14638,745
14924,746
15972,747
17228,748
18940,749
19090,750
19475,751
20207,752
22644,753
22790,754
24001,755
25228,756
9710,757
3345,758
3430,759
5266,760
5995,761
7999,762
8047,763
8178,764
8868,765
10824,766
15144,767
19107,768
19806,769
22439,770
23304,771
24431,772
11077,773
10211,774
14972,775
15300,776
17158,777
17162,778
17403,779
20149,780
20519,781
21389,782
22951,783
23912,784
23918,785
25589,786
6895,787
3076,788
7444,789
8972,790
17308,791
20574,792
21629,793
245,794
4983,795
13480,796
14562,797
15912,798
16976,799
19974,800
22245,801
414,802
8708,803
23776,804
1044,805
4975,806
5809,807
12587,808
16123,809
20303,810
4451,811
9983,812
15205,813
15666,814
15667,815
19093,816
21031,817
24330,818
5840,819
6732,820
8614,821
13847,822
15081,823
22609,824
3310,825
5143,826
9735,827
17396,828
26138,829
4700,830
5606,831
1386,832
1738,833
2566,834
2720,835
5634,836
9870,837
16779,838
24475,839
25931,840
1817,841
3725,842
5366,843
15911,844
9800,845
26141,846
18001,847
22177,848
25480,849
1425,850
2501,851
2823,852
5136,853
7105,854
7317,855
9127,856
14615,857
17089,858
19454,859
22758,860
23841,861
3207,862
7125,863
20683,864
25419,865
2591,866
8932,867
9188,868
9773,869
13713,870
19179,871
14818,872
26190,873
3839,874
13615,875
16674,876
7042,877
9269,878
11661,879
21994,880
9943,881
10096,882
15614,883
16368,884
17285,885
21407,886
8715,887
21142,888
21167,889
13621,890
25388,891
284,892
6427,893
16835,894
18677,895
21696,896
