"1,0-HhIndex","2,0-HhIndex","3,0-HhIndex","4,0-HhIndex"
3,2,0,0
20,26,23,13
18,27,20,13
5,4,0,0
15,19,16,11
1,0,0,0
3,3,3,0
10,13,10,4
21,32,25,14
8,7,6,5
6,9,9,4
5,4,3,0
12,16,11,4
16,22,18,4
19,26,23,10
23,34,28,20
17,21,14,10
20,25,21,9
8,9,3,0
4,3,0,0
13,16,12,8
6,4,0,0
10,13,12,6
3,2,0,0
18,24,19,15
12,16,9,4
19,30,23,13
13,18,12,4
14,17,13,9
7,7,7,4
17,21,15,5
18,26,24,12
18,31,29,22
12,12,8,0
9,9,5,0
22,33,28,20
18,21,17,10
8,8,6,6
21,35,30,20
9,12,11,6
19,27,16,4
2,0,0,0
12,12,10,7
6,8,3,0
2,0,0,0
9,11,6,0
7,8,5,4
2,2,0,0
7,7,3,0
13,18,15,8
11,14,9,4
16,22,20,13
5,5,0,0
6,5,3,0
23,34,28,16
13,17,12,5
2,0,0,0
10,12,7,5
19,26,21,14
13,20,12,8
10,11,11,5
10,11,11,5
17,24,18,9
5,5,5,0
15,22,15,7
11,14,10,7
4,4,3,0
18,27,21,7
10,8,4,0
9,8,4,4
16,22,18,11
7,8,3,0
4,3,3,0
18,29,27,23
7,6,4,4
18,25,19,12
16,26,18,4
15,22,20,13
6,6,6,4
10,11,9,8
18,23,21,12
11,12,6,0
2,2,0,0
6,8,7,4
13,16,11,4
10,9,9,7
16,28,26,16
17,21,17,7
5,4,0,0
6,6,0,0
5,5,5,5
2,0,0,0
9,13,12,10
9,9,6,4
10,16,15,11
1,0,0,0
2,0,0,0
16,20,18,12
12,15,12,10
6,7,7,5
7,6,5,5
6,5,0,0
4,4,3,0
1,0,0,0
7,8,3,0
1,0,0,0
3,3,3,0
10,11,7,5
4,4,3,0
6,7,4,0
8,8,6,5
6,7,6,4
8,12,8,4
11,12,11,4
8,6,4,0
4,3,0,0
9,12,7,4
8,8,6,6
3,3,3,0
9,12,8,4
6,5,5,0
3,3,0,0
4,5,4,0
1,0,0,0
12,17,15,9
9,6,4,0
2,2,0,0
13,20,17,13
7,8,3,0
