"0,1-HCore","2,1-HCore","3,1-HCore","4,1-HCore"
41,2,0,0
48,0,0,0
7,2,0,0
41,2,0,0
41,6,9,0
41,0,0,0
41,4,5,0
41,6,18,10
49,7,21,9
41,8,30,36
41,4,5,0
41,4,5,0
41,4,8,0
41,6,18,10
41,8,43,54
59,8,39,54
41,7,22,9
41,6,19,10
41,4,5,0
41,2,0,0
41,4,0,0
41,2,0,0
41,8,40,54
41,2,0,0
41,7,38,15
41,0,0,0
41,6,16,0
41,4,7,0
41,4,5,0
41,6,15,9
41,6,14,0
41,6,17,9
42,7,27,15
41,4,5,0
41,0,0,0
52,7,32,15
41,6,10,0
41,2,0,0
49,8,37,36
41,8,40,54
44,5,0,0
41,0,0,0
41,0,0,0
41,2,0,0
48,8,57,67
49,8,51,61
48,6,15,9
48,6,18,9
52,8,48,39
48,2,0,0
48,2,0,0
48,8,57,71
48,6,15,9
48,6,15,9
48,2,0,0
48,5,9,0
48,4,8,0
48,6,15,9
48,5,8,0
48,0,0,0
48,5,7,0
48,2,0,0
48,7,15,0
48,0,0,0
48,8,34,36
48,6,13,0
48,4,5,0
48,4,5,0
48,4,5,0
48,6,15,9
48,0,0,0
48,5,15,0
48,4,5,0
48,4,5,0
48,2,0,0
48,4,5,0
48,2,0,0
48,2,0,0
48,0,0,0
48,6,15,9
48,2,0,0
48,8,82,90
48,4,5,0
48,8,50,61
48,8,40,42
48,0,0,0
48,2,0,0
48,4,8,0
48,4,8,0
48,8,47,39
48,2,0,0
48,4,5,0
59,2,0,0
13,2,0,0
24,2,0,0
7,0,0,0
49,8,52,61
22,6,18,9
52,8,32,36
37,6,20,9
25,8,51,53
28,4,5,0
22,4,9,0
22,6,15,9
43,8,73,68
25,8,52,61
22,7,29,17
48,4,5,0
32,6,15,9
22,4,5,0
22,5,10,0
22,6,19,9
22,4,5,0
22,4,5,0
22,3,0,0
22,4,5,0
18,4,5,0
17,4,5,0
3,0,0,0
39,6,20,10
30,6,19,10
16,6,15,9
35,6,15,9
26,4,5,0
16,4,7,0
35,4,6,0
16,4,5,0
22,4,5,0
28,4,6,0
16,4,5,0
16,4,6,0
49,7,27,9
49,6,18,9
49,6,8,0
49,8,54,50
52,8,60,44
49,2,0,0
49,8,52,64
49,6,9,0
49,5,5,0
49,4,5,0
49,4,5,0
49,8,81,92
49,8,56,66
49,4,5,0
49,4,5,0
49,5,9,0
49,4,5,0
49,2,0,0
49,7,15,0
49,5,11,0
49,4,0,0
49,0,0,0
49,4,5,0
49,2,0,0
49,4,5,0
49,6,8,0
49,6,16,9
49,2,0,0
49,0,0,0
49,2,0,0
49,5,5,0
49,2,0,0
49,6,15,0
49,3,0,0
49,6,11,0
49,8,33,36
49,2,0,0
49,2,0,0
49,6,28,9
49,5,10,0
49,0,0,0
49,4,5,0
49,2,0,0
49,8,33,36
49,2,0,0
49,2,0,0
58,6,27,9
33,8,30,36
59,8,30,36
29,4,5,0
18,8,30,36
17,8,30,36
19,2,0,0
9,0,0,0
10,0,0,0
33,4,5,0
59,4,5,0
10,6,15,9
17,6,16,9
9,6,15,9
9,6,15,9
9,6,16,9
9,6,15,9
9,0,0,0
29,2,0,0
18,4,5,0
17,4,5,0
23,0,0,0
5,0,0,0
59,4,5,0
36,4,5,0
49,4,8,0
25,4,5,0
25,4,5,0
27,4,5,0
25,6,15,9
25,6,15,9
25,4,5,0
25,6,15,9
25,6,15,9
25,4,5,0
25,0,0,0
25,4,5,0
25,4,5,0
25,2,0,0
25,0,0,0
25,0,0,0
25,2,0,0
25,2,0,0
25,0,0,0
25,2,0,0
25,4,5,0
25,2,0,0
25,0,0,0
39,6,20,10
39,6,15,9
39,6,15,9
39,4,7,0
39,4,5,0
39,4,5,0
39,4,5,0
39,2,0,0
39,6,15,9
39,4,7,0
39,4,7,0
39,4,5,0
39,4,5,0
39,0,0,0
39,4,5,0
39,4,5,0
39,2,0,0
39,4,5,0
39,4,5,0
39,4,5,0
39,4,5,0
39,4,5,0
39,0,0,0
39,4,5,0
39,4,7,0
39,2,0,0
39,4,5,0
39,6,15,9
39,6,15,9
39,2,0,0
39,4,5,0
39,2,0,0
39,4,5,0
39,4,5,0
39,6,15,9
39,4,5,0
39,3,0,0
39,4,5,0
59,8,47,54
33,6,13,0
33,8,37,54
35,6,13,0
36,5,9,0
33,2,0,0
49,8,50,45
33,8,37,54
35,4,7,0
45,4,5,0
33,6,15,9
33,6,15,9
41,5,8,0
33,6,27,19
33,4,0,0
33,4,5,0
33,3,0,0
33,4,5,0
