"0,1-d","2,1-d","3,1-d","4,1-d"
43,2,0,0
50,0,0,0
7,2,0,0
46,4,0,0
62,8,10,0
41,0,0,0
44,4,5,0
53,8,25,18
90,12,25,9
49,10,35,36
50,4,5,0
46,6,5,0
66,6,10,0
80,8,25,18
74,20,70,63
100,16,55,63
70,14,25,9
71,12,30,18
55,6,5,0
44,2,0,0
59,4,0,0
49,2,0,0
59,16,60,63
43,2,0,0
76,16,55,18
73,0,0,0
81,14,20,0
64,8,10,0
60,4,5,0
49,6,15,9
77,16,25,0
76,10,20,9
83,12,30,18
54,8,5,0
58,0,0,0
93,16,45,18
78,10,10,0
50,2,0,0
90,12,45,36
58,16,60,63
85,6,0,0
42,0,0,0
59,0,0,0
57,2,0,0
69,20,85,90
97,24,70,72
88,10,20,9
67,10,25,9
100,18,65,45
51,2,0,0
54,2,0,0
73,20,85,90
85,6,15,9
61,6,15,9
49,2,0,0
60,6,10,0
62,8,10,0
55,6,15,9
59,6,10,0
51,0,0,0
76,8,10,0
67,2,0,0
83,20,30,0
57,0,0,0
81,12,40,36
72,12,20,0
59,4,5,0
56,4,5,0
64,8,5,0
52,6,15,9
48,0,0,0
79,14,25,0
68,6,5,0
59,4,5,0
50,4,0,0
61,6,5,0
49,2,0,0
65,4,0,0
56,0,0,0
51,6,15,9
54,2,0,0
91,28,135,126
62,6,5,0
72,14,60,72
65,12,45,45
63,0,0,0
55,2,0,0
58,6,10,0
65,8,10,0
91,22,65,45
53,2,0,0
74,6,5,0
64,4,0,0
17,2,0,0
29,4,0,0
9,0,0,0
70,22,80,72
40,10,20,9
73,12,35,36
58,14,30,9
46,16,65,63
49,4,5,0
32,6,10,0
24,6,15,9
64,26,120,99
45,16,70,81
38,12,35,18
69,4,5,0
53,6,15,9
23,4,5,0
38,10,15,0
38,10,25,9
23,4,5,0
29,6,5,0
34,4,0,0
35,4,5,0
21,4,5,0
20,4,5,0
3,0,0,0
51,14,40,18
42,12,35,18
20,6,15,9
47,6,15,9
38,4,5,0
20,6,10,0
47,6,10,0
23,4,5,0
33,4,5,0
40,8,10,0
21,8,10,0
20,6,10,0
84,14,30,9
68,12,20,9
84,14,10,0
91,20,75,63
101,22,95,63
52,2,0,0
74,14,65,81
61,10,10,0
77,10,5,0
60,4,5,0
69,10,5,0
92,26,130,126
73,22,80,81
75,6,5,0
51,4,5,0
66,6,10,0
51,4,5,0
51,2,0,0
72,8,15,0
57,8,15,0
75,6,0,0
54,0,0,0
66,4,5,0
56,2,0,0
59,6,5,0
94,8,10,0
76,8,20,9
76,2,0,0
55,0,0,0
52,2,0,0
60,6,5,0
59,2,0,0
67,10,25,0
65,4,0,0
68,16,20,0
70,12,40,36
55,2,0,0
66,2,0,0
80,16,45,9
61,8,15,0
57,0,0,0
54,8,5,0
63,4,0,0
62,10,35,36
78,2,0,0
57,4,0,0
107,20,45,9
41,10,35,36
67,8,30,36
37,4,5,0
26,8,30,36
25,10,30,36
27,2,0,0
10,0,0,0
18,0,0,0
42,4,5,0
68,4,5,0
19,6,15,9
26,10,30,18
16,6,15,9
12,6,15,9
14,10,30,18
12,6,15,9
9,0,0,0
34,2,0,0
23,4,5,0
22,4,5,0
28,0,0,0
5,0,0,0
84,6,5,0
61,8,10,0
74,8,10,0
44,6,5,0
48,12,10,0
52,4,5,0
47,8,20,9
33,8,20,9
44,4,5,0
35,6,15,9
35,6,15,9
27,4,5,0
26,0,0,0
29,4,5,0
30,4,5,0
26,2,0,0
44,0,0,0
38,0,0,0
35,2,0,0
33,2,0,0
43,0,0,0
26,2,0,0
34,4,5,0
36,2,0,0
29,0,0,0
69,14,40,18
47,6,15,9
74,10,15,9
47,8,15,0
60,6,5,0
67,4,5,0
63,6,5,0
47,2,0,0
59,12,20,9
58,10,15,0
44,8,15,0
72,4,5,0
64,6,5,0
53,0,0,0
49,6,10,0
62,4,5,0
41,2,0,0
61,6,5,0
47,6,5,0
55,8,10,0
53,4,5,0
54,6,5,0
41,0,0,0
56,6,10,0
46,12,20,0
50,2,0,0
49,6,5,0
57,8,15,9
44,6,15,9
45,2,0,0
44,6,5,0
46,4,0,0
51,4,5,0
46,6,5,0
46,6,15,9
45,6,5,0
56,4,0,0
53,6,5,0
92,24,80,81
62,8,15,0
51,10,45,63
68,8,15,0
69,6,10,0
42,2,0,0
82,28,95,72
50,10,45,63
68,12,15,0
78,4,5,0
60,8,15,9
43,8,20,9
74,8,10,0
61,10,35,27
63,4,0,0
54,4,5,0
49,4,0,0
40,6,5,0
59,4,5,0
54,12,15,0
38,6,15,9
45,10,30,18
42,4,5,0
35,4,5,0
72,8,10,0
35,4,5,0
36,4,5,0
53,10,20,9
52,12,20,0
48,10,15,0
38,6,15,9
77,14,60,72
108,34,150,126
76,12,55,72
87,10,25,18
83,2,0,0
86,12,30,18
82,12,0,0
84,8,5,0
77,4,0,0
87,16,50,36
89,12,50,90
80,10,20,9
71,12,30,18
74,4,0,0
101,20,90,135
85,16,80,126
90,2,0,0
95,14,75,126
85,14,65,117
109,18,70,54
112,10,15,0
100,12,50,90
82,10,15,9
64,0,0,0
77,10,35,36
79,4,0,0
65,6,15,9
65,2,0,0
63,2,0,0
77,4,5,0
64,0,0,0
71,12,50,54
71,0,0,0
68,10,40,45
73,2,0,0
82,2,0,0
63,0,0,0
66,4,0,0
67,2,0,0
101,20,50,18
71,2,0,0
86,4,5,0
64,6,15,9
72,2,0,0
59,0,0,0
65,2,0,0
62,6,15,9
66,4,5,0
59,0,0,0
62,4,5,0
70,8,30,36
74,4,0,0
69,6,0,0
61,0,0,0
64,20,90,117
71,14,50,36
42,4,0,0
81,24,105,126
64,16,45,18
62,8,5,0
53,8,15,9
46,6,0,0
37,2,0,0
52,10,50,90
48,6,0,0
49,6,10,0
51,6,0,0
34,10,50,90
31,4,5,0
53,10,50,90
30,2,0,0
30,2,0,0
46,4,0,0
29,0,0,0
30,0,0,0
31,0,0,0
30,2,0,0
56,4,0,0
52,2,0,0
45,14,65,99
70,18,55,18
38,6,15,9
65,14,40,18
74,12,10,0
50,4,5,0
44,4,5,0
73,10,25,9
78,26,70,18
62,10,25,9
38,6,10,0
58,4,5,0
75,10,15,0
54,4,5,0
72,4,5,0
66,4,5,0
71,6,5,0
50,8,20,9
35,4,5,0
66,10,20,9
51,6,15,9
52,6,5,0
44,2,0,0
52,12,30,9
45,10,20,0
37,4,5,0
32,4,5,0
43,10,25,9
36,0,0,0
54,4,5,0
27,2,0,0
66,6,5,0
37,4,0,0
22,4,0,0
26,2,0,0
21,4,0,0
14,0,0,0
14,0,0,0
16,4,0,0
16,4,0,0
19,0,0,0
15,2,0,0
34,2,0,0
40,4,0,0
16,0,0,0
12,2,0,0
58,10,10,0
62,12,15,0
66,10,15,0
40,10,40,45
33,8,10,0
43,12,45,45
46,12,40,36
30,8,15,0
59,12,45,45
31,2,0,0
25,6,15,9
30,6,15,9
25,6,15,9
31,6,15,9
29,2,0,0
30,8,30,36
21,4,5,0
21,6,15,9
44,4,0,0
14,0,0,0
11,0,0,0
14,2,0,0
16,2,0,0
9,2,0,0
8,0,0,0
25,0,0,0
41,6,10,0
67,12,45,45
35,28,85,72
60,8,10,0
23,6,15,9
40,4,5,0
38,4,5,0
26,4,5,0
20,4,5,0
27,4,5,0
18,0,0,0
23,4,5,0
20,4,5,0
18,2,0,0
10,0,0,0
75,12,35,9
71,12,40,36
77,22,85,63
87,32,170,180
72,12,40,18
70,10,25,9
52,4,0,0
48,2,0,0
58,12,55,90
46,6,5,0
48,4,5,0
93,14,50,45
40,10,50,90
59,10,50,90
52,4,0,0
51,20,90,126
56,16,70,63
38,2,0,0
47,2,0,0
52,4,5,0
44,2,0,0
61,2,0,0
42,6,5,0
42,8,30,36
41,4,5,0
35,0,0,0
51,0,0,0
37,4,5,0
37,4,5,0
47,4,5,0
38,6,15,9
55,0,0,0
47,8,0,0
48,2,0,0
59,10,10,0
47,4,0,0
35,4,0,0
47,4,5,0
43,6,15,9
40,6,15,9
46,6,15,9
43,4,5,0
37,2,0,0
70,4,5,0
32,0,0,0
43,4,5,0
61,4,5,0
38,4,5,0
33,2,0,0
35,2,0,0
34,4,5,0
33,2,0,0
45,6,5,0
34,4,5,0
37,6,5,0
37,6,15,9
36,8,10,0
36,4,5,0
44,16,20,0
43,8,5,0
48,6,5,0
40,4,5,0
35,6,10,0
