"0,2-nd","1,2-nd","3,2-nd","4,2-nd"
16347,9,0,0
42303,131,0,0
48559,334,39,0
29667,118,18,0
59930,292,27,0
38543,196,0,0
19909,144,27,0
18958,143,27,0
23147,130,69,162
27173,154,72,162
18309,69,42,117
29772,114,45,117
52591,342,63,153
43257,178,18,0
51037,226,0,0
61849,379,57,153
71912,491,81,153
27506,272,105,648
42759,222,96,657
24903,167,21,0
20566,215,102,657
19566,217,102,657
27456,197,21,0
42661,152,21,0
24090,122,0,0
19908,152,27,0
18957,151,27,0
43844,181,21,0
23717,152,15,0
47100,164,30,0
30898,169,72,162
22304,73,42,117
33438,130,45,117
50633,491,153,936
34395,298,39,0
30095,350,144,936
40146,348,36,0
32564,292,36,0
28166,177,0,0
53560,530,120,693
29156,348,144,936
44741,338,150,945
66902,646,126,702
44076,317,147,945
36027,411,90,261
46570,310,63,261
24836,132,0,0
56246,467,75,261
43506,314,21,0
26217,106,42,117
36851,214,57,117
31664,146,0,0
35728,139,12,0
17620,52,0,0
51123,193,12,0
29356,73,0,0
38670,165,0,0
25966,93,0,0
22120,108,0,0
21260,172,30,0
48323,303,114,702
21428,429,162,927
16549,0,0,0
47861,337,48,0
34772,318,45,0
51433,449,111,315
60597,685,147,315
42005,289,42,0
46168,246,21,0
66389,541,42,0
46946,280,18,0
23319,160,12,0
18361,85,12,0
20313,171,30,0
22728,157,12,0
55893,321,33,0
51227,224,33,0
71221,536,99,315
50964,348,30,0
46131,141,0,0
47665,285,111,702
49615,607,189,1179
31516,311,69,270
61943,464,120,747
39737,506,180,1098
34421,253,24,0
29897,240,30,0
29154,239,54,216
62063,812,252,1377
40821,452,180,1161
34968,371,84,405
44917,374,66,270
73736,666,126,756
42807,248,0,0
53300,560,135,873
44309,325,30,0
47515,326,24,0
42916,254,9,0
44439,296,0,0
75150,881,222,1197
53497,580,156,1143
45140,283,9,0
69988,555,57,144
42642,116,12,0
73568,570,72,144
39935,103,12,0
55543,452,63,144
32966,251,18,0
26513,186,33,0
58569,478,78,270
61935,512,45,0
55017,242,15,0
62999,322,45,0
86848,791,186,873
65705,453,123,756
70220,545,87,144
20208,8,0,0
47800,414,126,918
35311,322,36,0
32091,251,51,216
64307,924,285,1782
43766,469,141,918
37564,426,153,1116
32936,252,18,0
48545,548,135,927
27269,61,36,81
27331,99,36,81
27122,48,36,81
21080,48,36,81
20504,40,36,81
20398,3,0,0
57699,448,54,0
40109,284,30,0
23372,25,0,0
23644,63,21,0
24471,75,15,0
20768,44,36,81
30331,193,15,0
29906,121,24,0
38379,247,15,0
35269,222,12,0
29086,153,12,0
30519,167,0,0
46440,316,21,0
33669,253,24,0
39155,274,33,0
42547,344,27,0
36545,292,21,0
71175,621,132,927
41886,409,120,900
37995,158,18,0
53730,439,117,909
25121,109,0,0
58648,520,51,0
22867,46,9,0
22401,45,12,0
20790,36,12,0
30846,113,15,0
21193,32,0,0
30471,97,0,0
30400,85,0,0
47311,314,33,0
22611,76,12,0
56525,424,30,0
19951,4,0,0
22919,36,0,0
57670,443,33,0
39944,286,33,0
33318,187,51,216
66468,721,186,1161
60837,642,177,1116
69290,1013,210,1035
43592,435,123,927
21484,73,15,0
40523,261,0,0
30556,11,0,0
3301,3,0,0
36952,332,72,270
66724,555,132,765
45900,477,132,882
39795,278,24,0
67827,806,225,1197
45415,565,162,1116
34663,225,9,0
36290,290,33,0
34663,225,9,0
50856,411,69,270
15154,75,0,0
80088,655,132,765
58186,377,111,756
47089,129,0,0
58903,557,87,126
36405,323,63,126
30408,244,33,0
35313,208,24,0
28216,252,69,126
24643,124,18,0
24212,192,51,216
57159,816,228,1197
35859,421,144,918
29875,343,108,531
35806,287,69,288
25708,182,24,0
48592,380,45,0
