simplex,index
24325,0
24394,1
40517,2
58507,3
3737,4
3905,5
7237,6
12715,7
13648,8
13659,9
13664,10
14304,11
14823,12
17370,13
18956,14
19615,15
19660,16
21669,17
23106,18
24832,19
26021,20
26363,21
28240,22
35376,23
35424,24
36383,25
36860,26
37616,27
37932,28
39984,29
41687,30
44934,31
48192,32
51464,33
55079,34
59077,35
59471,36
59870,37
61742,38
61796,39
62227,40
65346,41
66689,42
67851,43
24897,44
30545,45
42653,46
1182,47
3175,48
5379,49
33426,50
34071,51
36192,52
39688,53
63113,54
65086,55
66829,56
68041,57
554,58
3088,59
4503,60
4521,61
6142,62
9117,63
11180,64
12981,65
13769,66
20394,67
21477,68
22916,69
24295,70
28268,71
33726,72
40894,73
44594,74
45385,75
46139,76
49541,77
50970,78
53159,79
55835,80
56948,81
57628,82
60251,83
60797,84
67012,85
1441,86
3306,87
15089,88
22990,89
25318,90
25406,91
25750,92
25902,93
28406,94
28440,95
29941,96
33454,97
39659,98
40187,99
42018,100
59205,101
1444,102
4189,103
5338,104
12698,105
14425,106
15946,107
19172,108
22014,109
29017,110
30982,111
34121,112
35725,113
35863,114
40691,115
41588,116
45556,117
52121,118
52622,119
56995,120
57145,121
3029,122
39076,123
57738,124
2394,125
2470,126
6975,127
17554,128
17702,129
18533,130
20532,131
22552,132
27926,133
29761,134
33137,135
34596,136
35059,137
35280,138
47226,139
54118,140
60926,141
61918,142
65338,143
66820,144
66821,145
67820,146
4070,147
17141,148
25442,149
30291,150
37380,151
46598,152
51911,153
53676,154
54556,155
57682,156
57739,157
58198,158
6466,159
9207,160
9211,161
12067,162
16164,163
17755,164
27312,165
28209,166
32800,167
36011,168
36019,169
38656,170
39723,171
54519,172
55319,173
57174,174
58769,175
64720,176
10849,177
14456,178
15993,179
21895,180
28970,181
47703,182
54274,183
66739,184
67464,185
11090,186
1227,187
3826,188
1693,189
2317,190
2658,191
5187,192
6647,193
7522,194
10597,195
11443,196
12818,197
13093,198
16521,199
