"1,0-HCore","2,0-HCore","3,0-HCore"
11,39,3
11,21,0
3,0,0
3,0,0
6,4,0
11,39,0
10,8,0
4,2,0
11,7,0
7,0,0
11,159,3
11,46,6
3,2,0
7,2,0
6,3,0
9,12,0
11,23,0
11,42,0
8,4,0
7,4,0
8,4,0
11,79,3
11,20,0
9,3,0
7,2,0
2,0,0
5,2,0
5,0,0
11,94,0
8,2,0
11,17,0
9,0,0
7,5,0
10,9,0
9,14,0
5,0,0
10,2,0
7,2,0
3,0,0
11,12,3
11,129,9
8,3,0
6,0,0
10,6,0
8,3,0
8,2,0
5,0,0
6,0,0
9,5,0
3,0,0
3,0,0
11,130,34
7,2,0
2,0,0
6,4,0
2,0,0
6,0,0
8,8,0
10,14,0
4,0,0
8,3,0
5,0,0
7,0,0
8,3,0
11,27,0
9,2,0
9,2,0
4,0,0
9,4,0
2,0,0
11,4,0
11,36,0
4,0,0
2,0,0
7,2,0
11,3,0
4,0,0
2,0,0
2,0,0
3,0,0
3,0,0
6,0,0
8,4,0
10,8,0
8,6,3
7,0,0
8,2,0
7,2,0
8,0,0
5,0,0
11,3,0
9,2,0
5,0,0
8,2,0
4,0,0
7,2,0
10,2,0
11,18,0
4,2,0
7,2,0
7,0,0
9,0,0
10,2,0
10,6,0
10,12,0
8,0,0
8,6,0
4,0,0
10,6,0
7,2,0
7,5,0
7,2,0
7,4,0
2,0,0
8,9,3
11,11,0
9,5,0
4,0,0
9,2,0
9,4,0
7,2,0
7,4,0
10,17,0
8,0,0
9,0,0
3,0,0
10,7,0
8,0,0
6,0,0
9,2,0
6,0,0
4,2,0
9,0,0
11,14,0
11,33,5
11,20,0
10,7,0
5,0,0
7,0,0
3,0,0
4,2,0
4,0,0
5,0,0
11,11,0
7,0,0
7,0,0
2,0,0
3,0,0
9,2,0
8,2,0
6,0,0
5,2,0
7,0,0
5,0,0
2,0,0
10,4,0
5,0,0
6,0,0
9,0,0
6,0,0
7,2,0
9,5,0
4,2,0
7,0,0
10,0,0
7,4,0
11,14,0
5,0,0
3,0,0
2,0,0
5,0,0
7,0,0
7,0,0
4,0,0
4,0,0
2,0,0
11,4,0
8,0,0
3,0,0
9,4,0
7,0,0
6,2,0
5,2,0
10,6,0
4,0,0
4,0,0
11,24,3
11,43,3
10,3,0
5,0,0
4,0,0
4,0,0
10,7,0
3,0,0
6,0,0
8,0,0
6,0,0
4,0,0
8,2,0
6,0,0
3,0,0
6,0,0
7,2,0
5,0,0
8,2,0
7,0,0
8,7,0
3,0,0
6,0,0
10,6,0
3,0,0
8,0,0
8,0,0
8,4,0
6,0,0
6,0,0
6,0,0
5,0,0
4,0,0
11,4,0
6,0,0
7,2,0
7,2,0
6,0,0
9,2,0
9,5,0
9,4,0
10,14,0
11,10,0
5,2,0
11,2,0
8,0,0
8,0,0
6,0,0
11,3,0
5,0,0
8,0,0
8,0,0
8,4,0
6,0,0
7,0,0
3,0,0
2,0,0
11,116,3
11,18,0
2,0,0
