"1,0-nd","2,0-nd","3,0-nd"
2249,1892,153
1190,530,0
73,0,0
19,0,0
293,102,0
2295,1132,0
810,180,0
280,94,0
1662,608,0
555,0,0
4660,1788,9
2080,1982,204
352,282,0
343,80,0
425,306,0
722,510,0
1792,922,0
2039,2066,0
368,150,0
460,118,0
320,46,0
2625,2122,144
1418,646,0
544,76,0
236,34,0
98,0,0
500,260,0
213,0,0
3239,1570,0
389,8,0
1647,514,0
510,0,0
360,156,0
764,248,0
1104,206,0
67,0,0
570,14,0
613,182,0
126,0,0
2146,1654,177
4457,2768,240
341,42,0
231,0,0
656,166,0
333,76,0
266,8,0
343,0,0
118,0,0
774,150,0
176,0,0
66,0,0
3873,2792,309
553,314,0
14,0,0
372,234,0
79,0,0
234,0,0
532,394,0
1373,706,0
100,0,0
217,36,0
101,0,0
348,0,0
529,94,0
1616,602,0
497,12,0
393,76,0
60,0,0
486,88,0
34,0,0
699,120,0
1712,1206,0
411,0,0
180,0,0
651,246,0
1143,56,0
312,0,0
31,0,0
18,0,0
317,0,0
223,0,0
185,0,0
508,120,0
569,312,0
775,1284,153
382,0,0
394,8,0
279,130,0
272,0,0
434,0,0
1261,94,0
710,60,0
152,0,0
291,128,0
113,0,0
577,22,0
1281,218,0
1804,912,0
191,10,0
926,1078,0
451,0,0
469,0,0
899,100,0
730,142,0
1497,722,0
392,0,0
749,1184,0
96,0,0
847,258,0
367,58,0
480,310,0
287,14,0
661,404,0
84,0,0
691,1248,141
1331,614,0
653,140,0
52,0,0
536,40,0
629,192,0
565,22,0
402,372,0
1155,754,0
491,0,0
797,0,0
65,0,0
704,116,0
322,0,0
176,0,0
686,14,0
93,0,0
104,56,0
871,0,0
2048,626,0
2513,2222,204
3046,1384,0
805,276,0
155,0,0
236,0,0
37,0,0
165,134,0
173,0,0
137,0,0
1241,470,0
299,0,0
247,0,0
184,0,0
302,0,0
719,198,0
454,222,0
127,0,0
321,254,0
229,0,0
410,0,0
163,0,0
685,90,0
119,0,0
203,0,0
406,0,0
157,0,0
243,54,0
833,344,0
352,248,0
296,0,0
409,0,0
417,154,0
2546,1548,0
96,0,0
196,0,0
46,0,0
227,0,0
352,0,0
361,0,0
150,0,0
92,0,0
86,0,0
1495,454,0
464,0,0
94,0,0
544,116,0
444,0,0
348,66,0
126,4,0
1343,1238,0
203,0,0
251,0,0
2168,1956,144
2739,1148,21
501,74,0
324,0,0
147,0,0
46,0,0
1318,136,0
130,0,0
483,0,0
581,0,0
93,0,0
199,0,0
319,92,0
652,0,0
78,0,0
178,0,0
427,4,0
408,0,0
471,28,0
214,0,0
802,98,0
166,0,0
221,0,0
907,246,0
118,0,0
359,0,0
402,0,0
508,158,0
227,0,0
287,0,0
207,0,0
116,0,0
338,0,0
1357,340,0
240,0,0
408,42,0
625,64,0
107,0,0
1240,308,0
643,140,0
589,52,0
1295,1472,0
2098,1596,0
741,1114,0
1993,254,0
376,0,0
366,0,0
488,0,0
1504,270,0
112,0,0
414,0,0
316,0,0
449,38,0
86,0,0
290,0,0
60,0,0
85,0,0
6762,3000,81
1309,470,0
75,0,0
1271,772,0
132,0,0
473,134,0
125,0,0
224,0,0
39,0,0
71,0,0
36,0,0
122,0,0
374,0,0
687,0,0
199,0,0
643,0,0
94,30,0
1592,1640,0
101,0,0
386,0,0
72,0,0
114,0,0
795,190,0
75,0,0
973,0,0
1407,1214,0
78,0,0
358,0,0
1056,182,0
23,0,0
425,0,0
406,0,0
411,0,0
773,160,0
394,0,0
1304,74,0
579,42,0
17,0,0
247,26,0
2413,862,0
226,0,0
364,0,0
549,294,0
299,0,0
27,0,0
312,28,0
228,0,0
491,16,0
2655,752,0
1042,122,0
610,0,0
314,0,0
27,0,0
270,14,0
98,0,0
170,146,0
67,0,0
122,0,0
361,0,0
249,0,0
203,0,0
2356,2134,0
62,0,0
25,0,0
341,174,0
149,0,0
2083,2010,213
2260,604,0
452,12,0
258,0,0
592,0,0
1929,530,0
147,104,0
177,0,0
382,0,0
201,0,0
73,0,0
267,0,0
687,158,0
306,0,0
518,10,0
584,0,0
454,196,0
75,0,0
2887,2292,141
102,0,0
74,0,0
1690,576,0
2697,1472,0
271,0,0
1012,232,0
129,0,0
615,386,0
515,0,0
61,0,0
78,0,0
272,0,0
295,36,0
101,0,0
64,0,0
254,0,0
509,8,0
235,130,0
775,124,0
384,0,0
328,208,0
259,0,0
106,0,0
348,0,0
192,90,0
316,360,0
39,0,0
1773,1738,0
179,182,0
128,0,0
253,0,0
345,0,0
256,0,0
885,236,0
120,0,0
452,138,0
316,0,0
450,236,0
78,0,0
924,0,0
280,146,0
693,0,0
19,0,0
359,182,0
155,0,0
263,0,0
3034,952,0
2551,1044,0
317,0,0
582,0,0
81,0,0
80,0,0
406,0,0
92,0,0
410,16,0
15,0,0
676,150,0
497,0,0
87,0,0
109,0,0
178,0,0
35,0,0
235,0,0
43,0,0
477,18,0
177,0,0
298,4,0
949,1102,0
83,0,0
672,326,0
76,0,0
3207,2128,0
947,270,0
217,0,0
535,0,0
596,0,0
39,0,0
221,0,0
97,0,0
506,0,0
33,0,0
84,24,0
28,0,0
75,0,0
1006,70,0
68,0,0
1067,534,0
497,0,0
330,0,0
11,0,0
282,0,0
574,22,0
87,0,0
61,0,0
88,0,0
825,106,0
90,4,0
690,0,0
282,16,0
285,0,0
767,138,0
15,0,0
55,0,0
668,0,0
2079,778,0
369,32,0
489,0,0
107,0,0
458,0,0
2382,1820,0
284,44,0
441,8,0
425,0,0
450,0,0
289,22,0
97,0,0
158,0,0
628,0,0
382,28,0
77,0,0
29,0,0
96,0,0
1001,190,0
155,0,0
649,0,0
95,0,0
70,0,0
72,0,0
163,0,0
106,0,0
57,0,0
131,0,0
933,122,0
316,14,0
837,236,0
721,334,0
86,4,0
1167,88,0
17,0,0
332,0,0
75,0,0
1445,280,0
720,6,0
174,0,0
29,0,0
492,34,0
384,0,0
2159,1820,141
118,0,0
61,0,0
524,80,0
52,0,0
82,0,0
1722,520,0
258,10,0
52,0,0
698,0,0
28,0,0
337,0,0
101,0,0
317,10,0
431,0,0
268,0,0
95,0,0
404,0,0
29,0,0
2268,770,9
761,1174,0
850,0,0
256,18,0
389,0,0
181,0,0
403,64,0
94,0,0
2968,1202,0
349,74,0
161,0,0
184,0,0
247,12,0
263,4,0
183,0,0
789,1324,0
123,0,0
579,32,0
219,216,0
76,0,0
175,0,0
229,0,0
79,0,0
593,6,0
52,0,0
78,0,0
733,22,0
167,0,0
292,0,0
13,0,0
35,0,0
63,0,0
2968,2224,192
1037,0,0
35,0,0
529,0,0
289,18,0
74,0,0
127,0,0
20,0,0
83,0,0
452,86,0
43,0,0
54,0,0
153,4,0
308,0,0
122,0,0
370,60,0
206,0,0
126,0,0
256,0,0
1019,560,0
244,0,0
17,0,0
294,0,0
106,0,0
327,0,0
1516,306,0
290,0,0
478,0,0
1099,12,0
127,0,0
268,0,0
316,0,0
85,0,0
228,0,0
128,0,0
86,0,0
23,0,0
1766,334,0
39,0,0
683,38,0
216,64,0
32,0,0
29,0,0
44,0,0
376,98,0
85,0,0
1118,0,0
141,0,0
297,0,0
251,64,0
1862,574,0
140,0,0
1623,166,0
23,0,0
174,104,0
56,0,0
917,138,0
104,0,0
174,0,0
143,0,0
609,0,0
78,0,0
679,528,0
25,0,0
29,0,0
559,104,0
163,0,0
239,8,0
927,282,0
219,0,0
706,58,0
106,0,0
204,0,0
1064,84,0
154,0,0
67,0,0
617,0,0
290,0,0
13,0,0
231,0,0
251,0,0
339,0,0
366,0,0
363,38,0
49,0,0
239,24,0
881,142,0
143,0,0
624,12,0
144,0,0
4312,2882,228
382,20,0
1190,298,0
140,0,0
1135,328,0
641,208,0
35,0,0
3423,2122,204
2163,484,0
340,0,0
300,0,0
706,256,0
157,0,0
1280,434,0
3021,1386,123
248,0,0
716,58,0
97,0,0
77,0,0
141,0,0
1611,810,0
105,0,0
95,0,0
422,0,0
456,0,0
103,0,0
40,0,0
75,0,0
152,0,0
394,284,0
951,96,0
93,0,0
195,6,0
1172,188,0
389,0,0
251,0,0
152,0,0
55,0,0
343,6,0
160,0,0
39,0,0
299,0,0
85,0,0
261,0,0
52,0,0
24,0,0
32,0,0
366,0,0
456,234,0
1185,72,0
996,186,0
166,34,0
529,282,0
26,0,0
173,0,0
441,20,0
330,0,0
461,126,0
19,0,0
77,0,0
533,0,0
599,0,0
112,0,0
172,0,0
125,0,0
81,0,0
411,0,0
101,0,0
244,0,0
527,0,0
166,0,0
87,0,0
189,0,0
128,0,0
162,0,0
270,0,0
506,26,0
20,0,0
18,0,0
160,0,0
118,0,0
237,0,0
214,0,0
380,0,0
2723,1968,243
87,0,0
87,0,0
244,0,0
293,16,0
1169,126,0
100,0,0
75,0,0
437,0,0
554,64,0
2204,1852,0
547,0,0
451,0,0
1293,1516,0
1757,1482,210
72,0,0
526,234,0
63,0,0
134,0,0
141,134,0
253,0,0
1292,342,0
1623,1178,0
892,226,0
323,0,0
491,6,0
374,0,0
279,246,0
569,0,0
204,0,0
23,0,0
318,0,0
109,0,0
61,0,0
495,0,0
35,0,0
70,0,0
300,0,0
334,0,0
131,0,0
591,88,0
19,0,0
78,0,0
369,0,0
1124,1436,0
198,0,0
389,0,0
701,294,0
152,0,0
233,18,0
549,124,0
89,0,0
32,0,0
16,0,0
323,0,0
470,0,0
206,0,0
313,0,0
438,0,0
38,0,0
168,0,0
1446,290,0
248,0,0
74,0,0
343,0,0
344,0,0
116,0,0
86,0,0
380,286,0
196,0,0
262,28,0
458,0,0
173,0,0
703,96,0
748,0,0
13,0,0
116,0,0
618,70,0
106,0,0
152,0,0
1274,206,0
1565,170,0
611,96,0
152,0,0
1192,140,0
149,0,0
190,0,0
43,0,0
287,0,0
911,398,0
84,0,0
648,68,0
72,0,0
192,0,0
17,0,0
387,0,0
1333,280,0
249,0,0
287,0,0
113,0,0
59,0,0
1604,328,0
283,0,0
439,60,0
768,0,0
57,0,0
820,1040,0
83,0,0
80,0,0
644,0,0
56,0,0
136,0,0
392,4,0
86,0,0
87,0,0
96,0,0
211,0,0
66,0,0
128,0,0
146,0,0
216,0,0
639,162,0
47,0,0
88,0,0
49,0,0
73,0,0
309,46,0
174,0,0
830,84,0
230,94,0
189,0,0
887,34,0
638,130,0
315,228,0
17,0,0
399,18,0
105,0,0
69,0,0
78,0,0
104,0,0
90,0,0
476,88,0
33,0,0
194,0,0
54,0,0
50,0,0
350,0,0
72,0,0
441,4,0
408,0,0
640,0,0
212,0,0
42,0,0
1596,182,0
349,0,0
166,0,0
763,0,0
665,308,0
456,0,0
188,0,0
1213,700,0
209,0,0
35,0,0
66,0,0
415,256,0
728,0,0
87,0,0
20,0,0
145,0,0
1963,446,0
296,50,0
581,274,0
175,0,0
148,0,0
484,0,0
397,90,0
44,4,0
115,0,0
320,0,0
673,0,0
319,0,0
1335,108,0
843,4,0
1891,1554,0
85,0,0
81,0,0
206,0,0
1150,350,0
71,0,0
89,0,0
409,0,0
202,0,0
213,0,0
384,50,0
426,94,0
149,0,0
87,0,0
1752,394,0
124,0,0
229,134,0
17,0,0
147,0,0
181,0,0
423,168,0
151,0,0
582,18,0
1068,432,0
1112,518,0
239,0,0
1651,222,0
1465,1240,0
180,0,0
268,0,0
1774,130,0
201,0,0
13,0,0
384,10,0
381,0,0
544,0,0
519,0,0
101,0,0
43,0,0
217,0,0
1553,1628,0
7,0,0
321,56,0
157,0,0
28,0,0
298,0,0
124,0,0
360,0,0
56,0,0
151,0,0
172,0,0
233,32,0
158,26,0
35,0,0
49,0,0
507,30,0
759,154,0
166,68,0
106,0,0
37,0,0
55,0,0
59,0,0
56,0,0
278,0,0
106,0,0
107,0,0
23,0,0
464,134,0
2370,954,21
590,28,0
630,30,0
224,22,0
915,254,0
1035,172,0
60,0,0
312,0,0
114,0,0
267,0,0
173,0,0
102,0,0
74,0,0
723,82,0
446,0,0
258,0,0
253,0,0
37,0,0
401,0,0
3957,2106,150
452,62,0
93,0,0
69,0,0
214,0,0
258,0,0
192,0,0
152,0,0
867,144,0
1590,1508,0
172,0,0
1109,1306,0
43,0,0
120,0,0
96,0,0
265,0,0
313,54,0
52,0,0
2605,872,0
52,0,0
752,378,0
287,34,0
826,240,0
108,0,0
60,0,0
64,0,0
1323,1532,201
371,0,0
51,0,0
183,122,0
34,0,0
633,0,0
1570,610,0
287,0,0
652,62,0
616,150,0
452,260,0
29,0,0
302,0,0
430,0,0
2438,1126,0
293,0,0
114,0,0
707,34,0
592,0,0
249,100,0
153,6,0
240,0,0
171,0,0
953,204,0
596,0,0
1141,386,0
111,0,0
22,0,0
235,32,0
89,0,0
206,0,0
123,0,0
786,106,0
1143,366,0
443,0,0
1537,1694,201
138,0,0
184,0,0
383,0,0
115,0,0
107,0,0
858,0,0
228,0,0
182,0,0
58,0,0
177,0,0
189,0,0
431,20,0
386,0,0
107,54,0
191,0,0
129,0,0
288,28,0
847,0,0
220,0,0
219,0,0
205,0,0
120,0,0
299,0,0
427,4,0
1649,304,0
91,0,0
295,0,0
579,94,0
2881,2132,234
111,0,0
584,0,0
1035,0,0
307,22,0
172,0,0
311,0,0
461,0,0
118,0,0
2648,1744,0
1501,1136,0
1262,200,0
402,0,0
93,0,0
674,160,0
202,6,0
252,0,0
370,0,0
580,0,0
115,0,0
31,0,0
92,0,0
1284,16,0
1679,384,0
178,0,0
361,0,0
13,0,0
28,0,0
1384,516,0
1556,714,0
974,1328,0
47,0,0
33,0,0
614,68,0
472,92,0
344,0,0
91,40,0
379,20,0
20,0,0
146,0,0
52,0,0
503,216,0
115,0,0
76,0,0
337,0,0
30,0,0
656,158,0
270,0,0
71,0,0
140,0,0
306,0,0
1651,890,0
442,0,0
168,0,0
606,0,0
66,0,0
1713,1628,0
1811,192,0
397,0,0
25,0,0
135,0,0
3363,2214,300
899,40,0
307,48,0
2133,158,0
260,0,0
223,0,0
41,0,0
179,0,0
593,0,0
214,0,0
102,0,0
100,0,0
63,0,0
312,0,0
441,0,0
907,20,0
507,86,0
119,0,0
605,198,0
113,0,0
159,6,0
33,0,0
29,0,0
1173,0,0
13,0,0
593,280,0
218,0,0
35,0,0
112,0,0
941,46,0
697,194,0
523,0,0
15,0,0
318,0,0
149,0,0
70,0,0
210,0,0
18,0,0
22,0,0
479,358,0
453,82,0
216,32,0
168,14,0
317,0,0
148,0,0
391,0,0
1608,772,21
302,0,0
80,0,0
26,0,0
54,0,0
292,0,0
132,0,0
677,0,0
247,4,0
67,0,0
147,0,0
821,0,0
88,0,0
252,6,0
33,0,0
1658,594,0
60,0,0
133,0,0
82,0,0
566,10,0
213,28,0
121,0,0
28,0,0
253,0,0
120,0,0
288,0,0
248,0,0
454,0,0
433,180,0
2086,532,0
140,0,0
361,286,0
15,0,0
382,0,0
417,0,0
60,0,0
891,420,0
84,0,0
222,0,0
173,0,0
43,0,0
143,0,0
58,0,0
96,0,0
151,0,0
389,8,0
104,0,0
17,0,0
49,0,0
444,0,0
3073,2418,24
31,0,0
299,0,0
170,0,0
22,0,0
2559,492,0
249,0,0
126,0,0
672,50,0
177,0,0
583,170,0
273,0,0
524,0,0
1153,8,0
475,102,0
131,0,0
127,0,0
83,0,0
498,0,0
18,0,0
363,0,0
102,0,0
313,14,0
143,0,0
559,0,0
36,0,0
205,0,0
297,0,0
998,262,0
1514,1700,0
285,0,0
111,0,0
19,0,0
438,26,0
84,0,0
659,4,0
1333,516,0
160,0,0
201,0,0
88,0,0
1168,502,0
543,0,0
47,0,0
17,0,0
121,0,0
62,0,0
53,0,0
428,0,0
247,0,0
246,0,0
395,20,0
529,28,0
304,0,0
166,0,0
158,0,0
320,0,0
169,0,0
80,0,0
261,0,0
271,0,0
56,0,0
385,0,0
367,0,0
503,0,0
12,0,0
204,0,0
248,0,0
139,0,0
210,0,0
645,0,0
131,0,0
69,0,0
86,0,0
326,0,0
404,220,0
101,0,0
229,0,0
93,0,0
40,0,0
58,0,0
81,0,0
280,0,0
649,0,0
993,44,0
181,0,0
40,0,0
298,0,0
139,0,0
71,0,0
936,1078,0
127,44,0
272,0,0
103,0,0
601,142,0
871,88,0
157,0,0
2913,1198,0
641,372,0
1427,168,0
792,8,0
241,26,0
1108,1230,0
506,0,0
80,0,0
404,0,0
1512,744,0
29,0,0
536,292,0
188,6,0
208,10,0
333,12,0
145,0,0
1596,1364,147
123,10,0
301,0,0
87,0,0
362,0,0
588,222,0
19,0,0
345,0,0
50,0,0
337,0,0
1426,1340,0
26,0,0
235,0,0
527,34,0
561,140,0
2701,1774,183
1568,180,0
34,0,0
180,0,0
45,0,0
789,428,0
236,0,0
64,0,0
908,144,0
172,0,0
19,0,0
67,0,0
1243,480,0
391,0,0
341,0,0
13,0,0
370,0,0
58,0,0
313,0,0
57,0,0
563,0,0
537,12,0
123,0,0
120,0,0
77,0,0
120,0,0
1484,706,0
542,280,0
55,0,0
43,0,0
681,26,0
553,0,0
183,0,0
22,0,0
1391,1040,0
785,262,0
56,0,0
146,0,0
92,0,0
491,0,0
104,0,0
151,0,0
363,16,0
249,0,0
1500,1422,0
1203,1626,0
814,296,0
151,0,0
136,0,0
410,0,0
66,0,0
71,0,0
208,0,0
109,0,0
106,0,0
82,0,0
162,0,0
192,0,0
34,0,0
708,0,0
129,0,0
160,0,0
105,54,0
981,486,0
353,0,0
100,0,0
536,0,0
54,0,0
66,0,0
317,0,0
190,0,0
154,0,0
76,0,0
112,0,0
33,0,0
66,0,0
563,228,0
215,0,0
167,10,0
11,0,0
151,0,0
2201,762,0
45,0,0
109,0,0
165,0,0
200,0,0
207,0,0
1153,1502,0
38,0,0
993,192,0
1651,1092,0
175,0,0
46,0,0
354,6,0
510,0,0
78,0,0
40,0,0
117,0,0
7029,4750,423
55,0,0
614,10,0
92,0,0
788,0,0
357,0,0
44,0,0
13,0,0
11,0,0
801,114,0
364,220,0
246,0,0
659,0,0
58,0,0
330,132,0
210,0,0
932,32,0
182,0,0
483,292,0
1949,656,9
30,0,0
95,0,0
24,0,0
247,0,0
213,0,0
364,0,0
1214,404,0
239,0,0
351,0,0
309,16,0
88,0,0
47,0,0
86,0,0
39,0,0
89,0,0
145,0,0
955,260,0
346,0,0
54,0,0
112,0,0
1281,1150,0
49,0,0
198,14,0
1516,0,0
146,0,0
145,0,0
99,0,0
116,74,0
69,0,0
215,0,0
191,0,0
88,0,0
463,0,0
757,0,0
310,0,0
1128,46,0
214,0,0
694,0,0
170,0,0
458,0,0
486,0,0
276,134,0
131,0,0
102,0,0
551,0,0
55,0,0
159,0,0
33,0,0
23,0,0
183,0,0
130,0,0
75,0,0
402,106,0
1145,324,0
21,0,0
493,0,0
11,0,0
696,194,0
32,0,0
138,0,0
608,226,0
525,100,0
154,0,0
58,0,0
86,0,0
32,0,0
428,0,0
1138,288,0
1691,470,0
481,36,0
55,0,0
38,0,0
93,0,0
273,0,0
357,0,0
126,0,0
565,0,0
85,0,0
63,0,0
455,0,0
140,0,0
14,0,0
146,0,0
604,30,0
241,0,0
51,0,0
99,0,0
951,0,0
137,0,0
219,0,0
236,0,0
1369,316,0
94,0,0
428,158,0
318,0,0
49,0,0
102,0,0
108,0,0
354,0,0
773,20,0
90,0,0
55,0,0
5283,3348,324
282,0,0
225,0,0
14,0,0
4881,1864,0
39,0,0
97,0,0
722,174,0
43,0,0
164,0,0
874,48,0
526,0,0
2056,780,12
12,0,0
13,0,0
209,0,0
323,0,0
522,0,0
53,0,0
136,0,0
2054,468,0
1211,350,0
220,0,0
391,0,0
396,0,0
87,0,0
19,0,0
38,0,0
264,0,0
196,40,0
42,0,0
810,334,0
88,0,0
87,0,0
658,210,0
34,0,0
239,0,0
310,0,0
125,0,0
4115,1894,18
50,0,0
17,0,0
85,0,0
39,0,0
46,0,0
30,0,0
109,0,0
261,0,0
516,82,0
143,8,0
57,0,0
37,0,0
3614,1986,0
273,0,0
1179,174,0
19,0,0
97,0,0
275,0,0
598,6,0
292,48,0
322,28,0
61,0,0
982,0,0
500,0,0
3047,1082,0
496,0,0
129,0,0
249,0,0
289,0,0
101,0,0
317,8,0
52,0,0
73,0,0
1497,1432,0
199,0,0
523,0,0
125,0,0
514,0,0
444,108,0
99,0,0
157,0,0
76,0,0
68,0,0
115,0,0
933,1296,0
123,0,0
16,0,0
177,0,0
28,0,0
162,0,0
1135,1318,0
187,50,0
1149,330,0
101,0,0
127,0,0
500,24,0
1070,152,0
354,0,0
190,0,0
531,64,0
999,312,0
2378,1636,183
234,0,0
280,0,0
284,0,0
93,0,0
345,4,0
79,0,0
134,60,0
565,110,0
268,0,0
10,0,0
307,0,0
1069,1326,0
52,0,0
44,0,0
76,0,0
362,0,0
152,0,0
1218,374,0
184,0,0
300,0,0
63,0,0
269,4,0
906,1170,0
667,0,0
123,0,0
67,0,0
74,0,0
49,0,0
200,0,0
23,0,0
84,0,0
969,10,0
342,0,0
38,0,0
373,0,0
262,0,0
2282,1630,0
61,0,0
58,0,0
236,0,0
208,0,0
113,0,0
50,0,0
81,0,0
55,0,0
200,0,0
777,280,0
88,0,0
41,0,0
755,0,0
91,0,0
689,0,0
566,70,0
181,0,0
477,0,0
183,0,0
763,0,0
228,0,0
