"0,1-HhIndex","2,1-HhIndex","3,1-HhIndex"
66,4,0
63,0,0
91,2,0
63,0,0
64,2,0
63,0,0
64,0,0
64,2,0
90,2,0
75,2,0
63,0,0
64,0,0
64,4,5
64,2,0
63,0,0
63,0,0
63,0,0
68,2,0
64,0,0
68,4,0
63,2,0
242,4,5
63,0,0
65,0,0
63,0,0
63,0,0
63,0,0
65,0,0
63,0,0
63,0,0
63,0,0
63,0,0
70,4,0
64,2,0
64,2,0
63,2,0
63,0,0
64,0,0
64,2,0
64,0,0
76,4,0
66,2,0
66,3,0
64,0,0
65,2,0
91,4,0
63,2,0
66,0,0
228,3,0
65,2,0
89,0,0
64,2,0
64,2,0
64,3,0
66,0,0
64,4,0
63,0,0
310,6,5
73,4,0
64,2,0
63,0,0
64,2,0
63,2,0
64,2,0
38,2,0
36,2,0
64,4,0
42,2,0
39,3,0
36,2,0
42,2,0
42,2,0
58,2,0
37,0,0
37,0,0
40,0,0
42,0,0
46,2,0
81,0,0
42,2,0
39,0,0
36,0,0
57,2,0
271,4,0
58,0,0
36,0,0
42,2,0
39,2,0
80,0,0
37,0,0
35,0,0
55,2,0
35,0,0
42,0,0
37,0,0
42,2,0
38,0,0
37,0,0
45,0,0
4,0,0
6,0,0
94,5,0
87,2,0
88,2,0
87,2,0
88,4,0
92,2,0
87,0,0
87,0,0
160,6,0
88,0,0
207,4,0
91,2,0
87,0,0
91,4,0
89,2,0
95,2,0
88,0,0
89,2,0
88,0,0
88,0,0
89,2,0
87,0,0
87,0,0
87,0,0
88,0,0
88,0,0
88,0,0
87,0,0
91,3,0
89,2,0
88,2,0
93,2,0
90,4,0
87,0,0
87,0,0
89,0,0
93,2,0
87,0,0
89,2,0
88,0,0
89,0,0
133,4,0
87,0,0
87,0,0
87,0,0
90,0,0
90,2,0
87,0,0
89,0,0
88,0,0
87,0,0
87,0,0
87,0,0
88,0,0
87,0,0
89,0,0
87,0,0
88,2,0
90,2,0
88,0,0
87,2,0
87,0,0
88,2,0
87,0,0
87,0,0
87,0,0
87,0,0
90,2,0
88,0,0
87,0,0
91,0,0
87,0,0
87,0,0
89,2,0
89,0,0
87,0,0
88,0,0
87,2,0
88,2,0
87,0,0
87,0,0
87,0,0
88,2,0
87,0,0
87,0,0
87,0,0
87,0,0
24,2,0
22,0,0
70,2,0
24,2,0
20,0,0
16,0,0
32,2,0
29,0,0
22,0,0
19,0,0
24,0,0
24,0,0
19,0,0
30,2,0
19,0,0
17,0,0
39,2,0
36,2,0
58,0,0
35,0,0
52,0,0
35,0,0
38,0,0
37,0,0
34,0,0
35,0,0
38,0,0
38,0,0
34,0,0
36,0,0
35,0,0
36,0,0
34,0,0
39,0,0
34,0,0
35,0,0
35,0,0
34,0,0
34,0,0
35,0,0
35,0,0
42,0,0
39,0,0
34,0,0
34,0,0
35,0,0
35,0,0
34,0,0
34,0,0
35,0,0
16,0,0
19,0,0
15,2,0
76,2,0
19,0,0
16,0,0
16,0,0
14,0,0
13,0,0
17,0,0
13,0,0
14,0,0
13,0,0
51,0,0
58,0,0
65,0,0
27,0,0
32,0,0
23,0,0
27,0,0
24,0,0
23,0,0
22,0,0
32,0,0
27,0,0
22,0,0
49,0,0
24,0,0
24,0,0
22,0,0
22,0,0
49,0,0
22,0,0
25,0,0
22,0,0
23,2,0
159,2,0
44,2,0
20,0,0
70,2,0
24,2,0
20,0,0
22,0,0
18,0,0
18,2,0
18,0,0
22,0,0
42,0,0
18,0,0
17,0,0
52,2,0
18,0,0
310,10,5
87,2,0
85,2,0
160,6,0
89,2,0
86,0,0
87,2,0
91,2,0
87,0,0
89,0,0
86,2,0
87,5,0
85,0,0
88,4,0
86,2,0
86,0,0
86,2,0
85,0,0
91,4,5
89,4,5
86,0,0
86,2,0
86,2,0
85,0,0
85,0,0
86,0,0
85,0,0
85,0,0
85,0,0
85,2,0
87,2,0
85,2,0
85,0,0
85,0,0
85,2,0
86,2,0
86,0,0
86,2,0
85,2,0
86,0,0
85,0,0
85,0,0
85,0,0
85,2,0
85,2,0
86,0,0
86,2,0
97,6,5
85,0,0
85,2,0
87,4,5
86,0,0
86,2,0
86,0,0
85,0,0
85,0,0
85,0,0
85,0,0
86,0,0
87,2,0
86,0,0
86,0,0
86,2,0
85,0,0
85,0,0
86,2,0
85,0,0
85,0,0
86,2,0
88,4,0
86,4,5
85,0,0
85,0,0
85,0,0
86,0,0
88,0,0
86,2,0
88,2,0
85,0,0
86,2,0
86,0,0
85,0,0
90,2,0
85,0,0
86,0,0
75,2,0
73,2,0
69,0,0
75,4,0
68,2,0
69,2,0
67,3,0
67,2,0
71,0,0
70,2,0
68,0,0
68,0,0
67,0,0
67,0,0
71,2,0
70,2,0
67,0,0
67,2,0
67,0,0
67,2,0
67,2,0
91,4,0
67,0,0
69,0,0
69,2,0
67,2,0
67,0,0
67,0,0
67,0,0
82,4,0
67,0,0
66,0,0
67,0,0
68,0,0
66,0,0
67,0,0
67,2,0
66,0,0
67,0,0
67,0,0
66,0,0
68,0,0
66,0,0
66,0,0
67,0,0
81,0,0
67,0,0
67,0,0
66,0,0
67,0,0
67,0,0
66,0,0
66,0,0
66,0,0
67,0,0
67,0,0
67,0,0
66,0,0
67,2,0
67,0,0
68,2,0
67,0,0
66,0,0
67,0,0
68,0,0
66,0,0
49,0,0
60,0,0
4,0,0
29,0,0
17,0,0
