"1,0-HhIndex","2,0-HhIndex","3,0-HhIndex","4,0-HhIndex"
10,6,0,0
12,8,0,0
8,0,0,0
1,0,0,0
10,6,0,0
11,0,0,0
11,3,0,0
16,12,0,0
19,4,0,0
12,7,3,0
12,4,0,0
6,0,0,0
2,0,0,0
12,6,0,0
1,0,0,0
7,0,0,0
10,0,0,0
3,0,0,0
2,0,0,0
8,4,0,0
1,0,0,0
11,6,0,0
5,3,0,0
9,3,0,0
7,2,0,0
5,0,0,0
8,14,11,7
12,9,9,6
8,4,0,0
1,0,0,0
13,18,14,7
1,0,0,0
16,18,6,0
3,2,0,0
3,0,0,0
3,0,0,0
3,0,0,0
12,7,3,0
9,7,5,0
2,0,0,0
3,0,0,0
3,0,0,0
14,9,8,4
6,3,3,0
6,0,0,0
6,2,0,0
4,0,0,0
17,21,15,8
12,4,3,0
14,6,0,0
16,14,4,0
9,8,0,0
5,2,0,0
1,0,0,0
3,0,0,0
9,14,11,7
11,2,0,0
7,5,3,0
1,0,0,0
2,0,0,0
1,0,0,0
13,7,5,0
6,2,0,0
11,4,0,0
2,0,0,0
9,5,0,0
10,2,0,0
3,3,0,0
3,0,0,0
4,0,0,0
13,0,0,0
3,0,0,0
17,18,9,0
5,0,0,0
10,4,0,0
12,2,0,0
6,4,3,0
13,6,3,0
5,5,5,4
7,0,0,0
1,0,0,0
6,6,6,6
2,2,0,0
13,3,0,0
6,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
1,0,0,0
14,0,0,0
2,0,0,0
9,4,0,0
7,5,0,0
6,4,0,0
15,2,0,0
15,2,0,0
4,4,3,0
7,0,0,0
3,0,0,0
1,0,0,0
7,0,0,0
11,8,8,6
14,0,0,0
3,0,0,0
8,2,0,0
1,0,0,0
15,3,0,0
2,0,0,0
3,0,0,0
12,6,3,0
2,0,0,0
1,0,0,0
10,6,0,0
3,0,0,0
3,0,0,0
1,0,0,0
12,5,0,0
8,0,0,0
7,4,0,0
5,0,0,0
2,2,0,0
11,8,0,0
6,4,3,0
16,13,4,0
9,5,0,0
3,0,0,0
8,4,0,0
2,2,0,0
17,17,7,0
