"0,1-HCore","2,1-HCore","3,1-HCore","4,1-HCore"
26,2,0,0
26,2,0,0
26,2,0,0
26,0,0,0
26,2,0,0
26,0,0,0
26,2,0,0
35,2,0,0
40,2,0,0
26,2,0,0
26,0,0,0
26,0,0,0
26,0,0,0
26,2,0,0
26,0,0,0
26,2,0,0
26,0,0,0
26,0,0,0
26,0,0,0
26,0,0,0
26,2,0,0
26,2,0,0
26,0,0,0
26,0,0,0
26,0,0,0
26,0,0,0
26,0,0,0
15,2,0,0
101,2,0,0
115,0,0,0
14,0,0,0
232,2,0,0
171,2,0,0
159,0,0,0
36,0,0,0
214,2,0,0
48,0,0,0
75,2,0,0
313,0,0,0
98,2,0,0
15,2,0,0
101,0,0,0
115,0,0,0
14,0,0,0
159,0,0,0
313,0,0,0
47,0,0,0
40,2,0,0
277,0,0,0
13,0,0,0
105,0,0,0
15,2,0,0
101,2,0,0
115,0,0,0
14,0,0,0
171,2,0,0
159,0,0,0
75,2,0,0
92,0,0,0
106,0,0,0
96,0,0,0
15,2,0,0
101,0,0,0
12,2,0,0
101,0,0,0
115,0,0,0
11,0,0,0
96,0,0,0
40,2,0,0
15,0,0,0
15,0,0,0
14,0,0,0
35,2,0,0
35,2,0,0
35,2,0,0
101,4,5,0
171,4,5,0
35,2,0,0
35,2,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,4,5,0
35,4,5,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,2,0,0
35,0,0,0
35,2,0,0
35,2,0,0
35,0,0,0
35,0,0,0
35,0,0,0
53,2,0,0
35,0,0,0
35,2,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
35,0,0,0
40,2,0,0
40,2,0,0
40,2,0,0
40,2,0,0
40,0,0,0
40,0,0,0
40,3,0,0
40,0,0,0
40,2,0,0
40,2,0,0
40,2,0,0
40,0,0,0
40,2,0,0
40,0,0,0
40,2,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
40,0,0,0
214,2,0,0
47,0,0,0
42,0,0,0
53,0,0,0
16,0,0,0
96,0,0,0
29,0,0,0
52,0,0,0
16,2,0,0
277,0,0,0
106,2,0,0
77,0,0,0
15,2,0,0
32,0,0,0
53,0,0,0
8,0,0,0
9,0,0,0
101,0,0,0
11,0,0,0
20,0,0,0
53,0,0,0
11,0,0,0
10,0,0,0
19,0,0,0
10,0,0,0
10,2,0,0
10,2,0,0
53,0,0,0
16,0,0,0
29,0,0,0
16,0,0,0
101,0,0,0
14,0,0,0
16,0,0,0
16,0,0,0
29,0,0,0
19,0,0,0
101,0,0,0
232,2,0,0
214,2,0,0
277,0,0,0
13,0,0,0
164,0,0,0
40,0,0,0
29,0,0,0
37,0,0,0
96,0,0,0
7,0,0,0
4,0,0,0
34,0,0,0
24,0,0,0
13,0,0,0
53,0,0,0
53,0,0,0
10,0,0,0
10,0,0,0
10,0,0,0
10,0,0,0
10,0,0,0
159,0,0,0
12,2,0,0
29,0,0,0
164,0,0,0
39,0,0,0
29,0,0,0
29,0,0,0
53,2,0,0
24,0,0,0
12,0,0,0
12,0,0,0
4,0,0,0
105,0,0,0
32,0,0,0
40,0,0,0
10,0,0,0
7,0,0,0
78,0,0,0
41,0,0,0
96,0,0,0
39,0,0,0
20,0,0,0
40,0,0,0
12,0,0,0
10,0,0,0
41,2,0,0
34,0,0,0
13,2,0,0
11,0,0,0
16,0,0,0
20,0,0,0
11,0,0,0
11,0,0,0
11,0,0,0
11,0,0,0
11,0,0,0
171,4,5,0
101,2,0,0
101,2,0,0
101,0,0,0
101,0,0,0
101,4,5,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,4,5,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,2,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,2,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,2,0,0
101,0,0,0
101,2,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
101,0,0,0
