"0,1-nd","2,1-nd","3,1-nd","4,1-nd"
2638,10,0,0
2199,12,0,0
1960,10,0,0
1003,0,0,0
1252,10,0,0
902,0,0,0
1069,18,0,0
2595,18,0,0
2634,20,0,0
1652,18,0,0
902,0,0,0
1526,0,0,0
1217,0,0,0
1076,10,0,0
1003,0,0,0
1113,18,0,0
2027,0,0,0
1054,0,0,0
1190,0,0,0
902,0,0,0
1596,10,0,0
961,10,0,0
1114,0,0,0
902,0,0,0
1290,0,0,0
902,0,0,0
1161,0,0,0
1955,10,0,0
12432,62,0,0
15393,0,0,0
1935,0,0,0
57280,120,0,0
31465,54,0,0
28216,0,0,0
3367,0,0,0
49049,120,0,0
4313,0,0,0
7633,14,0,0
101473,0,0,0
12232,6,0,0
1516,14,0,0
11993,0,0,0
14954,0,0,0
1496,0,0,0
27777,0,0,0
101034,0,0,0
3859,0,0,0
3202,6,0,0
79712,0,0,0
1552,0,0,0
12952,0,0,0
1277,10,0,0
11754,64,0,0
14715,0,0,0
1257,0,0,0
30787,56,0,0
27538,0,0,0
6955,20,0,0
10149,0,0,0
12909,0,0,0
10743,0,0,0
1934,12,0,0
10797,0,0,0
569,10,0,0
11046,0,0,0
14007,0,0,0
549,0,0,0
10035,0,0,0
2072,6,0,0
1763,0,0,0
1308,0,0,0
1351,0,0,0
2495,10,0,0
1956,10,0,0
2439,20,0,0
12389,80,50,0
31422,76,50,0
3335,10,0,0
3593,10,0,0
1852,0,0,0
2407,0,0,0
2240,0,0,0
2834,28,40,0
2028,26,40,0
2019,0,0,0
1881,0,0,0
2464,0,0,0
2962,0,0,0
2399,0,0,0
2602,0,0,0
2854,10,0,0
2612,0,0,0
2038,12,0,0
1867,12,0,0
1890,0,0,0
2033,0,0,0
1797,0,0,0
4957,20,0,0
1881,0,0,0
2182,10,0,0
1802,0,0,0
1801,0,0,0
1754,0,0,0
1816,0,0,0
1754,0,0,0
1754,0,0,0
1835,0,0,0
2534,12,0,0
1958,10,0,0
1995,12,0,0
1843,10,0,0
2187,0,0,0
3266,0,0,0
2844,38,0,0
1802,0,0,0
2229,14,0,0
2828,18,0,0
2791,16,0,0
2248,0,0,0
3017,16,0,0
3374,0,0,0
2842,14,0,0
1802,0,0,0
3632,0,0,0
2096,0,0,0
2172,0,0,0
1798,0,0,0
1798,0,0,0
1899,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
2328,0,0,0
3151,0,0,0
1798,0,0,0
1891,0,0,0
1878,0,0,0
1798,0,0,0
3112,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
1798,0,0,0
48063,8,0,0
3312,0,0,0
2892,0,0,0
3975,0,0,0
1235,0,0,0
10869,0,0,0
1835,0,0,0
3939,0,0,0
1800,8,0,0
79039,0,0,0
12475,6,0,0
7254,0,0,0
1149,6,0,0
1827,0,0,0
3888,0,0,0
700,0,0,0
696,0,0,0
11011,0,0,0
514,0,0,0
987,0,0,0
3579,0,0,0
1001,0,0,0
673,0,0,0
738,0,0,0
351,0,0,0
373,4,0,0
397,4,0,0
3399,0,0,0
659,0,0,0
1259,0,0,0
1224,0,0,0
10797,0,0,0
1399,0,0,0
696,0,0,0
1261,0,0,0
1301,0,0,0
634,0,0,0
11821,0,0,0
56669,120,0,0
48438,120,0,0
79540,0,0,0
1378,0,0,0
29350,0,0,0
3071,0,0,0
2245,0,0,0
1862,0,0,0
9837,0,0,0
307,0,0,0
