"0,2-d","1,2-d","3,2-d","4,2-d"
18,3,0,0
15,4,0,0
18,3,0,0
14,3,0,0
26,3,0,0
25,3,0,0
26,3,0,0
20,4,0,0
18,3,0,0
19,4,0,0
18,3,0,0
69,24,0,0
47,5,0,0
269,58,0,0
39,1,0,0
6,1,0,0
69,24,0,0
47,6,0,0
34,2,0,0
12,2,0,0
27,5,0,0
79,29,6,0
55,7,3,0
54,6,3,0
52,4,0,0
52,4,0,0
42,3,0,0
44,5,3,0
43,5,3,0
28,3,0,0
27,3,0,0
27,3,0,0
29,5,0,0
31,7,0,0
30,6,0,0
30,6,0,0
31,5,0,0
109,2,0,0
4,1,0,0
0,0,0,0
265,58,0,0
20,7,0,0
2,0,0,0
68,25,3,0
66,23,0,0
65,22,0,0
65,22,0,0
66,23,0,0
65,22,0,0
67,24,0,0
65,22,0,0
66,23,0,0
65,22,0,0
65,22,0,0
65,22,0,0
66,22,0,0
67,24,3,0
65,22,0,0
65,22,0,0
65,22,0,0
65,22,0,0
65,22,0,0
66,23,0,0
44,5,0,0
44,5,0,0
43,4,0,0
40,2,0,0
44,4,0,0
43,4,0,0
42,4,0,0
42,3,0,0
39,1,0,0
40,2,0,0
265,58,0,0
267,59,0,0
273,60,0,0
266,59,0,0
267,59,0,0
267,59,0,0
267,59,0,0
271,60,0,0
270,60,0,0
267,59,0,0
291,84,6,0
265,58,0,0
265,58,0,0
265,58,0,0
336,68,3,0
280,61,3,0
265,58,0,0
265,58,0,0
265,58,0,0
274,60,0,0
266,58,0,0
266,58,0,0
267,59,0,0
265,58,0,0
266,59,0,0
265,58,0,0
265,58,0,0
268,59,0,0
265,58,0,0
269,59,0,0
266,58,0,0
265,58,0,0
265,58,0,0
265,58,0,0
272,61,3,0
270,60,0,0
269,61,3,0
276,60,0,0
266,58,0,0
267,59,0,0
265,58,0,0
265,58,0,0
266,59,0,0
265,58,0,0
269,59,0,0
265,58,0,0
266,59,0,0
270,61,0,0
265,58,0,0
265,58,0,0
265,58,0,0
265,58,0,0
265,58,0,0
269,61,0,0
265,58,0,0
265,58,0,0
265,58,0,0
171,6,0,0
190,6,0,0
169,5,0,0
185,6,0,0
184,5,0,0
190,7,0,0
184,5,0,0
271,30,3,0
197,9,3,0
189,21,0,0
269,29,0,0
268,29,0,0
270,30,0,0
273,32,0,0
270,30,0,0
273,32,3,0
271,30,0,0
267,28,0,0
268,29,0,0
269,30,0,0
270,30,0,0
268,29,0,0
266,28,0,0
294,38,9,0
272,29,0,0
273,30,3,0
269,30,0,0
266,28,0,0
269,30,0,0
265,27,0,0
267,29,0,0
269,30,0,0
276,31,0,0
266,28,0,0
266,28,0,0
269,28,0,0
266,28,0,0
171,4,0,0
189,21,0,0
196,23,0,0
190,21,0,0
195,9,0,0
193,22,0,0
196,23,0,0
199,10,3,0
193,22,0,0
196,7,0,0
191,22,0,0
300,13,3,0
236,11,3,0
191,22,0,0
188,21,0,0
323,31,0,0
192,23,0,0
195,24,3,0
192,24,3,0
190,22,0,0
191,22,0,0
192,22,0,0
188,21,0,0
188,21,0,0
189,22,0,0
188,21,0,0
199,11,3,0
194,7,0,0
305,15,0,0
176,5,0,0
168,5,0,0
171,7,0,0
169,6,0,0
168,5,0,0
167,1,0,0
313,18,3,0
249,14,3,0
304,16,3,0
240,12,3,0
368,41,18,0
305,14,3,0
307,16,3,0
312,20,3,0
306,15,0,0
308,17,0,0
241,14,3,0
233,9,0,0
243,15,3,0
248,16,6,0
235,11,0,0
194,9,0,0
178,11,0,0
194,10,0,0
187,4,0,0
175,11,0,0
168,3,0,0
171,9,0,0
170,4,0,0
170,4,0,0
168,3,0,0
171,9,0,0
171,9,0,0
171,9,0,0
171,9,0,0
171,9,0,0
171,9,0,0
176,10,0,0
142,25,0,0
142,27,0,0
144,28,0,0
142,27,0,0
144,27,0,0
142,26,0,0
141,26,0,0
143,28,0,0
144,27,0,0
144,27,0,0
142,26,0,0
140,26,0,0
147,27,0,0
139,25,0,0
140,26,0,0
143,27,0,0
139,25,0,0
141,27,0,0
143,26,0,0
150,28,0,0
140,26,0,0
139,25,0,0
144,27,0,0
140,26,0,0
139,25,0,0
139,25,0,0
40,2,0,0
42,2,0,0
39,2,0,0
105,8,3,0
186,13,3,0
101,8,3,0
225,21,6,0
182,10,3,0
178,10,0,0
186,13,0,0
182,11,0,0
135,0,0,0
198,25,0,0
199,25,0,0
199,26,0,0
200,27,0,0
206,27,0,0
200,25,0,0
200,26,0,0
199,26,0,0
200,27,0,0
201,26,0,0
204,27,0,0
200,27,0,0
200,27,0,0
198,25,0,0
204,28,0,0
200,27,0,0
199,26,0,0
200,26,0,0
199,25,0,0
203,27,0,0
203,27,0,0
198,25,0,0
200,27,0,0
200,26,0,0
201,27,0,0
199,26,0,0
130,6,0,0
131,5,0,0
136,7,3,0
133,7,3,0
129,5,0,0
189,7,3,0
122,8,0,0
128,9,0,0
121,9,0,0
122,7,0,0
111,2,0,0
120,8,0,0
123,9,0,0
119,7,0,0
120,8,0,0
108,2,0,0
113,5,0,0
112,4,0,0
4,0,0,0
75,4,0,0
74,3,0,0
87,7,0,0
82,4,0,0
85,6,0,0
83,4,0,0
71,6,0,0
87,7,0,0
89,9,0,0
64,2,0,0
195,19,0,0
122,10,3,0
203,23,3,0
194,19,0,0
121,10,3,0
202,23,3,0
118,10,3,0
241,33,12,0
116,9,3,0
194,20,0,0
199,21,3,0
194,19,0,0
197,20,3,0
193,19,0,0
197,20,0,0
202,23,0,0
191,19,0,0
196,19,0,0
198,21,0,0
188,15,0,0
58,0,0,0
65,13,0,0
65,13,0,0
66,13,0,0
65,13,0,0
65,13,0,0
65,13,0,0
65,13,0,0
65,13,0,0
65,13,0,0
65,13,0,0
67,13,0,0
65,13,0,0
65,13,0,0
76,14,0,0
84,6,0,0
60,2,0,0
84,6,0,0
57,1,0,0
60,2,0,0
60,4,3,0
61,5,3,0
59,3,3,0
41,5,0,0
29,3,0,0
66,1,0,0
33,4,0,0
40,5,0,0
26,4,0,0
25,4,0,0
8,0,0,0
47,20,0,0
53,7,0,0
43,19,0,0
54,7,0,0
46,19,0,0
45,19,0,0
41,19,0,0
105,8,0,0
107,10,0,0
106,9,0,0
106,9,0,0
107,9,0,0
29,2,0,0
112,9,0,0
107,8,0,0
23,1,0,0
106,8,0,0
89,1,0,0
124,34,0,0
91,1,0,0
6,0,0,0
10,3,0,0
138,11,3,0
113,5,0,0
121,9,0,0
127,33,0,0
3,0,0,0
37,5,0,0
4,0,0,0
75,6,0,0
75,6,0,0
81,9,0,0
67,6,0,0
83,7,0,0
85,7,0,0
85,9,0,0
82,6,0,0
80,5,0,0
60,2,0,0
191,20,0,0
118,14,6,9
199,25,6,9
135,16,6,9
112,13,6,9
193,22,6,9
129,14,6,9
116,13,6,9
197,24,6,9
133,16,6,9
114,14,6,9
237,37,18,36
173,26,15,36
104,9,3,0
106,8,0,0
190,22,3,0
126,13,3,0
195,23,6,9
131,14,6,9
190,21,3,0
126,13,3,0
254,48,30,36
191,20,3,0
193,22,3,0
198,25,3,0
187,20,0,0
192,20,0,0
194,21,0,0
183,16,0,0
185,18,3,0
127,15,3,0
129,16,3,0
134,16,3,0
51,0,0,0
80,8,0,0
80,9,0,0
73,5,0,0
56,2,0,0
49,0,0,0
81,5,0,0
182,45,0,0
199,23,0,0
202,25,0,0
201,26,0,0
203,27,0,0
206,27,0,0
200,24,0,0
208,24,0,0
201,26,0,0
204,26,0,0
203,26,0,0
206,27,0,0
201,24,0,0
204,27,0,0
200,25,0,0
200,25,0,0
200,25,0,0
201,25,0,0
202,27,0,0
203,27,0,0
203,26,0,0
198,23,0,0
201,25,0,0
199,24,0,0
201,26,0,0
185,47,0,0
181,45,0,0
183,46,0,0
184,46,0,0
188,51,0,0
181,45,0,0
182,45,0,0
186,46,0,0
189,46,0,0
183,45,0,0
181,45,0,0
189,46,0,0
191,47,0,0
183,46,0,0
187,48,0,0
186,47,0,0
183,46,0,0
181,45,0,0
183,46,0,0
181,45,0,0
189,47,0,0
181,45,0,0
186,46,0,0
181,45,0,0
187,47,0,0
181,45,0,0
183,47,0,0
183,46,0,0
182,46,0,0
181,45,0,0
181,45,0,0
184,46,0,0
181,45,0,0
181,45,0,0
185,45,0,0
181,45,0,0
185,46,0,0
186,48,0,0
181,45,0,0
184,46,0,0
183,46,0,0
181,45,0,0
183,46,0,0
184,47,0,0
182,46,0,0
53,7,0,0
47,20,0,0
53,8,0,0
46,19,0,0
45,19,0,0
53,20,0,0
59,11,0,0
47,19,0,0
45,19,0,0
46,20,0,0
52,7,0,0
49,19,0,0
45,19,0,0
48,19,0,0
45,19,0,0
46,19,0,0
46,19,0,0
45,19,0,0
61,19,0,0
45,19,0,0
45,19,0,0
51,6,0,0
43,19,0,0
122,33,0,0
124,13,0,0
127,13,0,0
120,7,0,0
122,12,0,0
138,10,0,0
140,12,3,0
115,6,0,0
125,12,0,0
123,13,0,0
137,9,0,0
113,5,0,0
120,10,0,0
140,13,3,0
137,10,0,0
108,4,0,0
110,4,0,0
123,11,0,0
123,12,0,0
121,12,0,0
130,12,0,0
124,12,0,0
115,5,0,0
112,4,0,0
112,4,0,0
42,19,0,0
95,3,0,0
93,6,0,0
95,6,0,0
94,6,0,0
94,6,0,0
93,6,0,0
93,6,0,0
7,0,0,0
126,33,0,0
20,1,0,0
9,3,0,0
105,7,0,0
19,5,0,0
19,5,0,0
19,5,0,0
12,1,0,0
12,1,0,0
131,33,0,0
121,10,0,0
92,2,0,0
123,10,0,0
120,8,0,0
126,33,0,0
127,33,0,0
120,8,0,0
123,11,0,0
120,8,0,0
96,2,0,0
237,18,3,0
173,14,3,0
228,15,3,0
164,12,3,0
235,17,3,0
171,14,3,0
236,18,3,0
172,13,3,0
227,15,3,0
292,41,24,0
224,13,3,0
231,16,3,0
236,19,3,0
230,14,0,0
232,15,0,0
163,11,3,0
160,11,3,0
167,15,3,0
172,15,3,0
159,11,0,0
94,3,0,0
89,0,0,0
42,19,0,0
45,21,3,0
27,3,3,0
28,4,3,0
41,19,0,0
119,30,0,0
172,16,0,0
209,25,3,0
116,30,0,0
5,2,0,0
43,19,0,0
41,19,0,0
42,19,0,0
41,19,0,0
41,19,0,0
41,19,0,0
42,19,0,0
41,19,0,0
41,19,0,0
41,19,0,0
41,19,0,0
41,19,0,0
44,22,3,0
18,1,0,0
2,0,0,0
33,4,0,0
10,3,0,0
10,3,0,0
9,0,0,0
10,3,0,0
16,4,0,0
16,4,0,0
8,1,0,0
5,1,0,0
14,7,0,0
15,3,0,0
5,2,0,0
13,0,0,0
124,34,0,0
117,31,0,0
1,0,0,0
18,6,0,0
12,3,3,0
21,8,3,0
20,8,3,0
18,6,0,0
18,6,0,0
18,6,0,0
5,1,0,0
157,11,3,0
93,8,3,0
158,12,3,0
94,7,3,0
214,29,9,0
153,10,3,0
147,8,0,0
89,9,3,0
19,0,0,0
146,6,0,0
227,14,0,0
129,36,0,0
122,32,0,0
51,4,0,0
121,33,0,0
114,30,0,0
153,10,0,0
139,3,0,0
9,1,0,0
4,0,0,0
114,30,0,0
1,0,0,0
1,0,0,0
290,33,6,0
227,13,3,0
234,18,3,0
223,12,0,0
228,14,0,0
230,14,0,0
219,8,0,0
220,9,0,0
163,9,3,0
170,10,3,0
157,5,0,0
129,35,0,0
136,35,0,0
121,33,0,0
128,34,0,0
130,35,0,0
123,32,0,0
122,33,0,0
122,33,0,0
129,33,0,0
122,33,0,0
116,30,0,0
114,30,0,0
124,33,0,0
114,30,0,0
125,33,0,0
121,33,0,0
122,33,0,0
123,34,0,0
116,31,0,0
114,30,0,0
121,33,0,0
132,34,0,0
121,33,0,0
122,33,0,0
114,30,0,0
114,30,0,0
115,30,0,0
115,30,0,0
117,30,0,0
114,30,0,0
114,30,0,0
123,35,0,0
126,33,0,0
124,33,0,0
121,33,0,0
122,33,0,0
125,33,0,0
114,30,0,0
114,30,0,0
116,31,0,0
114,30,0,0
114,30,0,0
114,30,0,0
114,30,0,0
114,30,0,0
114,30,0,0
114,30,0,0
114,30,0,0
115,30,0,0
104,16,6,9
83,16,6,9
185,23,6,9
74,14,3,0
176,19,3,0
98,15,6,9
77,16,6,9
179,20,6,9
102,15,6,9
81,16,6,9
183,22,6,9
103,16,6,9
82,16,6,9
184,23,6,9
99,16,6,9
100,16,6,9
121,30,27,72
95,14,6,9
223,37,27,72
98,15,6,9
78,16,6,9
180,20,6,9
176,19,0,0
79,16,6,9
181,21,6,9
74,14,3,0
74,16,6,9
202,39,36,72
77,16,6,9
73,14,3,0
176,19,3,0
176,19,6,9
179,20,6,9
175,19,3,0
103,16,6,9
205,26,15,18
141,18,6,9
184,22,6,9
222,33,12,9
175,18,3,0
213,28,3,0
94,6,0,0
97,15,6,9
199,22,12,18
135,15,6,9
178,19,6,9
216,28,6,9
101,15,6,9
203,24,12,18
139,17,6,9
182,21,6,9
220,32,12,9
102,16,6,9
204,26,15,9
140,17,3,0
183,22,6,9
221,32,9,0
98,16,6,9
200,23,12,9
136,16,3,0
65,5,0,0
99,16,6,9
201,24,15,18
137,16,6,9
94,14,6,9
222,36,27,72
97,15,6,9
196,20,9,9
132,13,3,0
199,22,12,9
260,45,27,36
191,16,3,0
135,15,3,0
179,19,6,9
217,28,3,0
98,6,0,0
213,29,6,0
180,20,6,9
218,29,6,9
175,18,3,0
175,18,6,9
178,19,6,9
174,18,3,0
171,15,0,0
213,28,3,0
94,6,0,0
213,26,3,0
216,28,3,0
212,27,3,0
209,25,3,0
214,29,9,0
216,32,12,0
221,35,12,0
151,9,0,0
140,5,0,0
97,6,0,0
95,8,0,0
19,1,0,0
16,0,0,0
69,4,0,0
25,0,0,0
45,2,0,0
9,3,0,0
12,6,3,0
9,3,0,0
9,3,0,0
9,3,0,0
11,3,0,0
8,2,0,0
10,2,0,0
7,1,0,0
21,2,0,0
5,1,0,0
4,0,0,0
45,3,0,0
7,3,0,0
0,0,0,0
0,0,0,0
16,3,3,0
24,2,0,0
1,0,0,0
13,4,0,0
10,2,0,0
12,3,0,0
0,0,0,0
8,2,0,0
16,4,0,0
14,7,0,0
0,0,0,0
14,7,0,0
14,7,0,0
14,7,0,0
14,7,0,0
14,7,0,0
14,7,0,0
0,0,0,0
5,2,0,0
4,1,0,0
0,0,0,0
