"1,0-HCore","2,0-HCore","3,0-HCore"
6,20,5
4,2,0
2,0,0
3,2,0
5,21,14
3,2,0
5,7,0
4,0,0
4,0,0
5,2,0
2,2,0
2,2,0
2,0,0
6,33,37
1,0,0
5,15,5
1,0,0
2,0,0
1,0,0
4,2,0
3,2,0
2,0,0
3,0,0
1,0,0
2,0,0
1,0,0
5,27,5
1,0,0
2,0,0
6,11,3
6,11,0
6,25,3
5,23,5
4,4,0
4,8,3
5,10,0
5,3,0
3,2,0
3,2,0
6,11,3
4,0,0
5,6,0
2,0,0
5,5,0
6,9,5
2,0,0
3,2,0
3,0,0
1,0,0
3,2,0
4,8,3
3,2,0
4,5,0
1,0,0
4,2,0
5,5,0
5,15,3
5,7,0
4,9,0
3,0,0
3,2,0
3,0,0
2,0,0
1,0,0
3,2,0
1,0,0
3,2,0
1,0,0
4,2,0
3,0,0
4,2,0
2,0,0
4,5,0
5,25,3
4,0,0
4,9,0
4,4,0
6,14,0
2,0,0
4,4,0
5,19,3
1,0,0
5,5,0
4,3,0
2,2,0
4,2,0
5,12,4
5,12,4
3,4,0
3,0,0
4,2,0
4,2,0
3,2,0
2,0,0
2,2,0
5,10,3
3,2,0
4,4,0
2,2,0
3,2,0
2,2,0
4,0,0
6,18,3
4,0,0
3,2,0
1,0,0
3,0,0
5,16,3
2,0,0
3,2,0
5,7,0
3,2,0
3,0,0
5,3,0
6,16,0
3,2,0
3,0,0
3,2,0
2,2,0
2,2,0
4,2,0
2,0,0
4,6,0
4,3,0
3,3,0
3,3,0
3,0,0
4,0,0
6,52,7
3,0,0
5,0,0
6,10,3
5,2,0
6,0,0
2,2,0
3,2,0
6,5,0
6,10,0
1,0,0
4,0,0
1,0,0
2,0,0
6,13,6
4,2,0
3,0,0
2,0,0
6,11,0
2,0,0
2,0,0
6,9,3
2,2,0
4,2,0
2,0,0
1,0,0
6,4,0
4,6,3
1,0,0
2,0,0
6,30,8
4,6,3
6,6,0
6,39,6
3,0,0
6,0,0
