"0,1-d","2,1-d","3,1-d","4,1-d"
49,0,0,0
45,0,0,0
46,2,0,0
59,2,0,0
48,2,0,0
54,2,0,0
47,0,0,0
52,0,0,0
52,0,0,0
45,2,0,0
45,2,0,0
46,0,0,0
60,2,0,0
44,0,0,0
61,6,10,0
44,0,0,0
45,0,0,0
44,0,0,0
48,2,0,0
47,0,0,0
45,0,0,0
47,0,0,0
44,0,0,0
45,0,0,0
45,0,0,0
76,10,10,0
44,0,0,0
46,0,0,0
61,2,0,0
65,2,0,0
69,4,0,0
65,6,5,0
50,2,0,0
48,6,5,0
51,4,0,0
52,0,0,0
47,2,0,0
48,0,0,0
57,4,0,0
58,0,0,0
49,4,0,0
45,0,0,0
55,4,0,0
59,0,0,0
45,0,0,0
67,0,0,0
29,2,0,0
26,0,0,0
14,0,0,0
9,2,0,0
63,0,0,0
6,2,0,0
8,0,0,0
36,4,0,0
39,2,0,0
20,2,0,0
24,4,0,0
23,8,15,9
28,8,20,9
30,8,15,9
18,0,0,0
31,8,20,9
21,0,0,0
16,0,0,0
21,0,0,0
19,6,5,0
21,0,0,0
21,0,0,0
7,2,0,0
7,0,0,0
5,0,0,0
8,0,0,0
35,6,0,0
34,0,0,0
38,2,0,0
15,2,0,0
21,0,0,0
28,2,0,0
30,2,0,0
12,0,0,0
26,0,0,0
12,0,0,0
65,0,0,0
48,0,0,0
17,0,0,0
48,0,0,0
30,0,0,0
19,0,0,0
21,0,0,0
11,0,0,0
13,0,0,0
11,0,0,0
8,0,0,0
70,0,0,0
97,2,0,0
18,0,0,0
12,0,0,0
12,2,0,0
13,0,0,0
8,0,0,0
8,0,0,0
2,2,0,0
22,0,0,0
7,0,0,0
22,2,0,0
26,0,0,0
38,10,30,18
23,0,0,0
25,10,30,18
20,0,0,0
18,0,0,0
31,0,0,0
19,4,5,0
22,6,10,0
27,12,30,9
29,14,55,27
20,6,10,0
24,8,20,9
21,10,35,27
19,0,0,0
49,12,15,0
38,8,10,0
21,4,5,0
41,4,5,0
35,0,0,0
22,0,0,0
19,0,0,0
17,0,0,0
21,0,0,0
20,2,0,0
19,2,0,0
25,2,0,0
