"0,2-nd","1,2-nd","3,2-nd"
676,13,0
1589,20,0
615,0,0
1385,9,0
615,0,0
1648,0,0
1390,80,21
1318,51,15
904,36,12
623,3,0
1725,68,15
1318,50,12
1350,44,0
1320,38,0
787,15,0
947,4,0
1402,9,0
711,10,0
320,0,0
1275,23,0
829,29,0
1012,34,0
664,18,0
1587,117,51
1162,81,42
1516,116,51
1509,99,48
1694,181,63
1394,65,18
1436,99,48
1317,65,18
1249,12,0
1803,21,0
200,7,0
3045,0,0
2455,130,51
2191,76,15
2426,158,60
2679,179,84
2365,127,72
2030,172,84
1532,75,21
1625,107,48
1691,121,72
1609,76,15
1619,92,21
1887,118,33
1409,65,18
2093,180,75
1600,84,21
1794,123,54
1802,114,36
1915,142,60
1938,166,102
1559,97,48
1472,81,21
1106,56,12
1247,59,12
1089,44,0
1093,45,0
1043,48,12
957,35,0
447,0,0
2,1,0
1516,54,12
1797,47,0
1018,16,0
997,13,0
1373,13,0
1026,6,0
1189,19,0
1422,13,0
954,4,0
1400,14,0
1417,22,9
1004,23,9
1401,15,0
1432,22,9
275,15,0
1045,26,9
358,28,9
460,5,0
1046,44,9
345,14,0
184,3,0
386,0,0
3281,32,0
389,4,0
266,0,0
779,8,0
3412,39,0
901,22,0
1110,13,0
1417,26,0
4097,96,0
2129,26,0
861,10,0
899,20,0
3504,62,9
3477,45,0
3461,58,9
3465,44,0
3655,56,0
2090,33,0
1063,23,0
1112,20,0
1041,35,9
887,19,0
1686,21,0
1577,25,0
1116,21,9
1438,35,9
1276,22,0
916,6,0
1093,31,9
722,2,0
1028,4,0
866,1,0
839,1,0
209,7,0
542,4,0
168,2,0
9,1,0
95,1,0
19,0,0
0,0,0
1049,42,9
977,49,18
1010,54,12
944,31,12
488,28,12
318,24,12
854,4,0
1312,35,0
1285,49,9
1539,57,9
1067,27,0
1077,27,0
1125,11,0
1369,85,9
1351,27,0
1445,35,0
842,19,9
838,10,0
842,19,9
825,19,9
895,15,0
899,16,0
1678,0,0
819,10,0
908,14,0
802,0,0
1442,12,0
1091,11,0
320,0,0
279,0,0
1472,30,0
255,26,12
308,29,12
303,51,18
255,26,12
330,20,0
308,29,12
0,0,0
24,0,0
651,21,0
450,5,0
99,0,0
1520,131,75
1625,226,111
1439,98,24
1456,119,72
1450,108,51
1451,130,75
1053,80,48
1399,91,24
1385,118,72
1379,107,51
935,66,42
1593,197,84
1315,65,18
1401,96,51
1526,153,30
1510,131,0
1524,141,18
1520,144,15
1529,161,33
1564,181,78
1532,173,60
1240,59,18
1142,55,21
1104,30,12
1143,41,12
1294,81,45
1238,65,18
1328,96,51
1163,59,18
1124,46,15
1219,81,45
3578,126,0
2721,48,0
2293,154,0
1094,23,0
505,5,0
928,12,0
79,2,0
858,62,0
31,0,0
93,2,0
92,4,0
79,1,0
80,8,0
79,7,0
81,7,0
1213,5,0
1441,21,0
1160,79,9
448,8,0
94,9,0
87,6,0
82,0,0
96,6,0
223,0,0
876,6,0
3761,83,12
3669,71,12
1401,17,0
4162,154,30
5388,192,27
3997,96,15
1857,41,0
4111,126,30
2035,47,0
2334,83,24
2251,88,24
3737,91,15
3584,62,0
1144,10,0
1129,3,0
1914,62,15
1145,10,0
1495,41,0
964,25,9
1157,78,0
834,19,0
826,19,0
1339,69,0
897,61,0
900,75,0
896,64,0
897,61,0
897,61,0
896,61,0
555,19,0
572,19,0
467,0,0
90,3,0
1083,4,0
624,21,0
660,22,0
283,2,0
612,29,0
599,21,0
101,4,0
541,2,0
43,0,0
463,3,0
18,0,0
6,1,0
3418,0,0
3443,39,0
3402,10,0
3161,32,0
4830,147,9
4899,125,9
4764,107,0
3384,115,0
3072,31,0
3325,115,0
3446,122,0
3278,22,0
3306,44,0
3212,115,0
3211,123,0
3730,142,9
3313,120,0
3493,123,0
3320,115,0
3279,135,0
3080,90,0
3179,80,0
4116,57,0
3636,42,0
3148,80,0
3362,90,0
3148,102,0
3080,84,0
3381,141,0
3081,80,0
3111,35,0
3575,53,0
3071,39,0
3372,96,0
3618,57,0
3580,30,0
3343,84,15
3368,107,27
3415,101,15
3345,76,0
3417,86,15
3345,76,0
3150,42,15
3146,32,0
3205,60,15
3210,45,15
3045,0,0
60,4,0
0,0,0
2489,147,51
2147,106,48
1915,63,0
1965,65,0
1930,88,15
2069,56,0
2497,167,60
2195,120,48
1931,82,15
1959,82,0
1982,86,0
2438,138,72
2274,79,15
2410,79,0
2075,76,12
5022,49,0
2057,71,12
2058,55,0
2110,56,0
1728,40,12
4488,48,0
2145,12,0
1626,85,21
1681,121,48
1779,133,72
1588,63,0
1297,87,42
1077,46,0
1108,49,0
4390,114,0
3224,31,0
3169,19,0
3163,19,0
1750,94,21
1500,25,0
1102,36,0
1510,71,18
799,26,0
1731,86,21
1919,127,54
1694,76,15
1654,105,48
1426,44,0
1172,6,0
868,64,0
810,15,0
153,0,0
1017,57,0
705,42,0
845,53,0
750,54,0
705,42,0
705,42,0
705,42,0
3813,127,0
3940,127,0
4694,210,0
3090,28,0
3757,125,0
3523,121,0
3523,121,0
3807,127,0
3675,137,0
3522,127,0
3652,123,0
3013,38,0
1684,28,0
2890,60,0
2901,52,0
2785,38,0
2770,33,0
2802,6,0
2747,6,0
908,40,12
1104,50,12
1338,2,0
1337,2,0
765,0,0
1113,161,18
908,40,12
1178,39,0
1104,50,12
1106,35,0
2,1,0
1632,31,0
1218,10,0
44,1,0
692,23,9
182,16,0
186,16,0
1,0,0
574,8,0
631,5,0
1374,65,12
1453,41,9
1419,41,9
1321,33,0
1411,55,12
790,4,0
790,4,0
968,31,12
819,35,9
