"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex"
17,2,0
30,3,0
17,0,0
26,2,0
17,0,0
30,0,0
29,7,3
29,5,3
21,4,3
17,1,0
32,7,3
28,5,3
28,4,0
28,4,0
19,3,0
21,1,0
27,2,0
17,2,0
9,0,0
28,3,0
20,3,0
23,3,0
17,3,0
33,9,6
26,7,6
32,8,6
32,7,6
34,10,6
30,6,3
31,7,6
29,6,3
25,3,0
30,3,0
8,2,0
47,0,0
40,8,6
39,7,3
41,9,6
42,10,7
40,9,6
38,10,6
31,7,3
32,7,6
33,9,6
32,7,3
32,7,3
36,8,3
29,6,3
39,10,6
32,7,3
36,9,6
35,8,3
36,9,6
37,10,8
31,8,6
31,7,3
26,5,3
28,6,3
26,5,0
26,5,0
25,5,3
23,4,0
12,0,0
1,1,0
31,5,3
33,5,0
25,2,0
24,2,0
27,2,0
25,1,0
27,3,0
29,2,0
23,1,0
28,3,0
28,4,3
24,4,3
28,3,0
28,4,3
10,3,0
23,4,3
13,4,3
15,1,0
22,5,3
12,2,0
8,1,0
13,0,0
43,4,0
11,2,0
8,0,0
19,2,0
43,4,0
21,3,0
23,3,0
27,4,0
50,7,0
31,4,0
18,2,0
19,3,0
44,5,3
44,5,0
44,5,3
44,5,0
44,5,0
33,4,0
22,3,0
22,3,0
22,4,3
19,3,0
31,2,0
30,3,0
26,4,3
29,4,3
27,3,0
22,1,0
23,4,3
18,1,0
25,1,0
23,1,0
22,1,0
7,2,0
13,1,0
6,1,0
2,1,0
3,1,0
3,0,0
0,0,0
23,5,3
21,5,3
23,5,3
21,4,3
15,4,3
11,4,3
22,1,0
27,4,0
30,4,3
31,5,3
26,4,0
26,4,0
25,2,0
29,7,3
29,3,0
29,4,0
22,3,3
22,2,0
22,3,3
22,3,3
24,3,0
24,3,0
30,0,0
22,2,0
24,3,0
22,0,0
30,3,0
23,3,0
9,0,0
13,0,0
25,4,0
12,4,3
13,4,3
13,5,3
12,4,3
14,3,0
13,4,3
0,0,0
1,0,0
19,4,0
14,1,0
4,0,0
32,9,6
33,11,8
30,7,3
31,8,6
31,8,6
31,9,6
24,7,6
30,7,3
30,8,6
30,8,6
22,7,6
33,10,6
29,6,3
30,8,6
33,9,3
33,9,0
33,9,3
33,9,3
33,9,3
33,10,6
33,10,6
28,6,3
25,5,3
24,4,3
25,4,3
29,7,6
27,6,3
29,8,6
26,6,3
25,5,3
28,7,6
50,10,0
43,5,0
39,11,0
27,2,0
13,1,0
22,2,0
3,1,0
22,7,0
1,0,0
7,1,0
7,1,0
6,1,0
6,2,0
6,2,0
6,2,0
26,1,0
29,3,0
27,7,3
11,2,0
6,2,0
6,2,0
8,0,0
6,2,0
11,0,0
18,2,0
49,6,3
46,6,3
23,2,0
51,10,4
57,10,3
49,7,3
29,4,0
48,8,4
31,4,0
33,7,3
32,7,3
45,7,3
45,6,0
20,2,0
20,1,0
30,6,3
20,2,0
25,4,0
21,4,3
27,7,0
20,3,0
20,3,0
27,7,0
25,7,0
25,7,0
25,7,0
25,7,0
25,7,0
25,7,0
16,3,0
17,3,0
16,0,0
8,1,0
21,1,0
18,4,0
19,4,0
10,1,0
17,4,0
17,4,0
5,2,0
11,1,0
4,0,0
9,1,0
1,0,0
2,1,0
47,0,0
47,4,0
47,2,0
47,4,0
55,10,3
55,8,3
55,8,0
49,10,0
47,4,0
49,10,0
49,10,0
48,3,0
48,4,0
47,10,0
47,10,0
50,10,3
48,10,0
50,10,0
49,10,0
47,10,0
47,8,0
47,8,0
50,5,0
47,4,0
47,8,0
49,8,0
47,8,0
47,8,0
47,9,0
47,8,0
47,3,0
47,5,0
47,4,0
47,7,0
47,5,0
47,4,0
47,7,3
47,7,3
47,7,3
47,7,0
47,7,3
47,7,0
47,5,3
47,4,0
47,5,3
47,5,3
47,0,0
4,2,0
0,0,0
41,8,6
39,8,6
35,6,0
35,6,0
36,7,3
34,6,0
41,9,6
39,9,6
36,7,3
36,7,0
36,7,0
42,10,6
