simplex,index
1,0
1010,1
1023,2
1085,3
1156,4
1173,5
1189,6
1333,7
1404,8
1415,9
1456,10
1457,11
1489,12
1667,13
183,14
2,15
2053,16
2067,17
2080,18
2081,19
2300,20
2326,21
2499,22
2663,23
2738,24
2915,25
306,26
321,27
33,28
331,29
37,30
40,31
428,32
593,33
687,34
7,35
724,36
749,37
841,38
852,39
872,40
918,41
927,42
930,43
947,44
962,45
103,46
1417,47
1777,48
2072,49
2171,50
2241,51
268,52
2681,53
307,54
363,55
527,56
604,57
84,58
885,59
3,60
1160,61
1329,62
1872,63
2259,64
4,65
417,66
574,67
756,68
879,69
965,70
5,71
6,72
9,73
1120,74
1493,75
201,76
817,77
823,78
846,79
888,80
1944,81
212,82
777,83
8,84
1076,85
1089,86
1104,87
1245,88
1291,89
1334,90
1359,91
1424,92
1434,93
1609,94
197,95
2089,96
2191,97
2214,98
2597,99
2633,100
558,101
889,102
938,103
10,104
11,105
12,106
127,107
2740,108
505,109
631,110
798,111
82,112
188,113
796,114
13,115
1026,116
14,117
2407,118
450,119
592,120
684,121
110,122
1384,123
1684,124
1808,125
2083,126
929,127
15,128
1005,129
1018,130
1040,131
1056,132
1057,133
106,134
1067,135
107,136
1100,137
1129,138
1136,139
1141,140
1145,141
1152,142
1169,143
1211,144
1219,145
122,146
1243,147
1272,148
1277,149
1343,150
1350,151
1372,152
1393,153
141,154
1425,155
1432,156
1465,157
151,158
152,159
155,160
156,161
1583,162
16,163
162,164
1632,165
1654,166
1678,167
171,168
1726,169
1740,170
1776,171
1909,172
1912,173
1937,174
196,175
1979,176
1988,177
2024,178
2028,179
2088,180
2115,181
2133,182
218,183
2203,184
2222,185
2254,186
2275,187
2277,188
2333,189
2350,190
2360,191
2399,192
24,193
2404,194
2421,195
247,196
2555,197
2568,198
2573,199
2587,200
265,201
2704,202
2751,203
2771,204
278,205
280,206
282,207
2871,208
3018,209
303,210
3086,211
312,212
336,213
354,214
372,215
402,216
410,217
411,218
433,219
435,220
451,221
48,222
520,223
546,224
564,225
588,226
594,227
615,228
639,229
649,230
656,231
670,232
674,233
680,234
692,235
705,236
715,237
728,238
748,239
772,240
805,241
824,242
851,243
880,244
883,245
901,246
910,247
950,248
952,249
954,250
96,251
964,252
972,253
999,254
124,255
140,256
182,257
308,258
609,259
808,260
17,261
326,262
18,263
1216,264
19,265
2078,266
51,267
20,268
199,269
21,270
3042,271
329,272
1234,273
422,274
22,275
2139,276
706,277
76,278
23,279
1474,280
2673,281
339,282
87,283
1214,284
1232,285
142,286
1555,287
175,288
2155,289
2295,290
250,291
276,292
2953,293
304,294
38,295
406,296
455,297
463,298
510,299
544,300
573,301
613,302
624,303
720,304
838,305
875,306
924,307
97,308
25,309
26,310
2702,311
27,312
28,313
29,314
1105,315
1159,316
1491,317
30,318
1383,319
1616,320
1911,321
2803,322
31,323
1236,324
1367,325
1940,326
32,327
172,328
3049,329
1224,330
34,331
1004,332
1086,333
1138,334
115,335
1217,336
1290,337
1294,338
1337,339
1338,340
1341,341
1342,342
1376,343
1389,344
147,345
1480,346
1481,347
1505,348
1518,349
1545,350
1648,351
1661,352
1685,353
181,354
1835,355
1888,356
1899,357
1924,358
2000,359
203,360
2116,361
2216,362
2260,363
232,364
2331,365
2343,366
2454,367
2609,368
271,369
2770,370
2791,371
2868,372
319,373
35,374
369,375
386,376
412,377
434,378
441,379
448,380
477,381
49,382
54,383
59,384
602,385
751,386
753,387
776,388
969,389
1155,390
133,391
1488,392
1639,393
1849,394
