"1,0-HhIndex","2,0-HhIndex","3,0-HhIndex"
2,2,0
30,70,83
17,23,25
5,5,5
5,5,5
32,78,101
5,5,5
32,82,108
23,43,47
5,5,5
5,5,5
22,40,42
5,5,5
8,8,8
28,56,65
17,21,21
24,44,54
27,47,52
32,78,95
25,50,55
20,24,24
3,3,3
30,62,70
12,13,13
1,0,0
1,0,0
5,5,5
22,36,40
15,20,20
8,10,10
5,5,5
26,53,66
29,52,60
6,6,6
3,3,3
24,42,48
1,0,0
1,0,0
2,2,0
2,2,0
1,0,0
1,0,0
2,2,0
4,4,4
12,16,16
6,7,7
7,9,9
1,0,0
2,2,0
24,48,53
5,5,5
2,2,0
6,7,7
10,13,13
1,0,0
3,3,3
2,2,0
2,2,0
1,0,0
4,4,3
3,3,3
1,0,0
3,3,0
14,17,17
1,0,0
11,21,21
11,14,14
15,18,18
7,8,8
7,7,7
3,4,3
8,11,11
8,8,8
7,8,8
6,6,6
7,8,8
7,8,8
23,32,33
5,5,5
12,16,16
7,8,7
6,6,6
4,6,4
5,6,6
25,49,57
3,3,3
9,17,17
1,0,0
2,2,0
2,2,0
2,2,0
2,2,0
9,11,11
6,7,7
31,72,88
7,10,10
5,5,5
5,6,6
7,7,7
19,29,30
1,0,0
9,12,12
4,6,4
4,5,4
20,26,28
4,4,4
3,3,3
23,32,32
4,4,4
8,9,8
1,0,0
1,0,0
4,6,4
10,13,12
3,3,3
21,24,24
1,0,0
4,4,0
1,0,0
3,3,3
3,3,3
3,3,3
8,10,10
1,0,0
8,8,8
15,20,20
10,12,12
2,2,0
2,2,0
9,10,10
2,2,0
2,2,0
24,38,41
2,2,0
1,0,0
4,4,4
1,0,0
3,4,3
2,2,0
6,8,8
12,12,12
29,49,53
2,2,0
4,4,4
9,11,11
4,4,3
3,3,3
4,5,4
2,2,0
2,2,0
1,0,0
4,5,3
2,2,0
3,3,3
4,4,4
2,2,0
2,2,0
1,0,0
2,2,0
4,4,4
2,2,0
9,13,13
5,5,5
7,8,8
3,3,3
1,0,0
1,0,0
2,2,0
1,0,0
2,2,0
4,4,4
5,6,6
1,0,0
3,3,3
2,2,0
4,4,4
13,14,14
11,12,12
2,2,0
23,34,39
5,5,5
4,4,3
9,10,10
1,0,0
24,38,40
5,6,6
2,2,0
2,2,0
5,5,4
3,3,3
2,2,0
9,12,12
1,0,0
2,2,0
4,4,3
2,2,0
16,21,22
10,11,11
3,3,3
11,14,14
3,3,3
3,3,3
3,4,3
10,11,11
2,2,0
10,12,12
11,11,11
2,2,0
6,6,6
5,5,5
1,0,0
1,0,0
2,2,0
7,7,7
7,7,7
23,29,28
4,4,4
2,2,0
2,0,0
4,5,4
10,13,13
3,3,3
1,0,0
1,0,0
2,2,0
3,3,0
5,5,5
22,32,34
4,4,4
2,2,0
16,17,17
1,0,0
7,7,7
1,0,0
3,3,3
7,7,7
2,2,0
3,3,3
1,0,0
16,22,22
2,2,0
10,12,12
2,2,0
1,0,0
8,8,8
7,10,10
2,2,0
5,6,6
2,2,0
1,0,0
4,4,4
3,3,3
4,4,4
2,2,0
3,3,3
3,3,3
13,16,16
1,0,0
5,5,5
7,7,7
1,0,0
9,17,17
11,16,15
4,4,4
2,2,0
1,0,0
3,3,3
2,2,0
5,6,6
1,0,0
6,6,6
8,8,8
2,2,0
9,13,13
12,14,14
2,2,0
1,0,0
5,6,6
4,4,3
8,8,8
8,8,8
