"0,1-HCore","2,1-HCore","3,1-HCore"
240,2,0
40,2,0
240,26,563
240,4,5
240,14,111
240,2,0
240,6,15
240,2,0
240,2,0
240,10,82
240,30,1089
240,6,26
240,30,1331
240,2,0
240,6,15
240,26,442
240,12,111
550,30,2519
240,14,105
240,6,15
240,0,0
240,4,5
240,2,0
240,6,15
240,0,0
240,0,0
240,2,0
240,0,0
240,2,0
240,2,0
240,30,1173
240,4,5
405,30,2351
240,2,0
240,15,151
240,10,50
240,6,15
240,16,152
240,30,990
240,8,30
240,4,5
240,0,0
240,6,17
240,30,1657
240,0,0
240,4,5
240,26,635
240,2,0
240,2,0
240,8,30
240,4,5
240,14,145
240,10,50
240,0,0
240,16,223
240,30,1244
240,16,160
240,30,1489
240,12,75
240,0,0
240,11,77
240,10,68
240,8,30
240,2,0
240,4,5
240,16,173
240,6,15
240,2,0
240,0,0
240,26,730
240,0,0
240,2,0
240,10,45
240,16,190
240,26,617
240,30,906
240,2,0
240,4,5
240,0,0
240,26,489
240,0,0
240,8,30
240,28,748
240,30,1283
240,11,91
240,30,1254
240,12,100
240,8,30
240,0,0
240,2,0
240,14,126
240,15,156
240,6,15
240,6,15
240,6,15
240,24,434
240,28,678
240,8,28
240,4,5
240,15,134
240,8,30
240,10,50
240,0,0
240,2,0
240,25,347
240,26,895
240,17,191
240,14,130
240,0,0
240,0,0
240,15,151
240,10,45
240,8,39
240,4,5
240,26,426
240,2,0
240,0,0
240,0,0
240,5,9
240,2,0
240,15,203
240,2,0
240,25,408
240,14,105
240,8,43
240,4,5
240,6,15
240,19,302
240,14,116
240,0,0
240,2,0
240,8,30
240,6,15
240,2,0
240,2,0
240,10,56
240,10,51
240,0,0
240,0,0
240,8,30
240,16,160
240,6,15
240,0,0
240,2,0
240,3,0
240,6,24
240,8,30
240,22,327
240,10,62
240,0,0
309,30,2166
240,2,0
240,16,140
240,16,193
240,4,5
240,4,5
240,14,133
240,2,0
240,2,0
240,10,58
240,16,140
240,6,15
240,4,5
240,0,0
240,4,5
240,2,0
240,8,30
240,2,0
240,26,628
240,10,62
240,0,0
240,30,2023
240,2,0
240,0,0
240,0,0
240,10,45
240,0,0
240,8,30
240,16,164
240,0,0
240,0,0
240,10,45
240,4,5
240,6,15
240,16,160
240,4,5
240,0,0
240,2,0
240,8,30
240,6,15
240,0,0
240,16,164
240,14,105
240,0,0
240,6,26
240,0,0
240,2,0
240,2,0
240,8,30
240,30,793
240,2,0
240,0,0
240,8,30
240,6,15
240,10,50
240,20,317
240,6,17
240,4,5
240,0,0
240,4,5
240,0,0
240,4,8
240,30,1236
240,16,160
240,4,5
240,8,30
240,30,1164
240,16,167
240,8,30
240,26,688
240,6,15
240,2,0
240,16,140
240,0,0
240,0,0
240,6,15
240,2,0
240,6,15
240,10,51
240,4,5
240,0,0
240,2,0
240,4,5
240,16,160
240,6,19
240,25,539
240,0,0
240,30,1150
240,17,223
240,2,0
240,0,0
240,2,0
104,26,521
103,26,498
550,26,615
405,26,591
144,26,527
97,26,474
135,26,427
67,20,234
59,26,442
43,26,422
120,26,467
40,2,0
40,8,30
309,26,575
40,10,58
40,22,318
203,26,615
40,2,0
40,6,15
125,26,548
40,8,34
93,26,399
40,8,30
40,13,102
40,0,0
40,8,30
40,10,50
40,6,15
40,0,0
40,6,15
40,4,5
40,4,5
40,2,0
40,2,0
40,0,0
40,0,0
40,8,30
40,2,0
40,4,5
144,4,5
17,4,5
550,14,110
405,14,111
144,14,105
13,8,30
120,14,111
142,14,110
309,14,111
78,14,110
13,6,15
135,2,0
405,6,17
120,6,17
9,6,15
15,4,5
6,2,0
2,2,0
405,2,0
20,2,0
24,6,15
550,10,119
405,10,77
97,10,63
24,10,92
24,10,82
24,5,9
24,6,15
24,10,45
24,4,5
93,12,169
37,10,46
24,4,5
24,12,132
24,12,79
24,2,0
24,10,63
24,12,86
24,10,63
24,12,86
24,12,75
24,12,86
24,12,86
24,10,50
104,30,1104
550,30,1146
104,6,15
104,30,975
405,30,1150
104,30,888
144,30,819
104,30,1089
135,30,982
104,16,173
104,30,888
104,26,460
104,28,601
120,30,742
104,30,816
104,12,113
104,15,134
142,25,423
104,26,467
104,10,53
309,30,1167
104,16,185
104,16,173
104,26,570
203,30,1116
104,30,659
125,30,1135
104,30,953
104,16,173
104,2,0
104,16,140
104,30,914
104,13,100
104,6,15
104,8,30
104,8,40
104,8,30
104,8,30
104,6,15
104,12,128
104,28,659
104,2,0
104,6,15
104,12,75
104,2,0
104,2,0
104,8,40
104,8,30
104,4,5
104,8,30
104,6,15
104,9,39
104,2,0
104,4,5
104,2,0
104,12,92
104,6,15
104,4,5
104,6,15
104,4,5
104,6,15
104,7,23
104,4,6
104,2,0
104,4,5
104,4,5
104,2,0
104,4,5
104,2,0
104,6,15
104,6,15
104,2,0
104,2,0
104,2,0
104,4,5
104,2,0
104,0,0
104,0,0
104,4,5
104,2,0
104,4,5
104,2,0
104,0,0
104,4,5
104,2,0
104,0,0
104,2,0
104,4,5
104,0,0
104,0,0
104,2,0
104,0,0
104,2,0
104,0,0
104,2,0
104,0,0
104,2,0
104,0,0
104,4,5
104,2,0
104,2,0
104,0,0
104,0,0
550,6,26
9,6,15
9,4,5
18,6,20
9,6,21
9,0,0
9,0,0
9,0,0
550,30,1461
103,30,1149
405,30,1424
103,16,174
103,30,1133
103,8,30
144,30,902
103,8,45
103,30,1356
135,30,1242
103,30,894
103,26,516
103,28,658
120,30,761
103,30,902
103,12,107
103,24,472
103,28,777
103,2,0
142,25,442
103,14,127
103,26,448
103,15,184
103,8,30
103,22,372
309,30,1461
103,16,174
103,14,130
103,16,140
103,26,580
103,10,62
203,30,1251
103,14,105
103,30,777
103,8,30
103,20,390
125,30,1271
103,30,1212
103,16,198
103,16,140
103,30,1089
103,8,30
103,14,105
103,10,52
103,28,795
103,12,113
103,6,15
103,18,218
103,6,15
103,4,5
103,6,15
103,4,5
103,10,50
103,14,230
103,6,15
103,9,44
103,8,30
103,17,224
103,9,44
103,2,0
103,6,15
103,4,5
103,4,5
103,4,5
103,10,50
103,4,5
103,8,30
103,14,179
103,4,5
103,10,50
103,2,0
103,6,15
103,4,5
103,6,15
103,2,0
103,2,0
103,2,0
103,0,0
103,6,15
103,0,0
103,4,5
103,0,0
103,2,0
103,0,0
103,6,15
103,2,0
103,0,0
103,2,0
103,0,0
103,0,0
103,0,0
103,4,5
103,2,0
103,0,0
103,2,0
103,2,0
103,0,0
103,14,105
103,14,105
103,0,0
103,14,105
405,2,0
405,6,15
120,6,15
9,6,15
550,26,791
405,26,809
144,26,541
69,26,670
67,26,737
62,26,684
120,26,720
66,26,681
39,26,668
142,26,729
39,26,542
309,26,688
61,15,139
125,19,204
78,26,670
39,25,448
39,26,570
39,10,50
39,26,542
