"0,1-nd","2,1-nd","3,1-nd"
62176,48,0
4751,48,0
66367,2338,194690
62299,148,2660
63965,1078,64400
62271,102,0
62702,358,7765
62137,4,0
62562,222,0
64042,866,26700
76179,3630,319355
62813,344,4140
76164,4232,350495
62541,220,0
62674,354,7755
66099,1950,155800
63784,980,47230
369126,8026,479595
63414,840,34255
62999,488,13965
62136,0,0
63098,462,11715
62541,220,0
62854,490,14445
62136,0,0
62136,0,0
62544,222,0
62136,0,0
62143,14,0
62686,236,0
72975,3852,326605
62694,246,3440
230629,7410,471435
62339,172,0
63857,1046,54775
63693,868,40560
62727,296,3770
64026,1072,55480
67893,3284,299060
62805,496,17415
62148,26,60
62136,0,0
62935,470,10745
86658,5036,409295
62136,0,0
62931,412,9790
69699,2638,196720
62137,4,0
62541,220,0
63294,616,19490
62697,254,3510
64056,1226,69115
62966,522,20070
62136,0,0
64200,1432,92740
74961,4100,339035
63478,928,37095
83983,4666,378025
63910,1022,57130
62139,0,0
63762,920,35210
63451,828,32480
62991,534,16825
62137,4,0
62891,412,9790
63349,930,52245
62356,208,2955
62154,24,0
62136,0,0
69576,2906,224255
62136,0,0
62223,80,0
63518,796,31175
64371,1356,79910
68901,2628,217590
68677,3120,291130
62137,4,0
62434,264,5675
62136,0,0
65309,2084,177340
62136,0,0
62569,314,6730
67050,2752,258840
80170,4402,356065
63666,982,43520
70174,4130,383290
63107,676,33750
62689,386,8295
62136,0,0
62138,4,0
64290,1244,66460
63807,1066,60750
62697,396,11515
62889,422,11430
62784,440,11870
64869,1970,150665
65762,2526,226555
63049,520,15190
62343,182,2745
63481,978,52960
63285,628,23505
62916,562,22445
62136,0,0
62239,88,0
65061,1664,124580
85607,3684,261405
64433,1390,82465
63938,1086,59505
62136,0,0
62136,0,0
63910,1062,60095
63270,600,16765
63257,636,19410
62663,332,7605
65047,1940,160775
62176,48,0
62136,0,0
62136,0,0
62780,286,3760
62541,220,0
63795,1198,66670
62686,236,0
65472,1938,145160
64069,1178,73600
63420,794,32045
62692,250,3470
63059,568,19295
64873,1790,121580
64098,1190,67665
62136,0,0
62154,22,0
62682,374,7955
62714,288,4210
62541,220,0
62551,224,0
63581,894,38160
63428,754,29185
62136,0,0
62136,0,0
62910,532,19490
64070,1242,67230
62789,450,15200
62136,0,0
62445,164,0
62251,112,0
62790,350,4465
63404,708,26985
64615,1592,112280
63136,660,25710
62136,0,0
161847,6556,467635
62223,80,0
63308,862,56485
63463,1088,61995
62540,256,5850
63093,460,11715
63868,1076,56415
62195,56,0
62147,24,0
63203,696,24145
64096,1284,81790
62356,208,2955
62148,26,60
62136,0,0
63093,460,11715
62686,236,0
62942,492,14830
62541,220,0
65945,2482,218965
63090,622,25155
62136,0,0
107497,6078,440930
62278,68,0
62136,0,0
62136,0,0
63046,616,20145
62136,0,0
62569,314,6730
63486,972,38320
62136,0,0
62136,0,0
63120,496,18185
62627,298,6265
63233,580,18635
63462,934,37510
62712,264,3685
62136,0,0
62686,236,0
63303,656,20215
62827,460,14145
62136,0,0
63486,972,38320
64062,1190,73380
62136,0,0
62773,414,8810
62136,0,0
62686,236,0
62256,108,0
62755,462,13330
68716,2844,250215
62180,54,0
62136,0,0
62772,432,17775
62677,362,8030
63295,660,22595
64508,1548,102290
62862,482,11555
62248,118,2110
62136,0,0
62618,284,5475
62136,0,0
62297,164,4170
81158,4118,353725
63462,934,37510
62343,182,2745
63002,510,12175
72443,3830,330525
63895,1160,66925
62682,374,7955
71177,2860,212355
63406,632,22575
62240,68,0
63453,888,36075
62136,0,0
62136,0,0
63045,540,17305
