"0,1-d","2,1-d","3,1-d"
241,2,0
41,2,0
280,46,600
242,4,5
249,16,120
241,2,0
245,6,15
241,2,0
242,2,0
264,22,100
344,66,1325
249,12,40
343,86,1720
241,2,0
243,6,15
279,30,450
250,20,130
790,234,3420
247,14,105
243,6,15
240,0,0
243,4,5
241,2,0
244,6,15
240,0,0
240,0,0
242,2,0
240,0,0
241,2,0
241,2,0
327,78,1475
243,4,5
645,218,3180
241,2,0
254,20,165
247,10,50
244,8,20
261,22,160
292,58,1185
245,8,30
242,4,5
240,0,0
244,8,20
384,118,2190
240,0,0
247,4,5
309,44,705
241,2,0
241,2,0
246,8,30
242,4,5
251,18,155
247,10,50
240,0,0
251,22,240
337,82,1590
250,18,170
375,100,1955
246,12,75
241,0,0
258,22,95
246,12,70
244,8,30
241,2,0
242,4,5
253,18,175
243,6,15
241,2,0
240,0,0
307,48,845
240,0,0
241,2,0
248,10,45
257,22,205
302,38,650
299,54,1045
241,2,0
242,4,5
240,0,0
267,32,515
240,0,0
244,8,30
283,46,820
360,106,1680
251,16,100
306,80,1600
252,16,105
244,8,30
240,0,0
241,2,0
258,20,140
252,18,160
243,6,15
244,6,15
243,6,15
260,34,475
271,40,730
248,10,30
242,4,5
251,16,135
244,8,30
246,10,50
240,0,0
241,2,0
267,26,350
382,66,1090
257,22,205
251,18,140
240,0,0
240,0,0
253,18,155
250,10,45
246,10,45
242,4,5
263,30,440
241,2,0
240,0,0
240,0,0
245,6,10
241,2,0
255,26,225
241,2,0
271,30,425
248,14,105
245,10,45
242,4,5
243,6,15
263,32,335
253,16,125
240,0,0
241,2,0
244,8,30
243,6,15
241,2,0
243,2,0
248,14,65
247,12,55
240,0,0
240,0,0
246,10,35
252,18,170
243,6,15
240,0,0
241,2,0
243,6,0
246,10,30
245,8,30
262,26,335
248,12,65
240,0,0
549,162,2895
241,2,0
251,16,140
251,22,205
242,4,5
242,4,5
251,18,145
241,2,0
241,2,0
249,12,65
248,16,140
243,6,15
242,4,5
240,0,0
242,4,5
241,2,0
245,8,30
241,2,0
271,40,685
247,14,65
240,0,0
443,170,2725
241,2,0
240,0,0
240,0,0
248,10,45
241,0,0
244,8,30
250,20,205
240,0,0
240,0,0
250,10,45
242,4,5
245,6,15
249,18,175
242,4,5
240,0,0
241,2,0
248,14,40
245,6,15
240,0,0
250,20,205
249,14,105
240,0,0
247,12,35
240,0,0
241,2,0
241,2,0
245,10,40
301,50,895
242,4,0
240,0,0
244,8,30
243,6,15
245,10,50
263,28,340
248,10,20
242,4,5
240,0,0
243,4,5
240,0,0
243,6,10
365,74,1570
249,18,175
242,4,5
248,10,30
324,72,1455
254,20,175
244,8,30
318,48,775
243,6,15
241,2,0
249,16,140
