"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore","5,2-HCore"
1008,22,0,0,0
1039,40,34,685,5584
1039,44,34,685,5584
1800,116,34,743,6086
1599,108,34,726,6040
1039,59,34,720,6039
1039,42,34,645,4997
1039,50,34,621,4485
1039,38,25,313,1461
1039,40,34,643,4968
1039,40,34,619,4355
1039,53,34,654,4960
1008,22,0,0,0
1011,23,9,27,19
1233,80,34,720,6039
1012,23,12,54,76
1039,38,28,438,2506
1044,84,34,745,6086
1008,22,0,0,0
1009,23,6,9,0
1039,40,34,716,6039
1011,23,9,27,19
1039,42,34,587,4019
1039,58,3,0,0
1008,12,3,0,0
1800,116,18,135,380
1599,108,18,135,380
1039,59,18,135,380
1008,13,9,27,19
1039,53,18,135,380
1039,38,18,135,380
1233,80,18,135,380
1039,32,18,135,380
1039,49,0,0,0
1599,108,6,9,0
1039,53,6,9,0
1008,8,6,9,0
1007,0,0,0,0
1599,108,0,0,0
1008,12,6,9,0
1800,116,10,60,57
1599,108,10,53,47
1039,42,10,43,36
1008,15,10,42,35
1008,14,9,27,19
1008,12,3,0,0
1008,12,6,9,0
1008,19,9,27,19
1008,12,3,0,0
1039,42,10,53,47
1039,44,42,1303,16504
1800,116,42,1312,16393
1035,35,6,9,0
1039,43,42,1186,13763
1599,108,42,1312,16490
1039,43,42,1140,13109
1039,59,42,1107,12507
1039,43,42,1273,15483
1039,50,42,1201,14198
1039,36,21,227,934
1039,43,42,1127,13142
1039,42,36,655,5069
1039,42,37,795,6760
1039,53,42,991,10341
1039,43,42,1068,10815
1039,36,15,114,292
1039,36,18,166,556
1039,40,30,523,3280
1039,42,36,614,4335
1039,36,12,54,76
1233,80,42,1331,16715
1039,36,21,189,665
1039,36,21,227,934
1039,41,34,761,6625
1044,84,42,1292,16374
1039,43,42,875,7764
1039,43,42,1283,15985
1039,43,42,1179,14168
1039,36,21,189,665
1034,32,0,0,0
1039,36,21,189,665
1039,43,42,1146,12936
1800,116,6,9,0
1008,7,6,9,0
1008,7,3,0,0
1008,10,6,9,0
1008,8,6,9,0
1800,116,42,1600,20640
1039,44,42,1317,16748
1599,108,42,1565,20452
1039,44,19,176,535
1039,44,42,1253,15542
1039,44,9,27,19
1039,59,42,1176,13949
1039,44,9,27,19
1039,44,42,1429,18684
1039,50,42,1386,17719
1039,44,42,1133,13126
1039,44,36,665,5515
1039,44,37,840,7558
1039,53,42,1017,10532
1039,44,42,1130,12372
1039,44,15,114,292
1039,44,33,546,3617
1039,44,39,935,9056
1039,42,0,0,0
1039,44,30,555,3457
1039,44,18,152,475
1039,44,36,594,4180
1039,44,18,223,836
1039,44,9,27,19
1039,44,30,455,2790
1233,80,42,1630,20684
1039,44,21,189,665
1039,44,18,155,535
1039,44,21,189,665
1039,44,34,761,6625
1039,44,12,59,82
1044,84,42,1415,18674
1039,44,18,135,380
1039,44,42,976,9867
1039,44,9,27,19
1039,44,27,391,2195
1039,44,42,1356,17968
1039,44,42,1354,17467
1039,44,21,207,711
1039,44,21,189,665
1039,44,42,1270,15587
1599,108,0,0,0
1599,108,6,9,0
1039,53,6,9,0
1008,8,6,9,0
1800,116,31,628,4201
1599,108,31,628,4201
1039,59,31,523,3183
1039,38,31,480,2958
1039,38,31,585,3977
1039,38,31,585,3977
1039,53,31,588,3977
1039,42,31,627,4201
1033,38,30,499,2975
1039,38,31,547,3607
1039,37,29,395,2127
1233,80,31,628,4201
1039,36,18,162,485
1039,39,24,278,1168
1039,38,31,505,3124
1800,116,15,98,199
1599,108,15,107,205
1008,17,9,27,19
1034,29,15,90,190
1039,53,15,107,205
1008,13,9,27,19
1008,13,9,32,24
1233,80,15,90,190
1008,13,6,9,0
1039,30,15,90,190
1800,116,18,135,380
1800,116,6,9,0
1800,116,3,0,0
1800,116,0,0,0
1800,116,42,1414,17723
1800,116,3,0,0
1800,190,42,2683,30721
1800,116,18,169,489
1800,116,12,54,76
1800,116,6,9,0
1800,116,19,176,535
1800,116,42,1275,15594
1800,116,6,9,0
1800,116,42,2090,23488
1800,116,3,0,0
1800,116,33,839,6615
1800,116,9,27,19
1800,116,3,0,0
1800,116,18,167,583
