"0,2-nd","1,2-nd","3,2-nd","4,2-nd","5,2-nd"
2263631,1607,0,0,0
2883474,5255,2151,383445,7567776
3077553,6244,2274,398349,7567776
6502263,20654,3144,455661,7908902
5820138,18309,3036,453744,7907534
3448441,8305,2568,412713,7907249
3054727,6039,2163,373887,7200164
3322390,7068,2199,358065,6565754
2877698,4025,1140,155790,2329362
2674196,4425,1878,350370,7198967
2589046,4009,1728,302859,6344860
3329757,7216,2166,344565,6527222
2263631,1607,0,0,0
2278609,2070,225,17856,173679
4657913,12539,2883,450144,7907249
2278378,2084,327,22518,251940
2525938,3657,1368,216576,4110232
4126966,13012,2973,443979,7908902
2263630,1608,0,0,0
2271155,1880,135,6426,0
3101367,5841,2331,409806,7907249
2274067,1923,186,7380,50825
2921706,5876,1929,330309,6513941
3227271,5788,36,0,0
2105672,828,36,0,0
6350293,18418,1071,91935,1019122
5655424,16274,1089,91449,1019293
3266746,6675,888,81765,1019122
2075468,863,117,9711,99275
3145382,5724,837,83610,1019293
3170151,3784,684,81315,1019122
4488051,10507,990,87480,1019293
2700469,2780,582,74124,1019122
3097692,4634,0,0,0
5623442,15340,192,2691,0
3109732,5041,192,2691,0
2035011,406,48,2691,0
2017922,0,0,0,0
5621947,15167,0,0,0
2084182,706,72,207,0
6345332,18270,735,26901,234384
5667386,15947,618,26343,233624
2882740,4273,444,25191,230850
2136613,1353,216,10737,93936
2096053,948,144,3510,20121
2080669,664,42,0,0
2084254,703,69,207,0
2208614,1502,201,12690,118066
2076758,644,36,0,0
2739987,4603,483,23751,215156
3446074,8952,4509,856341,17233095
6849538,23687,5256,911610,17214608
2662205,3062,183,9756,0
3315854,8065,3975,760284,15641541
6170083,21219,5196,911448,17233494
3108822,6618,3570,722700,15261047
3828646,10167,3879,735291,15057975
3427301,8516,4362,820017,16638547
3696450,9333,4233,789264,15549144
2695626,3599,894,93690,1343433
3055458,6446,3495,714897,15492049
2843444,4765,2025,370269,7793173
2977901,5539,2451,460881,9287561
3710565,9044,3321,624303,12767145
3442276,7705,3438,676197,14233660
2685502,3385,618,50688,598614
2709881,3628,783,86589,1164320
3745296,6573,1977,314478,5267636
2822186,4650,1878,338832,7076094
2676601,3302,402,32040,359860
5005984,15849,5166,909018,17254109
2700310,3586,837,99027,1541432
2702537,3698,921,101367,1477611
2913297,5273,2409,430056,8503108
4498272,15314,4929,887328,17228136
3036084,6068,2640,506430,11116900
3466864,8846,4434,831177,16685306
3341496,7568,3900,776007,16074285
2721763,3752,861,106758,1654083
2659367,2773,0,0,0
2716800,3775,843,109458,1699284
3298756,8065,3756,726210,15120580
6318245,17358,144,387,0
2030998,339,51,189,0
2027348,308,21,0,0
2064879,734,87,261,0
2034851,379,75,342,0
7030829,25289,6426,1048608,19064429
3499699,9683,4692,877734,17375690
6341718,23178,6261,1042695,19038494
2913545,4789,942,89217,1142375
3288540,8595,4311,820944,16638832
2861374,4124,309,16749,154831
4020148,11322,4338,804051,16067806
2866993,4231,312,15759,131651
3605827,10536,5196,939294,18384799
3874502,11221,5181,915705,17346297
3247088,7555,3708,744192,15483195
3034664,5959,2328,403515,7915818
3167872,6756,2778,508797,9969452
3904967,10060,3576,650187,12787285
3630582,9007,3954,753606,15347953
2879275,4408,675,52479,598614
3014214,5868,1986,311445,5670835
3107230,6721,3054,560304,11147699
2853850,3794,0,0,0
3938044,7638,2226,330534,5288441
2901385,4651,807,74790,959614
3015836,5709,1971,353835,7058234
2904497,4869,1077,106929,1390686
2860135,4162,336,20979,211356
2973571,5381,1641,232020,3813300
5185331,17607,6312,1038699,18989569
2894474,4635,924,104805,1541432
2903303,4659,837,80082,1003181
2899328,4781,930,122787,1841575
3105746,6364,2598,449118,8503108
2866159,4275,483,31491,339283
4678518,16967,5577,983907,18652832
2892339,4666,774,98775,1418597
3226387,7297,3267,590436,12303488
2858506,4107,330,19332,198398
2962138,5510,1563,201366,3291351
3650248,10474,4947,925947,18158832
3514929,9881,4860,896958,17768724
2913378,4894,1062,115029,1661455
2910545,4814,939,114111,1699284
3484141,9572,4479,830916,16635469
5621948,15151,0,0,0
5622644,15321,189,2691,0
3108017,5025,189,2691,0
2032556,402,48,2691,0
6546374,20450,2610,343206,5075451
5855500,18316,2622,341109,5075451
3495207,7899,1959,266625,4336351
2823846,3990,1551,244116,4139625
2913092,4429,1845,293697,4917656
2816978,3845,1716,285372,4917656
3370667,7247,2115,309420,4917656
3101711,5819,2082,307188,5075451
2535124,3063,1419,217008,3811875
3393113,5463,1863,285444,4535072
2569745,3096,1206,181251,3074960
4704603,12095,2388,328392,5075451
2706547,3410,768,78840,1026988
3157859,4893,1158,149949,2259309
2929224,4233,1644,256707,4251725
6345424,18258,915,58401,592249
5647270,16186,978,58329,592420
2124254,1175,177,11403,107407
2590125,2472,459,48456,588335
3139062,5678,768,53676,592420
2067208,767,120,3492,20406
2075434,914,168,10629,104234
4485785,10368,744,54009,588335
2064879,741,78,3069,0
2696648,2690,483,49563,588335
6334109,17972,849,44469,355984
6319519,17517,306,9756,0
6318023,17537,228,0,0
6318026,17235,0,0,0
6890609,24870,5781,952497,17818542
6318024,17239,9,0,0
9257305,72581,11070,1445661,24069580
6360700,18433,1068,75879,773737
6333167,18065,771,50085,491720
6318078,17288,72,189,0
6354848,18495,1155,91494,1142375
6717783,22270,4977,864180,16648465
6319112,17497,288,4644,0
7278301,34225,8304,1173033,20641714
6318024,17432,207,0,0
6718884,23949,3765,467838,6653287
6328141,17733,438,15804,131651
6318024,17247,21,0,0
6361869,18524,1326,108351,1140171
6375544,18795,1710,169731,2151465
6992647,25710,6015,991494,18350656
6341420,18100,1035,54027,412034
7196687,30045,7500,1108170,19350531
6339150,18289,981,77940,795017
6337653,18098,801,42138,427348
6331125,17965,741,36576,317471
6318024,17432,207,0,0
6824251,23545,4143,552465,8100574
6334708,17950,633,32634,288610
6380848,18788,1536,131778,1368779
6716729,23577,3690,521640,8004567
6676259,21749,4545,809793,15823238
6478533,19756,2727,416700,7909776
6590113,21405,3996,640332,11451015
7224630,29092,6498,984222,17424216
6341602,18185,963,56205,526129
6997261,25913,6501,1076769,20020414
6360789,18546,1281,102438,1183947
6354671,18331,1203,101907,1234183
6319091,17429,219,8262,0
6456029,19725,2601,336915,5745201
6549864,20478,3519,589005,11129041
6322771,17615,360,12294,0
6323352,17754,441,20115,171152
6505764,19910,2142,263007,3811875
7151237,33916,5223,659925,9878385
6391574,19033,1611,135477,1467978
6352637,18439,1134,87633,959614
6367273,18566,1143,83970,880574
6329559,17674,438,12375,91827
6327391,17720,417,13950,104063
6459423,19573,2487,371124,7076094
6318397,17316,57,0,0
6318026,17235,0,0,0
6536069,20211,2532,305883,4336389
6349726,18497,1194,111231,1274330
6327417,17919,666,34686,307515
6318024,17243,15,0,0
6422636,19444,2157,234135,3222400
6355768,18500,1257,104121,1116079
6318115,17283,72,702,0
6334669,18046,741,44388,429799
6329880,17867,597,33732,359860
6369367,18546,1362,107361,1084558
6318264,17367,150,342,0
6326973,17867,552,24435,196118
6411496,19267,2010,239148,3813832
6327252,17735,588,31977,326287
8345806,46800,10353,1432251,24039541
6318024,17535,228,0,0
6354540,18359,1128,86967,1003181
6326699,17751,585,26928,251940
6356172,18534,1371,138294,1841575
6318024,17535,228,0,0
6318026,17235,0,0,0
6321498,17550,357,11619,89661
6537520,20683,3429,518112,8937733
6325447,17666,531,31554,339283
7888716,42751,9657,1327716,22614617
6345209,18170,1131,58752,435689
6329214,17743,369,16065,118522
6321913,17670,357,12960,0
6341600,18106,1050,55917,425239
6318024,17262,36,0,0
6318026,17235,0,0,0
6322853,17768,444,15237,112632
6345209,18170,1131,58752,435689
6350405,18434,1230,117648,1418597
6318026,17235,0,0,0
6654034,21381,3936,642483,12752249
6325800,17784,531,20241,147345
6412656,18990,1824,206910,3291978
7065723,24366,5943,1037934,19320720
6341600,18106,1050,55917,425239
6321788,17548,330,7380,50825
6906580,24839,5802,970578,18204622
6363451,18483,1296,117720,1661455
6794629,25768,4107,511299,7389594
6320858,17753,438,17829,0
6337836,18038,951,50697,397594
6319792,17592,387,14067,0
6318025,17236,0,0,0
6327328,17822,504,16956,117572
6318024,17239,9,0,0
6361568,18595,1386,131013,1768938
6318974,17449,213,5589,0
6566388,21449,3171,383202,5574562
6883640,24489,5499,883503,16723363
6380513,18985,1653,141462,1590718
3248716,6447,744,43290,355984
2084137,1046,360,32463,355984
4471297,10241,801,44397,355984
3941140,10618,810,44136,355984
2089827,1087,375,33003,355984
2089827,1087,375,33003,355984
3923502,10230,303,9756,0
5623748,15461,228,0,0
5621948,15151,0,0,0
5624118,15445,297,10260,0
2834050,3866,210,10260,0
3923978,10233,285,10260,0
5621947,15151,0,0,0
2030275,220,0,0,0
6218901,22061,5682,956196,17873091
2736901,3881,435,42129,491720
2776948,4237,834,84807,1132495
3160857,7434,3855,768492,16100942
3877151,11056,4071,743931,15349055
3486511,8895,4371,838431,16788571
3741402,10504,4647,835425,16231396
2748156,3992,465,38331,427348
2751912,4116,921,94662,1343433
2715933,3292,0,0,0
3225680,5520,1365,212967,3434079
3113893,6814,3285,674505,14502662
2897400,5440,2226,388215,7915818
3035325,6016,2364,444816,9033303
3765630,9586,3285,596907,12150690
3496006,8386,3873,738063,15306438
2740778,3934,654,51669,598614
2878890,5242,1908,307629,5729355
2974146,5956,2790,542385,11129041
2842233,4931,1353,191835,3190974
2733027,3828,438,33030,359860
2837328,4798,1524,224541,3813300
2729371,3806,468,31554,326287
5062659,16388,5439,934740,17683034
2715933,3292,0,0,0
2758193,4251,1038,109125,1527752
2972253,5673,2223,399762,7756541
4556850,15746,5031,899604,17469246
3093930,6521,2982,565434,12266552
2720765,3598,306,19053,198398
2826312,4913,1578,201150,3318388
2715931,3322,39,0,0
3521651,9414,4608,870993,17533808
3390908,8487,4239,836973,17204443
2773156,4293,873,110052,1699284
3350056,8922,4248,777609,15824169
2019722,239,9,0,0
5664756,16385,1149,77436,775390
5639589,15915,711,49482,491720
6033960,19920,4725,856359,16613372
6652147,28380,7647,1146033,20506510
6067940,20110,3618,464436,6651577
5621948,15151,0,0,0
5631007,15667,435,15804,131651
5663884,16436,1260,107046,1140171
5631502,15633,450,19458,149815
5681275,16653,1614,168039,2151465
6313587,23192,5982,996354,18395895
6531625,26741,7212,1097631,19310536
5643876,16151,930,77427,795017
5635851,15879,711,36630,317471
5625864,15529,393,12636,99275
5650719,15974,1032,98172,1343433
6127540,21905,4233,554517,8123241
5637788,15884,642,33084,289066
5686579,16635,1464,130563,1368779
6059060,20065,3585,519516,8004567
5973826,19967,4647,816201,15877654
5787476,17576,2625,414945,7909776
5905067,19051,3927,638019,11451015
6475458,31646,6882,991548,17467707
5645137,16085,882,55728,526129
6309346,23818,6555,1085292,20094115
5623430,15356,246,3492,20406
5669740,16363,1140,100809,1183035
5623178,15374,255,7803,0
5765210,17536,2469,332820,5731635
5857600,18325,3486,589914,11147528
5653800,16173,1068,81108,813637
5627676,15693,483,20079,171152
5814172,17760,2151,261936,3811875
6540534,26573,5217,663048,9909640
5701732,16785,1470,132939,1466439
5663357,16242,1077,87003,959614
5673406,16432,1125,83853,880574
5628476,15693,498,14202,104234
5621946,15301,159,0,0
5768147,17407,2343,366471,7058234
5621948,15151,0,0,0
5664427,16392,1320,113769,1390686
5833583,18456,2541,304857,4336389
5656491,16358,1158,110592,1274330
5631942,15834,642,34686,307515
5624219,15539,363,15498,0
5726190,17408,2130,232749,3222400
5661301,16365,1170,102753,1116079
5623372,15343,228,3051,19608
5621948,15151,0,0,0
5621952,15157,0,0,0
5639395,15991,756,44559,429799
5634601,15780,594,34056,359860
5626781,15490,387,20907,211356
5671567,16464,1296,106056,1084558
5631498,15763,522,24435,196118
5729350,16930,1914,237744,3813832
7738286,39270,9504,1397025,23855070
5655336,16189,1227,114156,1527752
5621946,15459,228,0,0
5661921,16242,1086,86625,1003181
5661300,16405,1287,137061,1841575
5621946,15459,228,0,0
5621948,15151,0,0,0
5849559,18432,3399,520353,8958747
7228137,39435,9132,1303002,22500256
5633918,15641,489,19503,164578
5621946,15233,96,0,0
5626237,15623,399,12960,0
5630825,15705,474,15246,112632
5623364,15439,315,10530,0
5653704,16313,1146,116010,1418597
5625136,15440,270,3825,0
5624600,15451,354,9630,19608
5951721,19652,4020,645633,12774916
5622665,15329,204,3069,0
5630325,15701,528,20241,147345
5719180,16890,1788,208224,3307216
5623166,15446,270,6426,0
5622289,15223,84,0,0
6371261,22497,5952,1041804,19371925
6233290,22094,5589,962712,18170498
5623372,15343,228,3051,19608
6163623,20764,3927,508842,7387884
5624981,15655,411,17829,0
5623520,15445,309,10710,0
5635722,15692,477,16956,117572
5668953,16465,1311,130419,1768938
5881048,19121,3123,380925,5574562
6200250,22167,5493,891126,16802422
5692499,16789,1605,140742,1590547
3921247,9925,0,0,0
3281285,6704,834,64971,759981
2101281,926,207,12492,149815
2701802,2901,741,69264,773908
3159945,5814,903,71073,763116
3183911,3896,810,71622,773908
2155041,1284,324,21249,256557
2351237,1976,573,58140,772255
3245956,6458,612,46368,491720
4469788,10267,693,49473,491720
2061048,691,60,189,0
2023447,270,15,0,0
2094832,855,42,0,0
3157384,5621,900,86859,1132495
2096593,804,48,0,0
4505640,10605,1038,86427,1106313
2211902,1644,369,31167,415796
2798194,4015,804,82071,1106313
2156648,1389,270,20790,245195
2755495,4521,816,82692,1132495
3675795,9441,3492,664038,14091749
2571332,3415,837,116604,1825938
3267772,8240,4032,780237,16025208
3538231,8892,4104,768771,15262643
2902029,5638,2946,637299,14105638
2684435,4321,2016,376569,7909776
3559857,8210,2739,524313,11032901
3285353,7162,3345,679941,14792260
2761141,4834,2379,478098,10159357
2663813,4156,1749,330597,7058234
2622657,3786,1335,203094,3580417
2514237,2842,435,31032,326287
4877917,14058,4641,849852,16539576
2540938,3171,822,98802,1541432
2757216,4657,2103,387135,7756541
2512432,2830,429,30717,339283
4356191,14144,4347,815697,16303140
2881962,5357,2742,548910,12260282
2611542,3965,1371,188991,3281433
2499846,2453,81,0,0
3318109,7765,3999,795294,16402985
3178969,7420,4083,792360,16540773
2561850,3344,873,106074,1654710
3144352,7391,3600,736065,15756187
2308586,1903,225,15525,154831
4457343,9864,399,16767,154831
3926796,10259,369,16515,154831
2017937,19,9,0,0
2034229,354,9,0,0
3924965,10199,255,4644,0
2090636,949,81,4644,0
3726874,8980,2763,394335,6091400
3279409,6808,1053,99171,1139088
3294439,7070,1440,154629,2151465
3999510,11012,4107,765279,15494880
3258171,6575,930,52848,412034
4236277,13541,5499,862686,16419135
3811906,9613,3324,476523,7516837
3298144,7085,1305,120888,1368779
3716878,9007,2865,442845,7423091
3620426,9347,3531,669546,14248898
3533539,9051,3423,574182,11451015
4242419,13877,5382,867546,16857997
3258078,6553,762,52650,526129
3989449,11659,4932,885303,18118267
3280312,6813,954,92259,1182370
