"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
1187,22,0,0,0
1642,71,42,765,5681
1765,79,42,765,5681
2987,164,54,900,6289
2786,151,51,864,6213
1915,95,45,837,6194
1750,78,42,711,5073
1866,84,39,657,4522
1631,55,27,315,1463
1501,61,39,684,5016
1425,57,39,648,4389
1869,88,42,729,5035
1187,22,0,0,0
1200,29,9,27,19
2420,123,45,837,6194
1208,34,15,72,95
1387,53,33,459,2527
2225,130,57,909,6289
1188,23,0,0,0
1197,28,6,9,0
1783,75,45,837,6194
1201,30,9,27,19
1689,77,39,612,4047
1737,60,3,0,0
1075,12,3,0,0
2841,130,18,135,380
2640,122,21,153,399
1769,71,18,135,380
1050,13,9,27,19
1723,66,21,153,399
1728,46,18,135,380
2274,94,21,153,399
1495,37,18,135,380
1686,49,0,0,0
2614,113,6,9,0
1697,57,6,9,0
1029,9,6,9,0
1007,0,0,0,0
2607,109,0,0,0
1104,17,6,9,0
2891,141,30,90,76
2690,124,15,63,57
1654,55,12,45,38
1153,27,12,45,38
1127,21,9,27,19
1098,14,3,0,0
1103,16,6,9,0
1202,26,9,27,19
1093,12,3,0,0
1593,68,15,63,57
2040,108,78,1899,17917
3262,191,81,1890,17784
1467,36,6,9,0
1952,100,72,1620,14706
3061,179,78,1890,17898
1827,83,63,1476,13908
2190,113,60,1404,13167
2025,103,78,1836,16739
2141,107,69,1647,15219
1511,49,24,243,950
1776,82,63,1476,13946
1620,61,42,720,5149
1700,70,45,873,6916
2144,106,54,1206,10754
1996,92,57,1251,11210
1503,46,18,126,304
1513,47,21,180,570
2149,79,36,549,3306
1599,60,39,639,4370
1481,42,12,54,76
2695,156,81,1953,18183
1517,48,21,189,665
1513,50,24,243,950
1662,68,48,918,6878
2500,150,78,1863,17746
1777,80,48,945,7885
2058,107,78,1863,17328
1967,92,66,1584,15143
1525,49,21,189,665
1462,32,0,0,0
1510,48,21,189,665
1964,100,66,1494,13718
2820,126,15,27,0
1027,10,6,9,0
1022,7,3,0,0
1059,18,9,18,0
1032,12,9,18,0
3385,204,105,2502,22724
2075,116,81,1935,18221
3184,197,102,2439,22496
1648,61,24,198,551
1950,105,75,1791,16796
1597,48,9,27,19
2313,123,66,1575,14877
1600,50,9,27,19
2148,123,90,2196,20482
2264,127,87,2097,19380
1899,92,63,1476,13927
1743,73,45,792,5681
1823,83,48,963,7771
2267,114,57,1260,11001
2119,105,66,1449,13034
1626,56,18,126,304
1725,74,39,585,3686
1797,83,57,1143,9424
1585,42,0,0,0
2272,89,42,621,3534
1628,57,21,171,494
1722,69,36,594,4180
1644,63,27,261,874
1597,50,9,27,19
1696,67,33,477,2812
2818,171,111,2565,22800
1640,57,21,189,665
1631,57,21,180,570
1620,56,21,189,665
1785,78,48,918,6878
1604,53,15,72,95
2623,166,87,2133,20444
1614,54,18,135,380
1900,91,60,1233,10279
1594,48,9,27,19
1709,72,33,432,2242
2181,122,84,2034,19627
2090,118,84,2034,19057
1648,62,27,234,741
1633,58,21,189,665
2087,115,75,1809,16853
2606,108,0,0,0
2611,112,6,9,0
1694,56,6,9,0
1026,9,6,9,0
3045,157,42,684,4275
2844,149,42,684,4275
1973,88,36,540,3211
1640,55,33,486,2964
1689,60,39,630,4028
1618,51,39,630,4028
1927,86,39,630,4028
1779,73,42,684,4275
1450,45,36,522,3002
1932,69,36,567,3629
1467,45,30,396,2128
2478,115,42,684,4275
1560,46,21,171,494
1841,59,27,288,1178
1699,57,36,531,3154
2842,132,21,126,228
2641,126,27,153,247
1097,21,9,27,19
1437,35,15,90,190
1724,70,27,153,247
1051,15,9,27,19
1057,17,12,45,38
2275,94,15,90,190
1047,13,6,9,0
1496,37,15,90,190
2834,128,18,135,380
2812,120,6,9,0
