"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex","4,2-HhIndex","5,2-HhIndex"
1077,22,0,0,0
1239,50,38,297,596
1281,56,38,297,596
1949,117,39,318,650
1841,109,39,318,650
1413,68,39,318,650
1275,55,36,267,531
1359,61,35,258,496
1226,41,25,132,209
1191,46,36,267,531
1172,44,36,254,486
1363,58,36,283,550
1077,22,0,0,0
1081,26,9,18,19
1652,84,39,318,650
1082,26,12,32,34
1149,42,30,186,319
1553,88,39,318,650
1077,22,0,0,0
1079,23,6,9,0
1289,53,39,316,650
1079,23,9,18,19
1243,54,34,231,441
1365,58,3,0,0
1027,12,3,0,0
1941,116,18,63,83
1827,108,18,63,83
1372,62,18,63,83
1022,13,9,18,19
1319,56,18,63,83
1302,41,18,63,83
1633,82,18,63,83
1171,34,18,63,83
1309,49,0,0,0
1824,108,6,9,0
1312,53,6,9,0
1010,8,6,9,0
1007,0,0,0,0
1824,108,0,0,0
1021,12,6,9,0
1937,116,12,42,38
1830,108,12,34,37
1229,44,11,27,28
1030,20,10,27,27
1023,17,9,18,19
1020,12,3,0,0
1021,13,6,9,0
1047,21,9,18,19
1019,12,3,0,0
1195,44,12,34,37
1355,66,48,594,1516
1974,118,51,600,1516
1178,35,6,9,0
1328,62,48,510,1228
1856,110,51,599,1516
1276,57,46,507,1215
1465,73,48,500,1192
1351,64,48,567,1384
1425,68,48,554,1347
1183,42,21,105,155
1280,58,47,513,1217
1223,49,36,267,532
1266,53,40,336,700
1425,65,45,450,1022
1368,63,47,429,1005
1183,38,15,60,76
1189,41,18,81,111
1416,52,33,219,393
1213,49,36,234,475
1182,37,12,30,34
1682,92,51,599,1516
1186,42,21,84,119
1186,42,21,105,155
1248,51,39,350,716
1587,91,50,600,1516
1271,53,42,348,757
1363,66,48,585,1433
1334,61,48,546,1319
1192,42,21,84,119
1178,32,0,0,0
1191,42,21,84,119
1325,62,46,505,1191
1935,116,8,9,0
1010,7,6,9,0
1009,7,3,0,0
1021,12,6,9,0
1011,9,6,9,0
1982,120,54,651,1844
1363,67,50,583,1578
1866,112,54,650,1844
1241,50,20,87,118
1319,64,48,558,1465
1226,45,9,18,19
1482,74,48,538,1309
1227,45,9,18,19
1380,70,51,615,1719
1447,72,50,610,1679
1319,62,48,513,1217
1265,57,37,294,587
1303,58,42,369,778
1445,69,45,450,1022
1394,67,48,477,1158
1229,48,15,60,76
1263,55,33,225,418
1281,58,42,405,896
1223,42,0,0,0
1437,59,33,226,423
1238,48,18,78,104
1261,56,36,234,454
1238,49,21,108,160
1225,46,9,18,19
1252,52,30,192,340
1691,93,53,650,1799
1230,50,21,84,119
1238,48,18,81,111
1237,50,21,84,119
1286,57,40,350,716
1226,46,12,35,40
1601,92,54,646,1724
1234,49,18,63,83
1308,58,45,408,928
1225,44,9,18,19
1246,53,27,171,289
1390,71,51,634,1692
1369,69,51,603,1603
1241,50,21,93,133
1241,49,21,84,119
1358,67,48,579,1453
1824,108,0,0,0
1824,108,6,9,0
1311,53,6,9,0
1009,8,6,9,0
1951,116,36,256,486
1841,109,36,256,486
1410,66,33,216,385
1193,45,32,195,351
1216,48,34,249,461
1194,45,33,249,461
1361,59,34,249,461
1291,55,36,256,486
1111,42,30,197,368
1347,51,33,225,416
1129,40,29,162,274
1651,84,36,256,486
1168,40,18,78,104
1288,49,24,122,185
1215,46,33,204,379
1938,116,15,50,61
1826,108,15,50,61
1029,18,9,18,19
1136,30,15,45,55
1319,56,15,50,61
1019,13,9,18,19
1021,14,9,27,19
1634,82,15,45,55
1019,13,6,9,0
1170,32,15,45,55
1936,116,18,63,83
1935,116,6,9,0
1935,116,3,0,0
1935,116,0,0,0
1976,119,52,593,1637
1935,116,3,0,0
2232,192,63,765,2351
1938,116,19,83,110
1937,116,12,30,34
1935,116,6,9,0
1936,116,21,87,118
1964,118,48,558,1465
1935,116,6,9,0
2008,124,57,684,1842
1935,116,3,0,0
1967,118,40,333,710
1936,116,9,18,19
1935,116,3,0,0
1940,116,19,81,111
1942,116,22,144,219
1981,120,53,621,1719
1936,116,21,102,147
1999,122,54,657,1915
1939,116,15,45,55
1936,116,12,33,34
1936,116,12,42,49
1935,116,3,0,0
1977,118,42,402,865
1936,116,9,18,19
1942,116,21,120,175
1970,118,41,365,763
1959,118,50,528,1268
1947,116,37,294,587
1956,118,45,440,986
2014,120,54,631,1604
1937,116,13,54,64
1987,120,57,657,1742
1940,116,18,71,89
1936,116,19,95,132
1935,116,6,9,0
1946,116,35,242,469
1951,117,42,405,896
1935,116,8,13,0
1936,116,9,18,19
1947,116,32,201,368
2001,124,44,450,990
1943,116,21,108,163
1939,116,18,78,104
1939,116,19,92,125
1935,116,10,27,27
1936,116,9,18,19
1947,116,36,238,475
1935,116,3,0,0
1935,116,0,0,0
1950,117,33,225,441
1942,116,18,63,83
1936,116,9,27,21
1935,116,3,0,0
1945,116,27,170,273
1940,116,18,70,93
1935,116,6,9,0
1937,116,12,30,34
1937,116,12,30,34
1940,116,21,102,147
1935,116,6,9,0
1936,116,9,18,19
1943,116,30,192,340
1935,116,12,35,40
2086,139,63,765,2329
1935,116,3,0,0
1938,116,20,81,111
1935,116,12,32,34
1941,116,21,84,119
1935,116,3,0,0
1935,116,0,0,0
1935,116,9,18,19
1951,118,41,374,778
1935,116,12,35,40
2062,130,61,738,2144
1936,116,21,123,183
1935,116,10,27,27
1936,116,6,9,0
1936,116,21,105,155
1935,116,3,0,0
1935,116,0,0,0
1936,116,9,18,19
1936,116,21,123,183
1941,116,18,63,83
1935,116,0,0,0
1957,117,45,439,997
1936,116,12,30,34
1941,116,28,171,289
1984,119,54,663,1831
1936,116,21,105,155
1935,116,9,18,19
1978,118,53,619,1661
1936,116,21,93,133
1973,118,41,358,752
1936,116,6,9,0
1936,116,21,84,119
1935,116,6,9,0
1935,116,0,0,0
1936,116,12,30,34
1935,116,3,0,0
1940,116,21,91,129
1935,116,6,9,0
1951,118,36,272,570
1974,118,48,577,1485
1939,116,24,123,183
1368,62,18,63,83
1024,20,18,63,83
1631,82,18,63,83
1535,86,18,63,83
1025,20,18,63,83
1025,20,18,63,83
1532,85,6,9,0
1824,108,3,0,0
1824,108,0,0,0
1824,108,6,9,0
1218,44,6,9,0
1532,85,6,9,0
1824,108,0,0,0
1009,5,0,0,0
1859,112,53,590,1637
1197,42,12,30,34
1207,46,19,78,104
1286,61,48,521,1374
1467,73,48,489,1211
1359,66,50,558,1464
1430,69,49,558,1500
1200,43,12,30,34
1197,45,21,105,155
1193,38,0,0,0
1299,53,25,132,209
1288,59,46,438,1023
1235,54,38,294,587
1276,55,39,303,623
1428,67,45,406,938
1371,64,48,465,1194
1197,43,15,60,76
1231,51,33,238,454
1255,55,42,405,896
1226,48,27,153,245
1196,41,12,30,34
1216,48,30,192,340
1195,40,12,35,40
1686,92,51,590,1587
1193,38,0,0,0
1200,46,21,123,183
1258,54,36,297,597
1590,91,51,586,1512
1279,56,43,408,928
1194,41,9,18,19
1212,49,28,179,317
1193,38,3,0,0
1368,67,51,585,1545
1341,65,51,582,1513
1207,45,21,84,119
1329,65,48,511,1316
1007,3,3,0,0
1827,108,19,83,120
1826,108,12,30,34
1850,110,48,558,1465
1913,115,57,684,1842
1856,110,39,333,710
1824,108,0,0,0
1826,108,9,18,19
1827,108,20,81,111
1824,108,12,30,34
1828,108,22,144,219
1866,112,52,621,1719
1897,114,54,657,1915
1826,108,15,45,55
1826,108,12,42,49
1825,108,9,18,19
1824,108,21,105,155
1857,111,42,402,865
1826,108,10,27,27
1830,108,21,120,175
1856,110,40,365,763
1846,109,50,528,1268
1836,108,37,294,587
1845,110,45,441,986
1889,116,54,631,1604
1826,108,13,54,64
1869,112,57,657,1742
1824,108,9,18,19
1827,108,18,66,86
1824,108,6,9,0
1836,108,35,238,454
1839,108,42,405,896
1824,108,18,81,111
1825,108,9,18,19
1837,108,32,201,368
1903,113,45,451,990
1833,108,21,108,157
1827,108,18,78,104
1827,108,19,92,125
1825,108,9,27,19
1824,108,3,0,0
1835,108,36,234,454
1824,108,0,0,0
1826,108,21,108,160
1839,109,33,226,441
1827,108,18,63,83
1826,108,9,27,21
1825,108,6,9,0
1835,109,27,170,273
1827,108,18,70,93
1824,108,9,18,19
1824,108,0,0,0
1824,108,0,0,0
