simplex,index
0,0
518,1
978,2
1,3
789,4
218,5
1052,6
117,7
1118,8
2,9
108,10
297,11
41,12
3,13
352,14
1308,15
914,16
1288,17
657,18
49,19
587,20
4,21
283,22
436,23
5,24
1185,25
6,26
440,27
470,28
7,29
390,30
1161,31
482,32
1072,33
8,34
197,35
1421,36
792,37
169,38
9,39
10,40
896,41
11,42
12,43
940,44
1025,45
932,46
13,47
14,48
733,49
15,50
641,51
1155,52
659,53
16,54
17,55
18,56
303,57
19,58
20,59
514,60
21,61
22,62
57,63
23,64
24,65
1325,66
833,67
1346,68
1008,69
1237,70
1324,71
661,72
133,73
654,74
841,75
1228,76
919,77
995,78
1178,79
480,80
239,81
173,82
44,83
349,84
1440,85
944,86
25,87
26,88
802,89
27,90
1195,91
1004,92
28,93
1360,94
876,95
580,96
1177,97
779,98
1000,99
29,100
30,101
1484,102
1142,103
1428,104
454,105
81,106
443,107
696,108
827,109
31,110
32,111
33,112
120,113
533,114
967,115
1135,116
86,117
34,118
35,119
36,120
134,121
674,122
37,123
38,124
623,125
836,126
39,127
40,128
186,129
42,130
1086,131
43,132
766,133
578,134
94,135
1049,136
406,137
212,138
769,139
581,140
489,141
1447,142
442,143
492,144
586,145
778,146
592,147
1433,148
1441,149
1335,150
227,151
1066,152
1427,153
1068,154
880,155
602,156
700,157
240,158
125,159
713,160
1348,161
1167,162
979,163
234,164
618,165
884,166
1354,167
1079,168
951,169
1266,170
430,171
808,172
341,173
712,174
891,175
780,176
1134,177
997,178
1277,179
815,180
447,181
724,182
264,183
265,184
905,185
1344,186
273,187
453,188
1482,189
910,190
912,191
166,192
764,193
1435,194
461,195
462,196
402,197
365,198
741,199
464,200
982,201
182,202
184,203
187,204
1401,205
1402,206
1404,207
1034,208
1225,209
76,210
1227,211
937,212
1414,213
1229,214
481,215
513,216
92,217
1287,218
254,219
377,220
335,221
1248,222
228,223
45,224
46,225
47,226
1276,227
48,228
359,229
243,230
950,231
1429,232
223,233
1158,234
324,235
1341,236
1100,237
329,238
699,239
162,240
1165,241
611,242
1351,243
1263,244
429,245
804,246
431,247
809,248
1223,249
1182,250
1459,251
1090,252
296,253
526,254
347,255
860,256
280,257
846,258
811,259
723,260
520,261
255,262
1374,263
873,264
925,265
1286,266
1181,267
267,268
156,269
52,270
53,271
165,272
1305,273
1387,274
1289,275
1206,276
1141,277
1150,278
62,279
1300,280
107,281
550,282
1119,283
1493,284
1409,285
1037,286
631,287
302,288
538,289
384,290
1422,291
307,292
626,293
50,294
529,295
1503,296
51,297
1505,298
54,299
55,300
56,301
1488,302
216,303
558,304
866,305
711,306
1272,307
1180,308
1091,309
634,310
411,311
58,312
59,313
60,314
61,315
831,316
63,317
64,318
65,319
66,320
973,321
438,322
67,323
1267,324
68,325
69,326
70,327
71,328
72,329
397,330
73,331
74,332
75,333
771,334
77,335
78,336
79,337
269,338
80,339
217,340
82,341
83,342
84,343
293,344
85,345
954,346
1326,347
1345,348
87,349
88,350
89,351
90,352
91,353
93,354
1391,355
336,356
1251,357
95,358
818,359
96,360
320,361
97,362
102,363
1331,364
276,365
433,366
596,367
939,368
647,369
98,370
99,371
100,372
101,373
977,374
391,375
1282,376
1098,377
313,378
1473,379
1265,380
471,381
781,382
645,383
385,384
790,385
415,386
1463,387
600,388
103,389
1465,390
498,391
619,392
236,393
104,394
105,395
1314,396
1132,397
106,398
609,399
1398,400
109,401
258,402
571,403
110,404
567,405
111,406
112,407
113,408
114,409
115,410
116,411
394,412
803,413
772,414
814,415
775,416
399,417
777,418
1257,419
1163,420
782,421
1157,422
1392,423
410,424
755,425
414,426
463,427
1162,428
1159,429
215,430
418,431
922,432
1169,433
424,434
427,435
428,436
226,437
805,438
1175,439
1179,440
1466,441
813,442
343,443
1284,444
128,445
1389,446
1186,447
969,448
398,449
1085,450
451,451
1029,452
1196,453
776,454
822,455
1201,456
1203,457
719,458
510,459
1207,460
1208,461
1210,462
403,463
495,464
1212,465
591,466
444,467
835,468
455,469
834,470
1219,471
1220,472
473,473
475,474
840,475
1256,476
476,477
477,478
845,479
847,480
662,481
849,482
850,483
483,484
574,485
484,486
597,487
1235,488
1074,489
486,490
1510,491
605,492
1236,493
1112,494
862,495
901,496
863,497
1281,498
499,499
1245,500
868,501
871,502
1410,503
118,504
119,505
1472,506
1254,507
875,508
124,509
1258,510
1260,511
1261,512
154,513
844,514
136,515
885,516
138,517
1474,518
886,519
656,520
1475,521
890,522
521,523
147,524
148,525
894,526
895,527
1416,528
386,529
158,530
151,531
729,532
865,533
1487,534
155,535
906,536
974,537
907,538
536,539
763,540
975,541
541,542
164,543
1231,544
196,545
214,546
986,547
544,548
170,549
172,550
1297,551
357,552
1301,553
988,554
797,555
1303,556
552,557
1108,558
553,559
800,560
1306,561
185,562
1310,563
929,564
734,565
189,566
613,567
562,568
563,569
934,570
193,571
371,572
936,573
568,574
938,575
198,576
200,577
351,578
181,579
206,580
207,581
252,582
576,583
210,584
579,585
400,586
213,587
1327,588
1328,589
994,590
774,591
952,592
543,593
953,594
220,595
221,596
589,597
956,598
1050,599
1334,600
224,601
960,602
595,603
1338,604
490,605
1339,606
1340,607
856,608
601,609
1253,610
237,611
1279,612
608,613
334,614
241,615
1293,616
1352,617
614,618
981,619
1299,620
1355,621
1356,622
667,623
1359,624
990,625
250,626
1477,627
253,628
256,629
260,630
261,631
1370,632
633,633
1304,634
806,635
1007,636
1056,637
1011,638
270,639
271,640
249,641
1057,642
1382,643
1383,644
1016,645
279,646
1020,647
1021,648
282,649
1390,650
1395,651
285,652
323,653
652,654
1027,655
1028,656
817,657
1399,658
1400,659
289,660
387,661
1032,662
1333,663
1407,664
1061,665
1036,666
295,667
1183,668
752,669
146,670
1041,671
211,672
1063,673
1419,674
1224,675
305,676
923,677
306,678
673,679
309,680
311,681
1426,682
312,683
624,684
316,685
317,686
882,687
678,688
679,689
1430,690
681,691
682,692
176,693
688,694
690,695
1315,696
691,697
322,698
1437,699
1003,700
1067,701
1069,702
1439,703
327,704
1073,705
330,706
325,707
1443,708
542,709
701,710
331,711
702,712
1444,713
1121,714
705,715
1076,716
685,717
709,718
1449,719
346,720
195,721
1082,722
339,723
1454,724
1455,725
1193,726
1089,727
344,728
1146,729
694,730
1093,731
348,732
1377,733
1194,734
1471,735
728,736
1102,737
389,738
522,739
354,740
355,741
1479,742
1480,743
356,744
1483,745
548,746
731,747
732,748
358,749
1311,750
1111,751
1321,752
737,753
362,754
1101,755
1198,756
1197,757
367,758
743,759
368,760
369,761
746,762
1200,763
372,764
1365,765
375,766
942,767
1271,768
753,769
1498,770
1125,771
1023,772
1127,773
379,774
1424,775
1130,776
1501,777
1502,778
468,779
382,780
208,781
1136,782
1138,783
1105,784
388,785
686,786
121,787
698,788
664,789
122,790
867,791
437,792
123,793
126,794
720,795
127,796
129,797
130,798
131,799
1055,800
1368,801
132,802
135,803
137,804
139,805
140,806
1372,807
141,808
142,809
143,810
144,811
145,812
333,813
149,814
150,815
152,816
153,817
157,818
159,819
160,820
161,821
163,822
966,823
167,824
1149,825
168,826
1019,827
171,828
783,829
174,830
175,831
628,832
913,833
246,834
177,835
178,836
179,837
1290,838
180,839
1084,840
183,841
188,842
903,843
190,844
191,845
1215,846
192,847
194,848
651,849
958,850
230,851
788,852
980,853
1147,854
426,855
993,856
996,857
527,858
1470,859
1191,860
539,861
361,862
1024,863
829,864
1491,865
1030,866
658,867
1044,868
1264,869
199,870
201,871
202,872
203,873
556,874
439,875
204,876
205,877
754,878
209,879
946,880
1015,881
629,882
1436,883
721,884
395,885
947,886
898,887
1152,888
1153,889
466,890
796,891
744,892
425,893
955,894
432,895
810,896
1188,897
449,898
450,899
523,900
1202,901
706,902
1214,903
469,904
1230,905
848,906
1405,907
485,908
229,909
861,910
869,911
874,912
878,913
509,914
883,915
888,916
889,917
816,918
1274,919
525,920
893,921
897,922
1280,923
531,924
238,925
1283,926
534,927
546,928
918,929
924,930
554,931
927,932
928,933
1110,934
1312,935
1313,936
564,937
615,938
569,939
1322,940
573,941
577,942
583,943
585,944
1330,945
1357,946
957,947
593,948
959,949
598,950
964,951
965,952
487,953
547,954
857,955
245,956
983,957
985,958
620,959
465,960
247,961
991,962
1379,963
630,964
1002,965
1005,966
1006,967
1375,968
494,969
1489,970
1012,971
1013,972
1384,973
1017,974
1394,975
287,976
1014,977
839,978
1033,979
1406,980
1411,981
663,982
881,983
1045,984
933,985
1425,986
968,987
1009,988
687,989
321,990
1064,991
692,992
635,993
1445,994
1078,995
337,996
1451,997
714,998
338,999
1458,1000
1092,1001
1461,1002
1095,1003
1097,1004
1468,1005
726,1006
1218,1007
1103,1008
1104,1009
360,1010
1114,1011
1116,1012
745,1013
748,1014
373,1015
1490,1016
704,1017
1412,1018
1122,1019
762,1020
1137,1021
1140,1022
1323,1023
219,1024
926,1025
222,1026
225,1027
231,1028
232,1029
233,1030
1320,1031
235,1032
560,1033
852,1034
242,1035
1018,1036
921,1037
244,1038
248,1039
251,1040
1081,1041
1361,1042
858,1043
1250,1044
1268,1045
257,1046
259,1047
1154,1048
262,1049
263,1050
1456,1051
1270,1052
646,1053
604,1054
653,1055
1476,1056
266,1057
909,1058
268,1059
272,1060
1423,1061
274,1062
275,1063
277,1064
278,1065
281,1066
1438,1067
948,1068
1249,1069
328,1070
697,1071
799,1072
342,1073
1174,1074
517,1075
992,1076
812,1077
1366,1078
832,1079
900,1080
1418,1081
1380,1082
1485,1083
459,1084
545,1085
557,1086
1506,1087
669,1088
853,1089
284,1090
286,1091
288,1092
467,1093
290,1094
291,1095
292,1096
353,1097
301,1098
1369,1099
502,1100
294,1101
819,1102
1486,1103
1332,1104
1296,1105
1262,1106
374,1107
1226,1108
1388,1109
1129,1110
725,1111
298,1112
299,1113
300,1114
304,1115
1131,1116
308,1117
1362,1118
310,1119
642,1120
314,1121
315,1122
318,1123
319,1124
326,1125
332,1126
340,1127
345,1128
855,1129
693,1130
1343,1131
505,1132
610,1133
801,1134
1386,1135
722,1136
1099,1137
637,1138
1199,1139
1145,1140
1244,1141
843,1142
1448,1143
350,1144
1364,1145
1211,1146
830,1147
649,1148
716,1149
